OA,ts0200001,ts0200002,ts0200003,ts0200002_PCT,ts0200003_PCT
E00044214,0,0,0,NA,NA
E00044236,1,1,0,100,0
E00044238,0,0,0,NA,NA
E00044240,0,0,0,NA,NA
E00044241,4,0,4,0,100
E00044295,0,0,0,NA,NA
E00044296,0,0,0,NA,NA
E00044311,0,0,0,NA,NA
E00044313,0,0,0,NA,NA
E00044316,0,0,0,NA,NA
E00044303,0,0,0,NA,NA
E00044304,0,0,0,NA,NA
E00044305,0,0,0,NA,NA
E00044306,0,0,0,NA,NA
E00044284,0,0,0,NA,NA
E00044287,0,0,0,NA,NA
E00044307,0,0,0,NA,NA
E00044308,0,0,0,NA,NA
E00044315,0,0,0,NA,NA
E00044286,0,0,0,NA,NA
E00044300,0,0,0,NA,NA
E00044301,0,0,0,NA,NA
E00044302,0,0,0,NA,NA
E00044288,0,0,0,NA,NA
E00044309,0,0,0,NA,NA
E00044310,0,0,0,NA,NA
E00044312,0,0,0,NA,NA
E00044314,0,0,0,NA,NA
E00044285,0,0,0,NA,NA
E00044289,0,0,0,NA,NA
E00044290,0,0,0,NA,NA
E00044291,0,0,0,NA,NA
E00044292,0,0,0,NA,NA
E00044293,0,0,0,NA,NA
E00044283,0,0,0,NA,NA
E00044294,0,0,0,NA,NA
E00044297,0,0,0,NA,NA
E00044298,0,0,0,NA,NA
E00044299,0,0,0,NA,NA
E00044644,1,0,1,0,100
E00044645,0,0,0,NA,NA
E00044646,0,0,0,NA,NA
E00044647,0,0,0,NA,NA
E00044141,0,0,0,NA,NA
E00044144,0,0,0,NA,NA
E00044167,0,0,0,NA,NA
E00044168,0,0,0,NA,NA
E00044169,1,0,1,0,100
E00044170,0,0,0,NA,NA
E00044870,0,0,0,NA,NA
E00044882,0,0,0,NA,NA
E00044883,0,0,0,NA,NA
E00044886,0,0,0,NA,NA
E00044889,0,0,0,NA,NA
E00044885,0,0,0,NA,NA
E00044887,0,0,0,NA,NA
E00044888,0,0,0,NA,NA
E00044893,0,0,0,NA,NA
E00044895,0,0,0,NA,NA
E00044872,0,0,0,NA,NA
E00044874,0,0,0,NA,NA
E00044875,0,0,0,NA,NA
E00044879,0,0,0,NA,NA
E00044890,0,0,0,NA,NA
E00044894,0,0,0,NA,NA
E00044867,0,0,0,NA,NA
E00044868,0,0,0,NA,NA
E00044884,0,0,0,NA,NA
E00044892,0,0,0,NA,NA
E00044897,0,0,0,NA,NA
E00044871,0,0,0,NA,NA
E00044873,0,0,0,NA,NA
E00044876,0,0,0,NA,NA
E00044891,0,0,0,NA,NA
E00044896,0,0,0,NA,NA
E00044210,0,0,0,NA,NA
E00044216,0,0,0,NA,NA
E00044217,0,0,0,NA,NA
E00044219,0,0,0,NA,NA
E00044237,0,0,0,NA,NA
E00044239,0,0,0,NA,NA
E00044785,0,0,0,NA,NA
E00044789,0,0,0,NA,NA
E00044790,0,0,0,NA,NA
E00044794,0,0,0,NA,NA
E00044770,0,0,0,NA,NA
E00044784,0,0,0,NA,NA
E00044791,0,0,0,NA,NA
E00044792,0,0,0,NA,NA
E00044793,0,0,0,NA,NA
E00044774,0,0,0,NA,NA
E00044776,0,0,0,NA,NA
E00044777,0,0,0,NA,NA
E00044778,0,0,0,NA,NA
E00044779,0,0,0,NA,NA
E00044769,0,0,0,NA,NA
E00044775,1,1,0,100,0
E00044780,0,0,0,NA,NA
E00044781,0,0,0,NA,NA
E00044782,0,0,0,NA,NA
E00044783,1,1,0,100,0
E00044869,0,0,0,NA,NA
E00044877,0,0,0,NA,NA
E00044878,0,0,0,NA,NA
E00044880,0,0,0,NA,NA
E00044881,0,0,0,NA,NA
E00044212,0,0,0,NA,NA
E00044218,0,0,0,NA,NA
E00044224,0,0,0,NA,NA
E00044226,5,0,5,0,100
E00044231,0,0,0,NA,NA
E00044211,0,0,0,NA,NA
E00044227,0,0,0,NA,NA
E00044230,0,0,0,NA,NA
E00044232,0,0,0,NA,NA
E00044233,0,0,0,NA,NA
E00044213,0,0,0,NA,NA
E00044220,0,0,0,NA,NA
E00044222,0,0,0,NA,NA
E00044234,1,0,1,0,100
E00044235,0,0,0,NA,NA
E00044221,0,0,0,NA,NA
E00044228,0,0,0,NA,NA
E00044771,0,0,0,NA,NA
E00044772,0,0,0,NA,NA
E00044773,0,0,0,NA,NA
E00044786,0,0,0,NA,NA
E00044787,0,0,0,NA,NA
E00044788,0,0,0,NA,NA
E00044795,0,0,0,NA,NA
E00044796,1,0,1,0,100
E00044797,0,0,0,NA,NA
E00182894,0,0,0,NA,NA
E00182899,0,0,0,NA,NA
E00044614,1,1,0,100,0
E00044616,0,0,0,NA,NA
E00044617,0,0,0,NA,NA
E00044621,0,0,0,NA,NA
E00044648,0,0,0,NA,NA
E00044628,0,0,0,NA,NA
E00044632,1,1,0,100,0
E00044636,1,0,1,0,100
E00044637,2,0,2,0,100
E00044638,1,0,1,0,100
E00044613,0,0,0,NA,NA
E00044615,0,0,0,NA,NA
E00044620,0,0,0,NA,NA
E00044622,0,0,0,NA,NA
E00044625,0,0,0,NA,NA
E00044627,0,0,0,NA,NA
E00044619,1,1,0,100,0
E00044623,0,0,0,NA,NA
E00044629,1,1,0,100,0
E00044630,0,0,0,NA,NA
E00044639,0,0,0,NA,NA
E00044618,0,0,0,NA,NA
E00044624,0,0,0,NA,NA
E00044626,0,0,0,NA,NA
