OA,ts0190001,ts0190002,ts0190003,ts0190004,ts0190005,ts0190002_PCT,ts0190003_PCT,ts0190004_PCT,ts0190005_PCT
E00092901,276,251,2,23,0,90.94202898550725,0.7246376811594203,8.333333333333332,0
E00092902,388,357,3,28,0,92.0103092783505,0.7731958762886598,7.216494845360824,0
E00092903,299,269,0,23,7,89.96655518394648,0,7.6923076923076925,2.341137123745819
E00092904,315,299,1,15,0,94.92063492063491,0.31746031746031744,4.761904761904762,0
E00092905,273,246,0,22,5,90.10989010989012,0,8.058608058608058,1.8315018315018317
E00092909,300,284,1,14,1,94.66666666666667,0.33333333333333337,4.666666666666667,0.33333333333333337
E00092911,324,312,4,8,0,96.29629629629629,1.2345679012345678,2.4691358024691357,0
E00092912,203,190,0,13,0,93.59605911330048,0,6.403940886699508,0
E00092906,247,225,0,19,3,91.09311740890689,0,7.6923076923076925,1.214574898785425
E00092907,300,276,1,22,1,92,0.33333333333333337,7.333333333333333,0.33333333333333337
E00092908,192,181,1,8,2,94.27083333333334,0.5208333333333333,4.166666666666666,1.0416666666666665
E00092910,295,276,1,18,0,93.55932203389831,0.3389830508474576,6.101694915254238,0
E00092913,289,261,1,25,2,90.3114186851211,0.34602076124567477,8.650519031141869,0.6920415224913495
E00092914,268,222,1,42,3,82.83582089552239,0.3731343283582089,15.671641791044777,1.1194029850746268
E00092798,467,385,0,80,2,82.44111349036403,0,17.130620985010705,0.4282655246252677
E00092804,322,212,1,108,1,65.83850931677019,0.3105590062111801,33.54037267080746,0.3105590062111801
E00092806,191,163,0,28,0,85.34031413612566,0,14.659685863874344,0
E00184562,289,266,0,22,1,92.04152249134948,0,7.612456747404845,0.34602076124567477
E00184572,488,451,1,36,0,92.41803278688525,0.20491803278688525,7.377049180327869,0
E00184595,202,167,0,29,6,82.67326732673267,0,14.356435643564355,2.9702970297029703
E00184618,221,154,0,67,0,69.68325791855203,0,30.316742081447963,0
E00092799,157,139,0,18,0,88.53503184713377,0,11.464968152866243,0
E00092800,369,351,0,18,0,95.1219512195122,0,4.878048780487805,0
E00092801,193,172,0,17,4,89.11917098445595,0,8.808290155440414,2.072538860103627
E00092802,366,332,3,31,0,90.7103825136612,0.819672131147541,8.469945355191257,0
E00092803,300,276,1,23,0,92,0.33333333333333337,7.666666666666666,0
