OA,ts0610001,ts0610002,ts0610003,ts0610004,ts0610005,ts0610006,ts0610007,ts0610008,ts0610009,ts0610010,ts0610011,ts0610012,ts0610002_PCT,ts0610003_PCT,ts0610004_PCT,ts0610005_PCT,ts0610006_PCT,ts0610007_PCT,ts0610008_PCT,ts0610009_PCT,ts0610010_PCT,ts0610011_PCT,ts0610012_PCT
E00066779,62,5,0,0,3,0,0,32,6,6,10,0,8.064516129032258,0,0,4.838709677419355,0,0,51.61290322580645,9.67741935483871,9.67741935483871,16.129032258064516,0
E00066780,118,17,0,0,6,3,1,58,15,6,11,1,14.40677966101695,0,0,5.084745762711865,2.5423728813559325,0.847457627118644,49.152542372881356,12.711864406779661,5.084745762711865,9.322033898305085,0.847457627118644
E00066781,188,24,0,0,4,0,3,112,17,11,16,1,12.76595744680851,0,0,2.127659574468085,0,1.5957446808510638,59.57446808510638,9.042553191489363,5.851063829787234,8.51063829787234,0.5319148936170213
E00066782,137,7,0,0,2,0,0,87,19,3,19,0,5.109489051094891,0,0,1.4598540145985401,0,0,63.503649635036496,13.86861313868613,2.18978102189781,13.86861313868613,0
E00066783,160,20,0,1,2,0,1,105,13,3,12,3,12.5,0,0.625,1.25,0,0.625,65.625,8.125,1.875,7.5,1.875
E00066784,140,19,0,0,8,3,2,79,13,6,8,2,13.571428571428571,0,0,5.714285714285714,2.142857142857143,1.4285714285714286,56.42857142857143,9.285714285714286,4.285714285714286,5.714285714285714,1.4285714285714286
E00066785,95,16,0,0,2,0,1,57,6,1,11,1,16.842105263157894,0,0,2.1052631578947367,0,1.0526315789473684,60,6.315789473684211,1.0526315789473684,11.578947368421053,1.0526315789473684
E00066786,144,11,0,0,10,1,1,80,11,11,17,2,7.638888888888889,0,0,6.944444444444445,0.6944444444444444,0.6944444444444444,55.55555555555556,7.638888888888889,7.638888888888889,11.805555555555555,1.3888888888888888
E00066787,150,5,0,0,7,0,0,94,16,6,20,2,3.3333333333333335,0,0,4.666666666666667,0,0,62.66666666666667,10.666666666666668,4,13.333333333333334,1.3333333333333335
E00066788,135,12,0,0,9,0,0,82,13,5,13,1,8.88888888888889,0,0,6.666666666666667,0,0,60.74074074074074,9.62962962962963,3.7037037037037033,9.62962962962963,0.7407407407407408
E00066789,105,13,0,0,1,0,2,76,7,2,4,0,12.380952380952381,0,0,0.9523809523809524,0,1.9047619047619049,72.38095238095238,6.666666666666667,1.9047619047619049,3.8095238095238098,0
E00066790,133,21,0,0,0,0,3,83,6,4,15,1,15.789473684210526,0,0,0,0,2.2556390977443606,62.40601503759399,4.511278195488721,3.007518796992481,11.278195488721805,0.7518796992481203
E00066792,114,3,0,1,4,0,4,61,15,10,16,0,2.631578947368421,0,0.8771929824561403,3.508771929824561,0,3.508771929824561,53.50877192982456,13.157894736842104,8.771929824561402,14.035087719298245,0
E00066793,140,20,0,0,1,0,1,100,8,6,4,0,14.285714285714285,0,0,0.7142857142857143,0,0.7142857142857143,71.42857142857143,5.714285714285714,4.285714285714286,2.857142857142857,0
E00066794,154,19,0,0,3,0,0,110,10,5,6,1,12.337662337662337,0,0,1.948051948051948,0,0,71.42857142857143,6.493506493506493,3.2467532467532463,3.896103896103896,0.6493506493506493
E00066795,145,21,0,0,1,2,0,101,7,5,7,1,14.482758620689657,0,0,0.6896551724137931,1.3793103448275863,0,69.6551724137931,4.827586206896552,3.4482758620689653,4.827586206896552,0.6896551724137931
E00066796,101,16,0,2,0,0,0,65,3,5,8,2,15.841584158415841,0,1.9801980198019802,0,0,0,64.35643564356435,2.9702970297029703,4.9504950495049505,7.920792079207921,1.9801980198019802
E00066797,130,16,0,0,2,1,0,82,10,9,10,0,12.307692307692308,0,0,1.5384615384615385,0.7692307692307693,0,63.07692307692307,7.6923076923076925,6.923076923076923,7.6923076923076925,0
E00066799,305,50,0,0,4,0,0,222,11,5,12,1,16.39344262295082,0,0,1.3114754098360655,0,0,72.78688524590164,3.606557377049181,1.639344262295082,3.934426229508197,0.32786885245901637
E00066800,101,8,0,0,4,0,0,57,7,6,19,0,7.920792079207921,0,0,3.9603960396039604,0,0,56.43564356435643,6.9306930693069315,5.9405940594059405,18.81188118811881,0
E00066801,108,11,0,0,4,0,2,68,4,6,8,5,10.185185185185185,0,0,3.7037037037037033,0,1.8518518518518516,62.96296296296296,3.7037037037037033,5.555555555555555,7.4074074074074066,4.62962962962963
E00066802,144,9,0,0,9,0,0,75,8,8,34,1,6.25,0,0,6.25,0,0,52.083333333333336,5.555555555555555,5.555555555555555,23.61111111111111,0.6944444444444444
E00066803,122,13,0,0,3,0,0,74,7,7,18,0,10.655737704918032,0,0,2.459016393442623,0,0,60.65573770491803,5.737704918032787,5.737704918032787,14.754098360655737,0
E00066804,100,7,0,0,5,1,3,52,1,9,21,1,7.000000000000001,0,0,5,1,3,52,1,9,21,1
E00066805,121,6,0,0,3,1,0,78,12,9,11,1,4.958677685950414,0,0,2.479338842975207,0.8264462809917356,0,64.46280991735537,9.917355371900827,7.43801652892562,9.090909090909092,0.8264462809917356
