OA,ts0050001,ts0050002,ts0050003,ts0050004,ts0050005,ts0050006,ts0050007,ts0050008,ts0050009,ts0050010,ts0050011,ts0050012,ts0050013,ts0050014,ts0050015,ts0050016,ts0050017,ts0050018,ts0050019,ts0050020,ts0050021,ts0050022,ts0050023,ts0050024,ts0050025,ts0050026,ts0050027,ts0050028,ts0050029,ts0050030,ts0050031,ts0050032,ts0050033,ts0050034,ts0050002_PCT,ts0050003_PCT,ts0050004_PCT,ts0050005_PCT,ts0050006_PCT,ts0050007_PCT,ts0050008_PCT,ts0050009_PCT,ts0050010_PCT,ts0050011_PCT,ts0050012_PCT,ts0050013_PCT,ts0050014_PCT,ts0050015_PCT,ts0050016_PCT,ts0050017_PCT,ts0050018_PCT,ts0050019_PCT,ts0050020_PCT,ts0050021_PCT,ts0050022_PCT,ts0050023_PCT,ts0050024_PCT,ts0050025_PCT,ts0050026_PCT,ts0050027_PCT,ts0050028_PCT,ts0050029_PCT,ts0050030_PCT,ts0050031_PCT,ts0050032_PCT,ts0050033_PCT,ts0050034_PCT
E00163925,597,526,517,5,4,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,67,88.107202680067,86.59966499162479,0.8375209380234505,0.6700167504187605,0.6700167504187605,0.16750418760469013,0,0,0,0,0,0,0,0.5025125628140703,0,0,0,0,0,0,0,0.16750418760469013,0,0,0.16750418760469013,0,0,0,0,0,0.5025125628140703,0,11.222780569514237
E00163927,373,354,351,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,17,94.90616621983914,94.10187667560321,0.2680965147453083,0.5361930294906166,0.5361930294906166,0,0,0,0,0,0,0,0,0.5361930294906166,0,0,0,0,0,0,0,0.5361930294906166,0,0,0.5361930294906166,0,0,0,0,0,0,0,4.557640750670242
E00163928,308,284,283,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,23,92.20779220779221,91.88311688311688,0.3246753246753247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3246753246753247,0.3246753246753247,0,0,0,7.467532467532467
E00163929,359,339,334,0,5,4,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,18,94.42896935933148,93.03621169916435,0,1.392757660167131,1.1142061281337048,0,0,0,0,0,0,0,1.1142061281337048,0,0.2785515320334262,0,0.2785515320334262,0,0,0,0,0,0,0,0,0,0,0.5571030640668524,0.5571030640668524,0,0,0,5.013927576601671
E00163933,287,258,252,0,6,6,0,0,0,0,0,0,5,0,1,0,0,0,1,0,1,0,4,0,0,0,1,3,0,0,0,0,0,24,89.89547038327527,87.8048780487805,0,2.0905923344947737,2.0905923344947737,0,0,0,0,0,0,1.7421602787456445,0,0.34843205574912894,0,0,0,0.34843205574912894,0,0.34843205574912894,0,1.3937282229965158,0,0,0,0.34843205574912894,1.0452961672473868,0,0,0,0,0,8.362369337979095
E00163935,353,334,331,0,3,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,94.61756373937678,93.76770538243626,0,0.84985835694051,0.84985835694051,0.28328611898017,0,0,0,0,0,0,0,0.56657223796034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.382436260623229
E00163942,453,416,407,2,7,3,0,0,0,1,1,1,0,0,0,4,4,0,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,33,91.83222958057395,89.84547461368653,0.44150110375275936,1.545253863134658,0.6622516556291391,0,0,0,0.22075055187637968,0.22075055187637968,0.22075055187637968,0,0,0,0.8830022075055187,0.8830022075055187,0,0,0,0,0,0.8830022075055187,0,0,0.22075055187637968,0.6622516556291391,0,0,0,0,0,0,7.28476821192053
E00163945,378,350,347,0,3,1,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,25,92.5925925925926,91.7989417989418,0,0.7936507936507936,0.26455026455026454,0,0,0,0,0,0,0,0.26455026455026454,0,0.5291005291005291,0,0.5291005291005291,0,0,0,0,0,0,0,0,0,0,0.7936507936507936,0.7936507936507936,0,0,0,6.613756613756613
E00181313,173,161,156,1,4,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,93.0635838150289,90.17341040462428,0.5780346820809248,2.312138728323699,2.312138728323699,1.7341040462427744,0,0,0,0,0,0,0,0.5780346820809248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9364161849710975
E00181327,383,360,357,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,21,93.99477806788512,93.21148825065274,0.5221932114882507,0.26109660574412535,0.26109660574412535,0,0,0.26109660574412535,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26109660574412535,0,0,0.26109660574412535,0,0,0.26109660574412535,0,0.26109660574412535,0,0,5.483028720626632
