OA,ts0620001,ts0620002,ts0620003,ts0620004,ts0620005,ts0620006,ts0620007,ts0620008,ts0620009,ts0620010,ts0620002_PCT,ts0620003_PCT,ts0620004_PCT,ts0620005_PCT,ts0620006_PCT,ts0620007_PCT,ts0620008_PCT,ts0620009_PCT,ts0620010_PCT
E00045077,257,27,66,34,30,21,18,18,20,23,10.505836575875486,25.680933852140075,13.229571984435799,11.673151750972762,8.171206225680933,7.003891050583658,7.003891050583658,7.782101167315175,8.949416342412452
E00045078,308,27,68,60,35,9,32,42,16,19,8.766233766233766,22.07792207792208,19.480519480519483,11.363636363636363,2.922077922077922,10.38961038961039,13.636363636363635,5.194805194805195,6.1688311688311686
E00045079,255,21,36,25,25,23,37,37,30,21,8.235294117647058,14.117647058823529,9.803921568627452,9.803921568627452,9.019607843137255,14.50980392156863,14.50980392156863,11.76470588235294,8.235294117647058
E00045080,308,31,70,37,36,13,31,33,31,26,10.064935064935066,22.727272727272727,12.012987012987013,11.688311688311687,4.220779220779221,10.064935064935066,10.714285714285714,10.064935064935066,8.441558441558442
E00045081,214,9,38,24,9,10,32,38,45,9,4.205607476635514,17.75700934579439,11.214953271028037,4.205607476635514,4.672897196261682,14.953271028037381,17.75700934579439,21.02803738317757,4.205607476635514
E00045082,337,18,27,27,29,21,51,43,78,43,5.341246290801187,8.011869436201781,8.011869436201781,8.605341246290802,6.231454005934718,15.133531157270031,12.759643916913946,23.14540059347181,12.759643916913946
E00045083,290,23,52,35,40,19,39,45,17,20,7.931034482758621,17.93103448275862,12.068965517241379,13.793103448275861,6.551724137931035,13.448275862068964,15.517241379310345,5.862068965517241,6.896551724137931
E00045084,275,20,48,25,27,12,32,45,43,23,7.2727272727272725,17.454545454545457,9.090909090909092,9.818181818181818,4.363636363636364,11.636363636363637,16.363636363636363,15.636363636363637,8.363636363636363
E00045085,264,22,42,22,25,13,36,23,62,19,8.333333333333332,15.909090909090908,8.333333333333332,9.469696969696969,4.924242424242424,13.636363636363635,8.712121212121213,23.484848484848484,7.196969696969697
E00045086,339,22,54,46,25,15,44,44,56,33,6.489675516224189,15.929203539823009,13.569321533923304,7.374631268436578,4.424778761061947,12.979351032448378,12.979351032448378,16.519174041297934,9.734513274336283
E00045087,217,31,39,21,22,7,20,27,37,13,14.285714285714285,17.972350230414747,9.67741935483871,10.138248847926267,3.225806451612903,9.216589861751153,12.442396313364055,17.050691244239633,5.990783410138248
E00045088,266,21,60,29,23,25,30,35,23,20,7.894736842105263,22.55639097744361,10.902255639097744,8.646616541353383,9.398496240601503,11.278195488721805,13.157894736842104,8.646616541353383,7.518796992481203
E00045090,295,27,50,36,27,16,36,46,41,16,9.152542372881356,16.94915254237288,12.203389830508476,9.152542372881356,5.423728813559322,12.203389830508476,15.593220338983052,13.898305084745763,5.423728813559322
E00045091,347,29,84,49,34,13,35,46,40,17,8.357348703170029,24.207492795389047,14.121037463976945,9.798270893371757,3.7463976945244957,10.086455331412104,13.256484149855908,11.527377521613833,4.899135446685879
E00045092,335,47,76,34,19,16,40,32,58,13,14.029850746268657,22.686567164179106,10.149253731343283,5.6716417910447765,4.776119402985075,11.940298507462686,9.55223880597015,17.313432835820898,3.880597014925373
E00045093,256,22,49,28,23,20,30,34,37,13,8.59375,19.140625,10.9375,8.984375,7.8125,11.71875,13.28125,14.453125,5.078125
