OA,ts0660001,ts0660002,ts0660003,ts0660004,ts0660005,ts0660006,ts0660007,ts0660008,ts0660009,ts0660010,ts0660011,ts0660012,ts0660013,ts0660014,ts0660015,ts0660016,ts0660017,ts0660018,ts0660019,ts0660020,ts0660021,ts0660022,ts0660023,ts0660024,ts0660025,ts0660026,ts0660027,ts0660028,ts0660029,ts0660030,ts0660031,ts0660002_PCT,ts0660003_PCT,ts0660004_PCT,ts0660005_PCT,ts0660006_PCT,ts0660007_PCT,ts0660008_PCT,ts0660009_PCT,ts0660010_PCT,ts0660011_PCT,ts0660012_PCT,ts0660013_PCT,ts0660014_PCT,ts0660015_PCT,ts0660016_PCT,ts0660017_PCT,ts0660018_PCT,ts0660019_PCT,ts0660020_PCT,ts0660021_PCT,ts0660022_PCT,ts0660023_PCT,ts0660024_PCT,ts0660025_PCT,ts0660026_PCT,ts0660027_PCT,ts0660028_PCT,ts0660029_PCT,ts0660030_PCT,ts0660031_PCT
E00111573,310,173,161,127,42,85,3,0,3,31,10,21,12,4,4,4,4,0,0,0,0,0,0,0,0,133,112,5,6,1,9,55.80645161290323,51.935483870967744,40.96774193548387,13.548387096774196,27.419354838709676,0.967741935483871,0,0.967741935483871,10,3.225806451612903,6.774193548387098,3.870967741935484,1.2903225806451613,1.2903225806451613,1.2903225806451613,1.2903225806451613,0,0,0,0,0,0,0,0,42.90322580645161,36.12903225806451,1.6129032258064515,1.935483870967742,0.3225806451612903,2.903225806451613
E00111575,241,109,109,86,31,55,0,0,0,23,6,17,0,3,3,3,2,1,0,0,0,0,0,0,0,129,102,7,9,4,7,45.22821576763486,45.22821576763486,35.684647302904565,12.863070539419086,22.821576763485478,0,0,0,9.54356846473029,2.4896265560165975,7.053941908713693,0,1.2448132780082988,1.2448132780082988,1.2448132780082988,0.8298755186721992,0.4149377593360996,0,0,0,0,0,0,0,53.52697095435685,42.32365145228216,2.904564315352697,3.7344398340248963,1.6597510373443984,2.904564315352697
E00111576,294,146,138,112,36,76,6,4,2,20,10,10,8,5,4,4,4,0,0,0,0,0,0,0,1,143,109,8,10,13,3,49.65986394557823,46.93877551020408,38.095238095238095,12.244897959183673,25.850340136054424,2.0408163265306123,1.3605442176870748,0.6802721088435374,6.802721088435375,3.4013605442176873,3.4013605442176873,2.7210884353741496,1.7006802721088436,1.3605442176870748,1.3605442176870748,1.3605442176870748,0,0,0,0,0,0,0,0.3401360544217687,48.63945578231292,37.07482993197279,2.7210884353741496,3.4013605442176873,4.421768707482993,1.0204081632653061
E00111577,208,115,108,83,28,55,5,1,4,20,9,11,7,2,0,0,0,0,0,0,0,0,0,0,2,91,56,7,10,8,10,55.28846153846154,51.92307692307693,39.90384615384615,13.461538461538462,26.442307692307693,2.403846153846154,0.4807692307692308,1.9230769230769231,9.615384615384617,4.326923076923077,5.288461538461538,3.3653846153846154,0.9615384615384616,0,0,0,0,0,0,0,0,0,0,0.9615384615384616,43.75,26.923076923076923,3.3653846153846154,4.807692307692308,3.8461538461538463,4.807692307692308
E00111578,252,149,145,114,35,79,4,2,2,27,16,11,4,3,3,3,3,0,0,0,0,0,0,0,0,100,68,6,13,10,3,59.12698412698413,57.53968253968254,45.23809523809524,13.88888888888889,31.349206349206348,1.5873015873015872,0.7936507936507936,0.7936507936507936,10.714285714285714,6.349206349206349,4.365079365079365,1.5873015873015872,1.1904761904761905,1.1904761904761905,1.1904761904761905,1.1904761904761905,0,0,0,0,0,0,0,0,39.682539682539684,26.984126984126984,2.380952380952381,5.158730158730158,3.968253968253968,1.1904761904761905
E00111579,266,137,128,97,27,70,7,3,4,24,14,10,9,4,4,4,4,0,0,0,0,0,0,0,0,125,94,5,17,8,1,51.50375939849624,48.1203007518797,36.46616541353384,10.150375939849624,26.31578947368421,2.631578947368421,1.1278195488721803,1.5037593984962405,9.022556390977442,5.263157894736842,3.7593984962406015,3.3834586466165413,1.5037593984962405,1.5037593984962405,1.5037593984962405,1.5037593984962405,0,0,0,0,0,0,0,0,46.99248120300752,35.338345864661655,1.8796992481203008,6.390977443609022,3.007518796992481,0.37593984962406013
E00111580,207,119,111,87,23,64,4,1,3,20,9,11,8,4,2,2,2,0,0,0,0,0,0,0,2,84,29,13,15,22,5,57.48792270531401,53.62318840579711,42.028985507246375,11.11111111111111,30.917874396135264,1.932367149758454,0.4830917874396135,1.4492753623188406,9.66183574879227,4.3478260869565215,5.314009661835748,3.864734299516908,1.932367149758454,0.966183574879227,0.966183574879227,0.966183574879227,0,0,0,0,0,0,0,0.966183574879227,40.57971014492754,14.009661835748794,6.280193236714976,7.246376811594203,10.628019323671497,2.4154589371980677
E00111581,212,106,99,77,27,50,4,0,4,18,8,10,7,2,1,1,0,1,0,0,0,0,0,0,1,104,54,9,17,17,7,50,46.69811320754717,36.32075471698113,12.735849056603774,23.58490566037736,1.8867924528301887,0,1.8867924528301887,8.49056603773585,3.7735849056603774,4.716981132075472,3.30188679245283,0.9433962264150944,0.4716981132075472,0.4716981132075472,0,0.4716981132075472,0,0,0,0,0,0,0.4716981132075472,49.056603773584904,25.471698113207548,4.245283018867925,8.018867924528301,8.018867924528301,3.30188679245283
E00111582,229,127,112,98,34,64,5,3,2,9,3,6,15,1,0,0,0,0,0,0,0,0,0,0,1,101,36,15,17,18,15,55.45851528384279,48.90829694323144,42.79475982532751,14.847161572052403,27.947598253275107,2.1834061135371177,1.3100436681222707,0.8733624454148471,3.9301310043668125,1.3100436681222707,2.6200873362445414,6.550218340611353,0.43668122270742354,0,0,0,0,0,0,0,0,0,0,0.43668122270742354,44.10480349344978,15.72052401746725,6.550218340611353,7.423580786026202,7.860262008733625,6.550218340611353
E00111583,221,127,121,105,35,70,3,2,1,13,5,8,6,4,4,4,4,0,0,0,0,0,0,0,0,90,36,14,15,16,9,57.466063348416284,54.75113122171946,47.511312217194565,15.837104072398189,31.674208144796378,1.3574660633484164,0.904977375565611,0.4524886877828055,5.88235294117647,2.262443438914027,3.619909502262444,2.7149321266968327,1.809954751131222,1.809954751131222,1.809954751131222,1.809954751131222,0,0,0,0,0,0,0,0,40.723981900452486,16.289592760180994,6.334841628959276,6.787330316742081,7.239819004524888,4.072398190045249
E00111584,212,105,94,83,34,49,0,0,0,11,1,10,11,0,0,0,0,0,0,0,0,0,0,0,0,107,57,6,13,20,11,49.528301886792455,44.339622641509436,39.15094339622642,16.037735849056602,23.11320754716981,0,0,0,5.188679245283019,0.4716981132075472,4.716981132075472,5.188679245283019,0,0,0,0,0,0,0,0,0,0,0,0,50.47169811320755,26.88679245283019,2.8301886792452833,6.132075471698113,9.433962264150944,5.188679245283019
E00111585,226,98,89,77,35,42,3,2,1,9,5,4,9,3,2,2,2,0,0,0,0,0,0,0,1,125,54,9,17,35,10,43.36283185840708,39.38053097345133,34.070796460176986,15.486725663716813,18.58407079646018,1.3274336283185841,0.8849557522123894,0.4424778761061947,3.982300884955752,2.2123893805309733,1.7699115044247788,3.982300884955752,1.3274336283185841,0.8849557522123894,0.8849557522123894,0.8849557522123894,0,0,0,0,0,0,0,0.4424778761061947,55.309734513274336,23.893805309734514,3.982300884955752,7.52212389380531,15.486725663716813,4.424778761061947
E00111586,248,112,104,87,33,54,1,0,1,16,8,8,8,3,2,2,1,1,0,0,0,0,0,0,1,133,66,4,27,29,7,45.16129032258064,41.935483870967744,35.08064516129033,13.306451612903224,21.774193548387096,0.4032258064516129,0,0.4032258064516129,6.451612903225806,3.225806451612903,3.225806451612903,3.225806451612903,1.2096774193548387,0.8064516129032258,0.8064516129032258,0.4032258064516129,0.4032258064516129,0,0,0,0,0,0,0.4032258064516129,53.62903225806451,26.61290322580645,1.6129032258064515,10.887096774193548,11.693548387096774,2.82258064516129
