OA,ts0650001,ts0650002,ts0650003,ts0650004,ts0650002_PCT,ts0650003_PCT,ts0650004_PCT
E00122064,99,15,62,22,15.151515151515152,62.62626262626263,22.22222222222222
E00122065,93,11,52,30,11.827956989247312,55.91397849462365,32.25806451612903
E00122066,153,10,95,48,6.535947712418301,62.091503267973856,31.372549019607842
E00122067,100,15,74,11,15,74,11
E00122068,90,7,64,19,7.777777777777778,71.11111111111111,21.11111111111111
E00122069,113,8,47,58,7.079646017699115,41.5929203539823,51.32743362831859
E00122070,103,11,85,7,10.679611650485436,82.52427184466019,6.796116504854369
E00122071,121,10,92,19,8.264462809917356,76.03305785123968,15.702479338842975
E00122072,103,16,75,12,15.53398058252427,72.81553398058253,11.650485436893204
E00122073,129,13,91,25,10.077519379844961,70.54263565891473,19.379844961240313
E00122074,219,28,123,68,12.785388127853881,56.16438356164384,31.05022831050228
E00122075,149,18,73,58,12.080536912751679,48.99328859060403,38.92617449664429
E00122077,183,60,87,36,32.78688524590164,47.540983606557376,19.672131147540984
E00122078,126,17,83,26,13.492063492063492,65.87301587301587,20.634920634920633
E00122080,125,28,63,34,22.400000000000002,50.4,27.200000000000003
E00122083,153,16,84,53,10.457516339869281,54.90196078431373,34.64052287581699
E00122084,146,21,83,42,14.383561643835616,56.849315068493155,28.767123287671232
E00122085,339,115,142,82,33.92330383480826,41.88790560471977,24.188790560471976
E00122086,136,16,68,52,11.76470588235294,50,38.23529411764706
E00122087,141,20,97,24,14.184397163120568,68.79432624113475,17.02127659574468
E00122088,120,28,57,35,23.333333333333332,47.5,29.166666666666668
E00122089,85,17,45,23,20,52.94117647058824,27.058823529411764
E00122090,132,6,112,14,4.545454545454546,84.84848484848484,10.606060606060606
E00122091,152,15,119,18,9.868421052631579,78.28947368421053,11.842105263157894
E00122092,263,12,217,34,4.562737642585551,82.50950570342205,12.927756653992395
E00122093,104,15,68,21,14.423076923076922,65.38461538461539,20.192307692307693
E00122094,97,15,69,13,15.463917525773196,71.1340206185567,13.402061855670103
E00122095,140,23,89,28,16.428571428571427,63.57142857142857,20
E00122096,131,18,101,12,13.740458015267176,77.09923664122137,9.16030534351145
E00122097,143,26,69,48,18.181818181818183,48.25174825174825,33.56643356643357
E00122098,131,32,61,38,24.427480916030532,46.56488549618321,29.00763358778626
E00122099,141,10,67,64,7.092198581560284,47.5177304964539,45.39007092198582
E00122100,110,27,38,45,24.545454545454547,34.54545454545455,40.909090909090914
E00122101,242,94,96,52,38.84297520661157,39.66942148760331,21.487603305785125
E00122102,110,15,76,19,13.636363636363635,69.0909090909091,17.272727272727273
