OA,ts0580001,ts0580002,ts0580003,ts0580004,ts0580005,ts0580006,ts0580007,ts0580008,ts0580009,ts0580010,ts0580011,ts0580002_PCT,ts0580003_PCT,ts0580004_PCT,ts0580005_PCT,ts0580006_PCT,ts0580007_PCT,ts0580008_PCT,ts0580009_PCT,ts0580010_PCT,ts0580011_PCT
E00144833,133,6,8,6,8,6,3,0,5,78,13,4.511278195488721,6.015037593984962,4.511278195488721,6.015037593984962,4.511278195488721,2.2556390977443606,0,3.7593984962406015,58.64661654135338,9.774436090225564
E00144834,120,6,13,14,10,11,3,2,3,43,15,5,10.833333333333334,11.666666666666666,8.333333333333332,9.166666666666666,2.5,1.6666666666666667,2.5,35.833333333333336,12.5
E00144835,277,8,20,35,19,21,10,5,4,133,22,2.888086642599278,7.2202166064981945,12.63537906137184,6.859205776173286,7.581227436823104,3.6101083032490973,1.8050541516245486,1.444043321299639,48.014440433213,7.9422382671480145
E00144836,188,2,30,30,17,10,5,2,7,62,23,1.0638297872340425,15.957446808510639,15.957446808510639,9.042553191489363,5.319148936170213,2.6595744680851063,1.0638297872340425,3.723404255319149,32.97872340425532,12.23404255319149
E00144837,261,10,38,28,19,7,7,6,6,102,38,3.8314176245210727,14.559386973180077,10.727969348659004,7.2796934865900385,2.681992337164751,2.681992337164751,2.2988505747126435,2.2988505747126435,39.08045977011494,14.559386973180077
E00144838,274,14,35,31,18,12,7,6,8,104,39,5.109489051094891,12.773722627737227,11.313868613138686,6.569343065693431,4.37956204379562,2.5547445255474455,2.18978102189781,2.9197080291970803,37.95620437956204,14.233576642335766
E00144839,147,3,11,14,17,8,2,2,2,68,20,2.0408163265306123,7.482993197278912,9.523809523809524,11.564625850340136,5.442176870748299,1.3605442176870748,1.3605442176870748,1.3605442176870748,46.25850340136054,13.60544217687075
E00144840,177,10,13,20,15,9,3,3,2,80,22,5.649717514124294,7.344632768361582,11.299435028248588,8.47457627118644,5.084745762711865,1.694915254237288,1.694915254237288,1.1299435028248588,45.19774011299435,12.429378531073446
E00144841,88,1,10,13,9,3,5,1,1,39,6,1.1363636363636365,11.363636363636363,14.772727272727273,10.227272727272728,3.4090909090909087,5.681818181818182,1.1363636363636365,1.1363636363636365,44.31818181818182,6.8181818181818175
E00144843,252,7,97,8,27,11,4,4,16,51,27,2.7777777777777777,38.492063492063494,3.1746031746031744,10.714285714285714,4.365079365079365,1.5873015873015872,1.5873015873015872,6.349206349206349,20.238095238095237,10.714285714285714
E00144844,276,18,110,3,40,23,0,3,5,50,24,6.521739130434782,39.85507246376812,1.0869565217391304,14.492753623188406,8.333333333333332,0,1.0869565217391304,1.8115942028985508,18.115942028985508,8.695652173913043
E00144845,197,4,52,3,36,15,2,2,5,52,26,2.030456852791878,26.39593908629442,1.5228426395939088,18.274111675126903,7.614213197969544,1.015228426395939,1.015228426395939,2.5380710659898478,26.39593908629442,13.19796954314721
E00144848,224,8,29,10,25,18,6,6,5,96,21,3.571428571428571,12.946428571428573,4.464285714285714,11.160714285714286,8.035714285714286,2.6785714285714284,2.6785714285714284,2.232142857142857,42.857142857142854,9.375
E00144849,153,3,8,9,19,4,0,3,3,80,24,1.9607843137254901,5.228758169934641,5.88235294117647,12.418300653594772,2.6143790849673203,0,1.9607843137254901,1.9607843137254901,52.28758169934641,15.686274509803921
E00144850,212,3,19,9,37,16,3,3,3,92,27,1.4150943396226416,8.962264150943396,4.245283018867925,17.452830188679243,7.547169811320755,1.4150943396226416,1.4150943396226416,1.4150943396226416,43.39622641509434,12.735849056603774
E00144851,170,63,28,4,10,12,5,3,3,32,10,37.05882352941177,16.470588235294116,2.3529411764705883,5.88235294117647,7.0588235294117645,2.941176470588235,1.7647058823529411,1.7647058823529411,18.823529411764707,5.88235294117647
E00144852,164,51,22,6,6,11,7,0,1,46,14,31.097560975609756,13.414634146341465,3.6585365853658534,3.6585365853658534,6.707317073170732,4.2682926829268295,0,0.6097560975609756,28.04878048780488,8.536585365853659
E00144853,207,61,30,6,16,12,13,4,1,55,9,29.468599033816425,14.492753623188406,2.898550724637681,7.729468599033816,5.797101449275362,6.280193236714976,1.932367149758454,0.4830917874396135,26.570048309178745,4.3478260869565215
E00144854,162,45,15,2,10,11,9,4,4,51,11,27.77777777777778,9.25925925925926,1.2345679012345678,6.172839506172839,6.790123456790123,5.555555555555555,2.4691358024691357,2.4691358024691357,31.48148148148148,6.790123456790123
E00144855,160,32,26,3,11,4,12,4,3,47,18,20,16.25,1.875,6.875000000000001,2.5,7.5,2.5,1.875,29.375,11.25
E00144856,150,46,13,2,6,10,8,2,6,41,16,30.666666666666664,8.666666666666668,1.3333333333333335,4,6.666666666666667,5.333333333333334,1.3333333333333335,4,27.333333333333332,10.666666666666668
E00144857,103,38,4,1,10,2,8,0,2,30,8,36.89320388349515,3.8834951456310676,0.9708737864077669,9.70873786407767,1.9417475728155338,7.766990291262135,0,1.9417475728155338,29.126213592233007,7.766990291262135
E00144858,139,36,22,5,4,11,8,3,5,33,12,25.899280575539567,15.827338129496402,3.5971223021582732,2.877697841726619,7.913669064748201,5.755395683453238,2.158273381294964,3.5971223021582732,23.741007194244602,8.633093525179856
E00144859,171,37,27,4,11,10,10,3,4,39,26,21.637426900584796,15.789473684210526,2.3391812865497075,6.432748538011696,5.847953216374268,5.847953216374268,1.7543859649122806,2.3391812865497075,22.807017543859647,15.204678362573098
E00144860,154,31,23,4,10,15,12,2,1,34,22,20.12987012987013,14.935064935064934,2.5974025974025974,6.493506493506493,9.740259740259742,7.792207792207792,1.2987012987012987,0.6493506493506493,22.07792207792208,14.285714285714285
E00144861,144,27,25,1,3,12,11,1,2,42,20,18.75,17.36111111111111,0.6944444444444444,2.083333333333333,8.333333333333332,7.638888888888889,0.6944444444444444,1.3888888888888888,29.166666666666668,13.88888888888889
E00144863,149,30,24,4,9,7,9,0,1,44,21,20.13422818791946,16.10738255033557,2.684563758389262,6.0402684563758395,4.697986577181208,6.0402684563758395,0,0.6711409395973155,29.53020134228188,14.093959731543624
E00144864,114,28,11,1,9,10,5,1,1,36,12,24.561403508771928,9.649122807017543,0.8771929824561403,7.894736842105263,8.771929824561402,4.385964912280701,0.8771929824561403,0.8771929824561403,31.57894736842105,10.526315789473683
E00144865,147,35,28,3,8,10,3,0,3,38,19,23.809523809523807,19.047619047619047,2.0408163265306123,5.442176870748299,6.802721088435375,2.0408163265306123,0,2.0408163265306123,25.850340136054424,12.925170068027212
E00144866,184,38,28,2,14,13,9,5,1,58,16,20.652173913043477,15.217391304347828,1.0869565217391304,7.608695652173914,7.065217391304348,4.891304347826087,2.717391304347826,0.5434782608695652,31.521739130434785,8.695652173913043
