OA,ts0230001,ts0230002,ts0230003,ts0230004,ts0230005,ts0230006,ts0230002_PCT,ts0230003_PCT,ts0230004_PCT,ts0230005_PCT,ts0230006_PCT
E00157365,196,37,136,6,13,4,18.877551020408163,69.38775510204081,3.061224489795918,6.63265306122449,2.0408163265306123
E00157366,131,44,80,0,7,0,33.587786259541986,61.06870229007634,0,5.343511450381679,0
E00157368,175,139,36,0,0,0,79.42857142857143,20.57142857142857,0,0,0
E00157369,144,69,66,1,7,1,47.91666666666667,45.83333333333333,0.6944444444444444,4.861111111111112,0.6944444444444444
E00157370,120,31,84,0,4,1,25.833333333333336,70,0,3.3333333333333335,0.8333333333333334
E00157371,127,37,70,0,15,5,29.133858267716533,55.118110236220474,0,11.811023622047244,3.937007874015748
E00157372,149,32,92,4,14,7,21.476510067114095,61.74496644295302,2.684563758389262,9.395973154362416,4.697986577181208
E00157373,113,38,65,1,8,1,33.6283185840708,57.52212389380531,0.8849557522123894,7.079646017699115,0.8849557522123894
E00157374,120,36,72,1,8,3,30,60,0.8333333333333334,6.666666666666667,2.5
E00157375,123,13,94,0,16,0,10.569105691056912,76.42276422764228,0,13.008130081300814,0
E00157376,117,32,73,1,9,2,27.350427350427353,62.39316239316239,0.8547008547008548,7.6923076923076925,1.7094017094017095
E00157377,174,32,117,0,21,4,18.39080459770115,67.24137931034483,0,12.068965517241379,2.2988505747126435
E00157378,111,60,43,1,4,3,54.054054054054056,38.73873873873874,0.9009009009009009,3.6036036036036037,2.7027027027027026
E00157379,127,24,82,1,20,0,18.89763779527559,64.56692913385827,0.7874015748031495,15.748031496062993,0
E00157380,125,18,91,2,12,2,14.399999999999999,72.8,1.6,9.6,1.6
E00157381,127,31,82,4,8,2,24.409448818897637,64.56692913385827,3.149606299212598,6.299212598425196,1.574803149606299
E00157382,144,35,98,0,7,4,24.305555555555554,68.05555555555556,0,4.861111111111112,2.7777777777777777
E00157383,150,57,74,0,17,2,38,49.333333333333336,0,11.333333333333332,1.3333333333333335
E00157384,118,21,70,3,21,3,17.796610169491526,59.32203389830508,2.5423728813559325,17.796610169491526,2.5423728813559325
E00157385,113,26,68,3,15,1,23.008849557522122,60.17699115044248,2.6548672566371683,13.274336283185843,0.8849557522123894
