OA,ts0150001,ts0150002,ts0150003,ts0150004,ts0150005,ts0150006,ts0150007,ts0150008,ts0150009,ts0150010,ts0150011,ts0150012,ts0150013,ts0150002_PCT,ts0150003_PCT,ts0150004_PCT,ts0150005_PCT,ts0150006_PCT,ts0150007_PCT,ts0150008_PCT,ts0150009_PCT,ts0150010_PCT,ts0150011_PCT,ts0150012_PCT,ts0150013_PCT
E00160056,314,298,1,1,0,2,1,1,4,2,1,2,1,94.90445859872611,0.3184713375796179,0.3184713375796179,0,0.6369426751592357,0.3184713375796179,0.3184713375796179,1.2738853503184715,0.6369426751592357,0.3184713375796179,0.6369426751592357,0.3184713375796179
E00160062,233,222,4,0,2,0,1,1,1,2,0,0,0,95.27896995708154,1.7167381974248928,0,0.8583690987124464,0,0.4291845493562232,0.4291845493562232,0.4291845493562232,0.8583690987124464,0,0,0
E00160064,277,252,1,2,1,2,3,1,8,7,0,0,0,90.97472924187726,0.36101083032490977,0.7220216606498195,0.36101083032490977,0.7220216606498195,1.083032490974729,0.36101083032490977,2.888086642599278,2.527075812274368,0,0,0
E00160066,324,311,0,0,4,1,1,2,4,1,0,0,0,95.98765432098766,0,0,1.2345679012345678,0.30864197530864196,0.30864197530864196,0.6172839506172839,1.2345679012345678,0.30864197530864196,0,0,0
E00160068,200,186,0,1,2,1,0,2,1,5,2,0,0,93,0,0.5,1,0.5,0,1,0.5,2.5,1,0,0
E00160055,204,185,0,4,1,3,1,4,4,1,0,0,1,90.68627450980392,0,1.9607843137254901,0.49019607843137253,1.4705882352941175,0.49019607843137253,1.9607843137254901,1.9607843137254901,0.49019607843137253,0,0,0.49019607843137253
E00160057,241,211,1,6,1,3,2,3,10,1,1,1,1,87.55186721991701,0.4149377593360996,2.4896265560165975,0.4149377593360996,1.2448132780082988,0.8298755186721992,1.2448132780082988,4.149377593360995,0.4149377593360996,0.4149377593360996,0.4149377593360996,0.4149377593360996
E00160058,261,231,2,1,3,3,3,1,5,2,3,7,0,88.50574712643679,0.7662835249042145,0.38314176245210724,1.1494252873563218,1.1494252873563218,1.1494252873563218,0.38314176245210724,1.9157088122605364,0.7662835249042145,1.1494252873563218,2.681992337164751,0
E00160063,192,168,2,2,1,1,2,3,5,2,1,4,1,87.5,1.0416666666666665,1.0416666666666665,0.5208333333333333,0.5208333333333333,1.0416666666666665,1.5625,2.604166666666667,1.0416666666666665,0.5208333333333333,2.083333333333333,0.5208333333333333
E00160065,275,249,1,3,3,5,1,2,3,1,3,4,0,90.54545454545455,0.36363636363636365,1.090909090909091,1.090909090909091,1.8181818181818181,0.36363636363636365,0.7272727272727273,1.090909090909091,0.36363636363636365,1.090909090909091,1.4545454545454546,0
E00160067,317,291,0,4,0,4,3,1,7,4,0,2,1,91.7981072555205,0,1.2618296529968454,0,1.2618296529968454,0.9463722397476341,0.31545741324921134,2.2082018927444795,1.2618296529968454,0,0.6309148264984227,0.31545741324921134
E00160059,215,185,4,3,7,4,2,6,2,0,2,0,0,86.04651162790698,1.8604651162790697,1.3953488372093024,3.255813953488372,1.8604651162790697,0.9302325581395349,2.7906976744186047,0.9302325581395349,0,0.9302325581395349,0,0
E00160060,237,216,3,2,1,2,0,1,1,3,0,5,3,91.13924050632912,1.2658227848101267,0.8438818565400843,0.42194092827004215,0.8438818565400843,0,0.42194092827004215,0.42194092827004215,1.2658227848101267,0,2.109704641350211,1.2658227848101267
E00160061,212,194,1,2,4,1,2,3,4,1,0,0,0,91.50943396226415,0.4716981132075472,0.9433962264150944,1.8867924528301887,0.4716981132075472,0.9433962264150944,1.4150943396226416,1.8867924528301887,0.4716981132075472,0,0,0
E00160069,172,150,3,1,3,2,4,2,4,2,0,0,1,87.20930232558139,1.744186046511628,0.5813953488372093,1.744186046511628,1.1627906976744187,2.3255813953488373,1.1627906976744187,2.3255813953488373,1.1627906976744187,0,0,0.5813953488372093
E00160070,143,132,0,0,1,2,0,0,0,3,1,2,2,92.3076923076923,0,0,0.6993006993006993,1.3986013986013985,0,0,0,2.097902097902098,0.6993006993006993,1.3986013986013985,1.3986013986013985
E00160071,386,335,5,5,7,3,3,1,17,4,3,0,3,86.78756476683938,1.2953367875647668,1.2953367875647668,1.8134715025906734,0.7772020725388601,0.7772020725388601,0.2590673575129534,4.404145077720207,1.0362694300518136,0.7772020725388601,0,0.7772020725388601
E00160072,172,159,2,2,1,1,0,1,2,1,1,2,0,92.44186046511628,1.1627906976744187,1.1627906976744187,0.5813953488372093,0.5813953488372093,0,0.5813953488372093,1.1627906976744187,0.5813953488372093,0.5813953488372093,1.1627906976744187,0
E00160461,143,135,0,1,1,0,2,0,3,0,1,0,0,94.4055944055944,0,0.6993006993006993,0.6993006993006993,0,1.3986013986013985,0,2.097902097902098,0,0.6993006993006993,0,0
E00160462,245,223,1,1,3,3,0,2,4,3,1,2,2,91.02040816326532,0.40816326530612246,0.40816326530612246,1.2244897959183674,1.2244897959183674,0,0.8163265306122449,1.6326530612244898,1.2244897959183674,0.40816326530612246,0.8163265306122449,0.8163265306122449
E00160463,300,268,0,5,8,1,1,0,11,0,4,2,0,89.33333333333333,0,1.6666666666666667,2.666666666666667,0.33333333333333337,0.33333333333333337,0,3.6666666666666665,0,1.3333333333333335,0.6666666666666667,0
E00160466,505,471,2,2,2,6,3,4,13,0,2,0,0,93.26732673267327,0.39603960396039606,0.39603960396039606,0.39603960396039606,1.188118811881188,0.594059405940594,0.7920792079207921,2.5742574257425743,0,0.39603960396039606,0,0
E00160467,173,150,0,1,3,1,0,0,6,2,3,5,2,86.70520231213872,0,0.5780346820809248,1.7341040462427744,0.5780346820809248,0,0,3.4682080924855487,1.1560693641618496,1.7341040462427744,2.8901734104046244,1.1560693641618496
E00160044,150,137,2,3,0,2,1,1,2,0,0,2,0,91.33333333333333,1.3333333333333335,2,0,1.3333333333333335,0.6666666666666667,0.6666666666666667,1.3333333333333335,0,0,1.3333333333333335,0
