OA,ts0180001,ts0180002,ts0180003,ts0180004,ts0180005,ts0180006,ts0180007,ts0180008,ts0180009,ts0180010,ts0180011,ts0180012,ts0180013,ts0180014,ts0180015,ts0180016,ts0180017,ts0180018,ts0180019,ts0180002_PCT,ts0180003_PCT,ts0180004_PCT,ts0180005_PCT,ts0180006_PCT,ts0180007_PCT,ts0180008_PCT,ts0180009_PCT,ts0180010_PCT,ts0180011_PCT,ts0180012_PCT,ts0180013_PCT,ts0180014_PCT,ts0180015_PCT,ts0180016_PCT,ts0180017_PCT,ts0180018_PCT,ts0180019_PCT
W00001999,349,330,19,3,0,3,1,1,0,0,3,0,6,2,0,0,0,0,0,94.55587392550143,5.444126074498568,0.8595988538681949,0,0.8595988538681949,0.28653295128939826,0.28653295128939826,0,0,0.8595988538681949,0,1.7191977077363898,0.5730659025787965,0,0,0,0,0
W00002000,244,224,20,4,0,0,0,0,0,2,6,0,2,4,0,1,1,0,0,91.80327868852459,8.19672131147541,1.639344262295082,0,0,0,0,0,0.819672131147541,2.459016393442623,0,0.819672131147541,1.639344262295082,0,0.4098360655737705,0.4098360655737705,0,0
W00002004,268,251,17,3,2,0,2,1,0,1,3,1,4,0,0,0,0,0,0,93.65671641791045,6.343283582089552,1.1194029850746268,0.7462686567164178,0,0.7462686567164178,0.3731343283582089,0,0.3731343283582089,1.1194029850746268,0.3731343283582089,1.4925373134328357,0,0,0,0,0,0
W00002008,273,262,11,4,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,95.97069597069597,4.029304029304029,1.465201465201465,0,0,0,0,0,0,0.3663003663003663,1.8315018315018317,0.3663003663003663,0,0,0,0,0,0
W00002009,238,226,12,3,1,0,0,0,0,0,3,2,3,0,0,0,0,0,0,94.9579831932773,5.042016806722689,1.2605042016806722,0.42016806722689076,0,0,0,0,0,1.2605042016806722,0.8403361344537815,1.2605042016806722,0,0,0,0,0,0
W00002001,467,448,19,2,1,1,3,0,0,0,7,1,2,2,0,0,0,0,0,95.93147751605996,4.068522483940043,0.4282655246252677,0.21413276231263384,0.21413276231263384,0.6423982869379015,0,0,0,1.4989293361884368,0.21413276231263384,0.4282655246252677,0.4282655246252677,0,0,0,0,0
W00002010,352,332,20,5,0,1,0,2,2,1,2,4,2,1,0,0,0,0,0,94.31818181818183,5.681818181818182,1.4204545454545454,0,0.2840909090909091,0,0.5681818181818182,0.5681818181818182,0.2840909090909091,0.5681818181818182,1.1363636363636365,0.5681818181818182,0.2840909090909091,0,0,0,0,0
W00002011,550,523,27,0,2,0,2,0,2,1,9,6,5,0,0,0,0,0,0,95.0909090909091,4.909090909090909,0,0.36363636363636365,0,0.36363636363636365,0,0.36363636363636365,0.18181818181818182,1.6363636363636365,1.090909090909091,0.9090909090909091,0,0,0,0,0,0
W00010028,221,210,11,4,1,0,0,0,0,0,3,1,1,1,0,0,0,0,0,95.02262443438913,4.97737556561086,1.809954751131222,0.4524886877828055,0,0,0,0,0,1.3574660633484164,0.4524886877828055,0.4524886877828055,0.4524886877828055,0,0,0,0,0
W00010036,526,470,56,14,3,1,3,0,1,3,11,9,8,1,0,1,1,0,0,89.35361216730038,10.646387832699618,2.6615969581749046,0.5703422053231939,0.19011406844106463,0.5703422053231939,0,0.19011406844106463,0.5703422053231939,2.091254752851711,1.7110266159695817,1.520912547528517,0.19011406844106463,0,0.19011406844106463,0.19011406844106463,0,0
