OA,ts0650001,ts0650002,ts0650003,ts0650004,ts0650002_PCT,ts0650003_PCT,ts0650004_PCT
W00002704,121,8,99,14,6.6115702479338845,81.81818181818183,11.570247933884298
W00002705,128,12,95,21,9.375,74.21875,16.40625
W00002706,113,10,91,12,8.849557522123893,80.53097345132744,10.619469026548673
W00002707,95,6,74,15,6.315789473684211,77.89473684210526,15.789473684210526
W00002708,92,12,70,10,13.043478260869565,76.08695652173914,10.869565217391305
W00002709,103,6,77,20,5.825242718446602,74.75728155339806,19.41747572815534
W00002710,84,4,70,10,4.761904761904762,83.33333333333334,11.904761904761903
W00002711,180,22,145,13,12.222222222222221,80.55555555555556,7.222222222222221
W00002712,82,4,68,10,4.878048780487805,82.92682926829268,12.195121951219512
W00002713,120,7,91,22,5.833333333333333,75.83333333333333,18.333333333333332
W00002714,134,10,114,10,7.462686567164178,85.07462686567165,7.462686567164178
W00002715,96,6,84,6,6.25,87.5,6.25
W00002716,151,10,119,22,6.622516556291391,78.80794701986756,14.56953642384106
W00002717,63,9,47,7,14.285714285714285,74.60317460317461,11.11111111111111
W00002718,63,7,35,21,11.11111111111111,55.55555555555556,33.33333333333333
W00002719,262,18,210,34,6.870229007633588,80.1526717557252,12.977099236641221
W00002720,128,3,108,17,2.34375,84.375,13.28125
W00002721,82,7,50,25,8.536585365853659,60.97560975609756,30.48780487804878
W00002722,119,16,83,20,13.445378151260504,69.74789915966386,16.80672268907563
W00002723,123,14,88,21,11.38211382113821,71.54471544715447,17.073170731707318
W00002724,112,8,94,10,7.142857142857142,83.92857142857143,8.928571428571429
W00002725,84,5,70,9,5.952380952380952,83.33333333333334,10.714285714285714
W00002726,103,10,78,15,9.70873786407767,75.72815533980582,14.563106796116504
W00002727,94,15,55,24,15.957446808510639,58.51063829787234,25.53191489361702
W00002728,116,7,88,21,6.0344827586206895,75.86206896551724,18.103448275862068
W00002729,83,3,65,15,3.614457831325301,78.3132530120482,18.072289156626507
W00002730,138,9,101,28,6.521739130434782,73.18840579710145,20.28985507246377
W00002731,173,15,102,56,8.670520231213873,58.95953757225434,32.369942196531795
W00002732,119,17,71,31,14.285714285714285,59.66386554621849,26.05042016806723
W00002733,88,8,49,31,9.090909090909092,55.68181818181818,35.22727272727273
W00002734,104,6,79,19,5.769230769230769,75.96153846153845,18.269230769230766
W00002736,167,25,113,29,14.97005988023952,67.66467065868264,17.365269461077844
W00002737,112,20,69,23,17.857142857142858,61.60714285714286,20.535714285714285
W00002738,112,33,51,28,29.464285714285715,45.535714285714285,25
W00002739,136,46,55,35,33.82352941176471,40.44117647058824,25.735294117647058
W00002740,147,45,71,31,30.612244897959183,48.29931972789115,21.08843537414966
W00002741,133,43,61,29,32.33082706766917,45.86466165413533,21.804511278195488
W00002742,151,57,47,47,37.74834437086093,31.125827814569533,31.125827814569533
W00002743,144,46,71,27,31.944444444444443,49.30555555555556,18.75
W00002744,164,74,53,37,45.1219512195122,32.31707317073171,22.5609756097561
W00002745,106,28,40,38,26.41509433962264,37.735849056603776,35.84905660377358
W00002746,114,31,64,19,27.192982456140353,56.14035087719298,16.666666666666664
W00002747,98,18,69,11,18.367346938775512,70.40816326530613,11.224489795918368
W00002748,179,46,101,32,25.69832402234637,56.424581005586596,17.877094972067038
W00002751,144,42,66,36,29.166666666666668,45.83333333333333,25
W00002752,171,53,93,25,30.994152046783626,54.385964912280706,14.619883040935672
W00002753,113,14,72,27,12.389380530973451,63.716814159292035,23.893805309734514
W00002754,90,13,59,18,14.444444444444443,65.55555555555556,20
W00002755,108,20,61,27,18.51851851851852,56.481481481481474,25
W00002756,109,17,74,18,15.59633027522936,67.88990825688074,16.51376146788991
W00002757,66,11,49,6,16.666666666666664,74.24242424242425,9.090909090909092
W00002758,92,9,62,21,9.782608695652174,67.3913043478261,22.82608695652174
W00002759,93,9,56,28,9.67741935483871,60.215053763440864,30.107526881720432
W00002760,88,19,42,27,21.59090909090909,47.72727272727273,30.681818181818183
W00002761,101,15,56,30,14.85148514851485,55.44554455445545,29.7029702970297
W00002762,119,13,73,33,10.92436974789916,61.34453781512605,27.73109243697479
W00002763,136,44,68,24,32.35294117647059,50,17.647058823529413
W00002764,120,41,52,27,34.166666666666664,43.333333333333336,22.5
W00002765,116,24,66,26,20.689655172413794,56.896551724137936,22.413793103448278
W00002766,146,35,81,30,23.972602739726025,55.47945205479452,20.54794520547945
W00002767,62,16,35,11,25.806451612903224,56.451612903225815,17.741935483870968
W00002768,99,3,86,10,3.0303030303030303,86.86868686868688,10.1010101010101
W00002769,56,6,38,12,10.714285714285714,67.85714285714286,21.428571428571427
W00002770,124,11,96,17,8.870967741935484,77.41935483870968,13.709677419354838
W00002771,194,50,109,35,25.773195876288657,56.18556701030928,18.04123711340206
W00002772,129,20,89,20,15.503875968992247,68.9922480620155,15.503875968992247
W00002773,96,11,79,6,11.458333333333332,82.29166666666666,6.25
W00002774,144,6,106,32,4.166666666666666,73.61111111111111,22.22222222222222
W00002775,119,9,91,19,7.563025210084033,76.47058823529412,15.966386554621847
W00002776,110,5,88,17,4.545454545454546,80,15.454545454545453
