OA,ts0210001,ts0210002,ts0210003,ts0210004,ts0210005,ts0210006,ts0210007,ts0210008,ts0210009,ts0210010,ts0210011,ts0210012,ts0210013,ts0210014,ts0210015,ts0210016,ts0210017,ts0210018,ts0210019,ts0210020,ts0210021,ts0210022,ts0210023,ts0210024,ts0210025,ts0210002_PCT,ts0210003_PCT,ts0210004_PCT,ts0210005_PCT,ts0210006_PCT,ts0210007_PCT,ts0210008_PCT,ts0210009_PCT,ts0210010_PCT,ts0210011_PCT,ts0210012_PCT,ts0210013_PCT,ts0210014_PCT,ts0210015_PCT,ts0210016_PCT,ts0210017_PCT,ts0210018_PCT,ts0210019_PCT,ts0210020_PCT,ts0210021_PCT,ts0210022_PCT,ts0210023_PCT,ts0210024_PCT,ts0210025_PCT
W00002956,385,1,0,0,0,0,1,1,1,0,0,6,0,3,0,3,377,373,3,0,0,1,0,0,0,0.2597402597402597,0,0,0,0,0.2597402597402597,0.2597402597402597,0.2597402597402597,0,0,1.5584415584415585,0,0.7792207792207793,0,0.7792207792207793,97.92207792207792,96.88311688311688,0.7792207792207793,0,0,0.2597402597402597,0,0,0
W00002957,211,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,209,208,1,0,0,0,0,0,0,0.47393364928909953,0,0.47393364928909953,0,0,0,0,0,0,0,0.47393364928909953,0,0,0,0.47393364928909953,99.0521327014218,98.5781990521327,0.47393364928909953,0,0,0,0,0,0
W00002958,377,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,375,374,0,0,0,1,0,0,0,0.2652519893899204,0,0,0,0,0.2652519893899204,0.2652519893899204,0,0,0.2652519893899204,0,0,0,0,0,99.46949602122017,99.20424403183023,0,0,0,0.2652519893899204,0,0,0
W00002959,256,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,254,247,4,0,0,3,0,0,0,0.390625,0,0,0,0,0.390625,0.390625,0,0,0.390625,0,0,0,0,0,99.21875,96.484375,1.5625,0,0,1.171875,0,0,0
W00002960,426,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,423,420,1,0,0,2,1,0,1,0.2347417840375587,0,0,0,0,0.2347417840375587,0,0,0,0,0.2347417840375587,0,0.2347417840375587,0,0,99.29577464788733,98.59154929577466,0.2347417840375587,0,0,0.4694835680751174,0.2347417840375587,0,0.2347417840375587
W00002961,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,197,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,99.4949494949495,0,0.5050505050505051,0,0,0,0,0
W00002962,260,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,257,256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.153846153846154,0,0,0.38461538461538464,0.7692307692307693,98.84615384615385,98.46153846153847,0.38461538461538464,0,0,0,0,0,0
W00002963,348,1,0,0,1,0,0,1,1,0,0,3,0,0,0,3,342,334,2,0,0,6,1,0,1,0.28735632183908044,0,0,0.28735632183908044,0,0,0.28735632183908044,0.28735632183908044,0,0,0.8620689655172413,0,0,0,0.8620689655172413,98.27586206896551,95.97701149425288,0.5747126436781609,0,0,1.7241379310344827,0.28735632183908044,0,0.28735632183908044
W00002966,217,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,212,207,4,0,0,1,0,0,0,2.3041474654377883,2.3041474654377883,0,0,0,0,0,0,0,0,0,0,0,0,0,97.6958525345622,95.39170506912443,1.8433179723502304,0,0,0.4608294930875576,0,0,0
W00002967,324,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,320,316,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0.9259259259259258,0.6172839506172839,0,0,0.30864197530864196,98.76543209876543,97.53086419753086,0.30864197530864196,0,0,0.9259259259259258,0.30864197530864196,0,0.30864197530864196
W00002968,250,3,0,0,0,0,3,2,0,2,0,2,1,0,0,1,243,227,6,0,0,10,0,0,0,1.2,0,0,0,0,1.2,0.8,0,0.8,0,0.8,0.4,0,0,0.4,97.2,90.8,2.4,0,0,4,0,0,0
W00002969,433,5,0,0,5,0,0,0,0,0,0,3,2,0,0,1,424,420,1,0,0,3,1,1,0,1.1547344110854503,0,0,1.1547344110854503,0,0,0,0,0,0,0.6928406466512702,0.4618937644341801,0,0,0.23094688221709006,97.92147806004618,96.99769053117782,0.23094688221709006,0,0,0.6928406466512702,0.23094688221709006,0.23094688221709006,0
W00002970,277,3,0,1,0,1,1,0,0,0,0,5,3,0,0,2,269,266,0,0,0,3,0,0,0,1.083032490974729,0,0.36101083032490977,0,0.36101083032490977,0.36101083032490977,0,0,0,0,1.8050541516245486,1.083032490974729,0,0,0.7220216606498195,97.11191335740072,96.028880866426,0,0,0,1.083032490974729,0,0,0
W00002972,369,1,0,0,0,1,0,2,2,0,0,8,7,0,1,0,357,352,0,0,0,5,1,0,1,0.27100271002710025,0,0,0,0.27100271002710025,0,0.5420054200542005,0.5420054200542005,0,0,2.168021680216802,1.8970189701897018,0,0.27100271002710025,0,96.7479674796748,95.39295392953929,0,0,0,1.3550135501355014,0.27100271002710025,0,0.27100271002710025
W00002974,301,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,299,294,1,1,0,3,0,0,0,0.33222591362126247,0,0.33222591362126247,0,0,0,0.33222591362126247,0,0,0.33222591362126247,0,0,0,0,0,99.33554817275747,97.67441860465115,0.33222591362126247,0.33222591362126247,0,0.9966777408637874,0,0,0
