OA,ts0660001,ts0660002,ts0660003,ts0660004,ts0660005,ts0660006,ts0660007,ts0660008,ts0660009,ts0660010,ts0660011,ts0660012,ts0660013,ts0660014,ts0660015,ts0660016,ts0660017,ts0660018,ts0660019,ts0660020,ts0660021,ts0660022,ts0660023,ts0660024,ts0660025,ts0660026,ts0660027,ts0660028,ts0660029,ts0660030,ts0660031,ts0660002_PCT,ts0660003_PCT,ts0660004_PCT,ts0660005_PCT,ts0660006_PCT,ts0660007_PCT,ts0660008_PCT,ts0660009_PCT,ts0660010_PCT,ts0660011_PCT,ts0660012_PCT,ts0660013_PCT,ts0660014_PCT,ts0660015_PCT,ts0660016_PCT,ts0660017_PCT,ts0660018_PCT,ts0660019_PCT,ts0660020_PCT,ts0660021_PCT,ts0660022_PCT,ts0660023_PCT,ts0660024_PCT,ts0660025_PCT,ts0660026_PCT,ts0660027_PCT,ts0660028_PCT,ts0660029_PCT,ts0660030_PCT,ts0660031_PCT,RGN23NM
W00002956,325,163,157,96,26,70,12,0,12,49,22,27,6,6,5,5,5,0,0,0,0,0,0,0,1,156,111,8,16,12,9,50.153846153846146,48.30769230769231,29.53846153846154,8,21.53846153846154,3.6923076923076925,0,3.6923076923076925,15.076923076923077,6.769230769230769,8.307692307692308,1.8461538461538463,1.8461538461538463,1.5384615384615385,1.5384615384615385,1.5384615384615385,0,0,0,0,0,0,0,0.3076923076923077,48,34.15384615384615,2.4615384615384617,4.923076923076923,3.6923076923076925,2.769230769230769,Wales
W00002957,185,100,95,61,23,38,10,0,10,24,9,15,5,1,0,0,0,0,0,0,0,0,0,0,1,84,61,4,7,7,5,54.054054054054056,51.35135135135135,32.972972972972975,12.432432432432433,20.54054054054054,5.405405405405405,0,5.405405405405405,12.972972972972974,4.864864864864865,8.108108108108109,2.7027027027027026,0.5405405405405406,0,0,0,0,0,0,0,0,0,0,0.5405405405405406,45.40540540540541,32.972972972972975,2.1621621621621623,3.783783783783784,3.783783783783784,2.7027027027027026,Wales
W00002958,317,168,162,101,37,64,13,3,10,48,20,28,6,5,5,5,5,0,0,0,0,0,0,0,0,144,89,13,12,19,11,52.99684542586751,51.10410094637224,31.861198738170348,11.67192429022082,20.189274447949526,4.100946372239748,0.9463722397476341,3.1545741324921135,15.141955835962145,6.309148264984227,8.832807570977918,1.8927444794952681,1.5772870662460567,1.5772870662460567,1.5772870662460567,1.5772870662460567,0,0,0,0,0,0,0,0,45.42586750788644,28.075709779179807,4.100946372239748,3.7854889589905363,5.993690851735016,3.4700315457413247,Wales
W00002959,230,104,98,68,32,36,12,2,10,18,8,10,6,4,4,3,1,2,0,0,0,1,1,0,0,122,104,6,3,3,6,45.21739130434783,42.608695652173914,29.565217391304348,13.91304347826087,15.65217391304348,5.217391304347826,0.8695652173913043,4.3478260869565215,7.82608695652174,3.4782608695652173,4.3478260869565215,2.608695652173913,1.7391304347826086,1.7391304347826086,1.3043478260869565,0.43478260869565216,0.8695652173913043,0,0,0,0.43478260869565216,0.43478260869565216,0,0,53.04347826086957,45.21739130434783,2.608695652173913,1.3043478260869565,1.3043478260869565,2.608695652173913,Wales
W00002960,340,204,198,164,49,115,13,4,9,21,6,15,6,3,2,2,2,0,0,0,0,0,0,0,1,133,99,11,7,6,10,60,58.235294117647065,48.23529411764706,14.411764705882351,33.82352941176471,3.823529411764706,1.1764705882352942,2.6470588235294117,6.176470588235294,1.7647058823529411,4.411764705882353,1.7647058823529411,0.8823529411764706,0.5882352941176471,0.5882352941176471,0.5882352941176471,0,0,0,0,0,0,0,0.29411764705882354,39.11764705882353,29.117647058823533,3.2352941176470593,2.0588235294117645,1.7647058823529411,2.941176470588235,Wales
W00002961,180,89,85,65,16,49,4,1,3,16,9,7,4,3,3,2,1,1,1,0,1,0,0,0,0,88,73,0,7,4,4,49.44444444444444,47.22222222222222,36.11111111111111,8.88888888888889,27.22222222222222,2.2222222222222223,0.5555555555555556,1.6666666666666667,8.88888888888889,5,3.888888888888889,2.2222222222222223,1.6666666666666667,1.6666666666666667,1.1111111111111112,0.5555555555555556,0.5555555555555556,0.5555555555555556,0,0.5555555555555556,0,0,0,0,48.888888888888886,40.55555555555556,0,3.888888888888889,2.2222222222222223,2.2222222222222223,Wales
W00002962,225,127,123,95,31,64,6,0,6,22,8,14,4,0,0,0,0,0,0,0,0,0,0,0,0,98,75,6,7,8,2,56.44444444444444,54.666666666666664,42.22222222222222,13.777777777777779,28.444444444444443,2.666666666666667,0,2.666666666666667,9.777777777777779,3.5555555555555554,6.222222222222222,1.7777777777777777,0,0,0,0,0,0,0,0,0,0,0,0,43.55555555555555,33.33333333333333,2.666666666666667,3.111111111111111,3.5555555555555554,0.8888888888888888,Wales
W00002963,307,137,132,96,28,68,12,2,10,24,10,14,5,3,3,3,3,0,0,0,0,0,0,0,0,167,147,6,8,5,1,44.62540716612378,42.99674267100978,31.27035830618892,9.120521172638437,22.149837133550488,3.908794788273615,0.6514657980456027,3.257328990228013,7.81758957654723,3.257328990228013,4.5602605863192185,1.6286644951140066,0.9771986970684038,0.9771986970684038,0.9771986970684038,0.9771986970684038,0,0,0,0,0,0,0,0,54.39739413680782,47.88273615635179,1.9543973941368076,2.6058631921824107,1.6286644951140066,0.32573289902280134,Wales
W00002966,193,108,101,61,22,39,7,2,5,33,15,18,7,5,4,1,1,0,0,0,0,3,2,1,1,80,65,5,9,0,1,55.95854922279793,52.331606217616574,31.606217616580313,11.398963730569948,20.207253886010363,3.6269430051813467,1.0362694300518136,2.5906735751295336,17.098445595854923,7.772020725388601,9.32642487046632,3.6269430051813467,2.5906735751295336,2.072538860103627,0.5181347150259068,0.5181347150259068,0,0,0,0,1.5544041450777202,1.0362694300518136,0.5181347150259068,0.5181347150259068,41.45077720207254,33.67875647668394,2.5906735751295336,4.66321243523316,0,0.5181347150259068,Wales
W00002967,291,117,117,85,34,51,2,1,1,30,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,174,124,7,12,23,8,40.20618556701031,40.20618556701031,29.20962199312715,11.683848797250858,17.525773195876287,0.6872852233676976,0.3436426116838488,0.3436426116838488,10.309278350515463,3.7800687285223367,6.529209621993128,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79381443298969,42.61168384879725,2.405498281786942,4.123711340206185,7.903780068728522,2.7491408934707904,Wales
W00002968,216,83,81,51,23,28,6,2,4,24,9,15,2,0,0,0,0,0,0,0,0,0,0,0,0,133,80,2,6,38,7,38.425925925925924,37.5,23.61111111111111,10.648148148148149,12.962962962962962,2.7777777777777777,0.9259259259259258,1.8518518518518516,11.11111111111111,4.166666666666666,6.944444444444445,0.9259259259259258,0,0,0,0,0,0,0,0,0,0,0,0,61.57407407407407,37.03703703703704,0.9259259259259258,2.7777777777777777,17.59259259259259,3.2407407407407405,Wales
W00002969,351,205,200,136,40,96,13,3,10,51,19,32,5,9,7,7,7,0,0,0,0,0,0,0,2,137,103,6,8,8,12,58.4045584045584,56.98005698005698,38.74643874643874,11.396011396011396,27.350427350427353,3.7037037037037033,0.8547008547008548,2.849002849002849,14.529914529914532,5.413105413105413,9.116809116809117,1.4245014245014245,2.564102564102564,1.9943019943019942,1.9943019943019942,1.9943019943019942,0,0,0,0,0,0,0,0.5698005698005698,39.03133903133903,29.34472934472934,1.7094017094017095,2.2792022792022792,2.2792022792022792,3.418803418803419,Wales
W00002970,226,113,113,90,37,53,3,1,2,20,5,15,0,2,2,2,2,0,0,0,0,0,0,0,0,111,75,17,6,6,7,50,50,39.823008849557525,16.371681415929203,23.451327433628318,1.3274336283185841,0.4424778761061947,0.8849557522123894,8.849557522123893,2.2123893805309733,6.637168141592921,0,0.8849557522123894,0.8849557522123894,0.8849557522123894,0.8849557522123894,0,0,0,0,0,0,0,0,49.11504424778761,33.1858407079646,7.52212389380531,2.6548672566371683,2.6548672566371683,3.0973451327433628,Wales
W00002972,318,178,174,106,43,63,14,7,7,54,22,32,4,2,1,1,0,1,0,0,0,0,0,0,1,138,101,12,11,7,7,55.9748427672956,54.71698113207547,33.33333333333333,13.522012578616351,19.81132075471698,4.40251572327044,2.20125786163522,2.20125786163522,16.9811320754717,6.918238993710692,10.062893081761008,1.257861635220126,0.628930817610063,0.3144654088050315,0.3144654088050315,0,0.3144654088050315,0,0,0,0,0,0,0.3144654088050315,43.39622641509434,31.761006289308174,3.7735849056603774,3.459119496855346,2.20125786163522,2.20125786163522,Wales
