OA,ts0080001,ts0080002,ts0080003,ts0080002_PCT,ts0080003_PCT
W00005264,217,109,108,50.23041474654379,49.76958525345622
W00005265,407,205,202,50.368550368550366,49.631449631449634
W00005266,261,129,132,49.42528735632184,50.57471264367817
W00005273,255,126,129,49.411764705882355,50.588235294117645
W00005267,265,132,133,49.81132075471698,50.18867924528302
W00005268,302,155,147,51.324503311258276,48.675496688741724
W00005269,256,126,130,49.21875,50.78125
W00005271,286,153,133,53.4965034965035,46.50349650349651
W00005272,286,146,140,51.048951048951054,48.95104895104895
W00005256,228,108,120,47.368421052631575,52.63157894736842
W00005274,286,144,142,50.349650349650354,49.65034965034965
W00005275,266,138,128,51.8796992481203,48.1203007518797
W00005276,244,120,124,49.18032786885246,50.81967213114754
W00005277,340,176,164,51.76470588235295,48.23529411764706
W00005259,336,168,168,50,50
W00005260,334,173,161,51.796407185628745,48.20359281437126
W00005270,299,152,147,50.836120401337794,49.163879598662206
W00005278,435,230,205,52.87356321839081,47.12643678160919
W00005257,263,142,121,53.99239543726235,46.00760456273764
W00005258,240,122,118,50.83333333333333,49.166666666666664
W00005261,269,132,137,49.07063197026022,50.92936802973978
W00005262,299,157,142,52.508361204013376,47.491638795986624
W00005263,291,150,141,51.546391752577314,48.45360824742268
W00005371,285,148,137,51.92982456140351,48.07017543859649
W00005374,231,114,117,49.35064935064935,50.649350649350644
W00005375,260,141,119,54.230769230769226,45.76923076923077
W00005376,294,157,137,53.40136054421769,46.59863945578231
W00005377,268,143,125,53.35820895522389,46.64179104477612
W00005378,268,140,128,52.23880597014925,47.76119402985074
W00005370,287,140,147,48.78048780487805,51.21951219512195
W00005373,271,150,121,55.35055350553506,44.64944649446495
W00005379,289,145,144,50.17301038062284,49.82698961937716
W00005381,317,161,156,50.78864353312302,49.21135646687697
W00005382,291,153,138,52.57731958762887,47.42268041237113
W00005387,285,140,145,49.122807017543856,50.877192982456144
W00005388,294,152,142,51.70068027210885,48.29931972789115
W00005389,272,137,135,50.36764705882353,49.63235294117647
W00005392,316,163,153,51.58227848101266,48.41772151898734
W00005394,294,151,143,51.36054421768708,48.63945578231292
W00005386,296,152,144,51.35135135135135,48.64864864864865
W00005390,204,103,101,50.49019607843137,49.50980392156863
W00005391,269,137,132,50.92936802973978,49.07063197026022
W00005395,260,128,132,49.23076923076923,50.76923076923077
W00005396,252,124,128,49.2063492063492,50.79365079365079
W00005393,289,145,144,50.17301038062284,49.82698961937716
W00005397,250,127,123,50.8,49.2
W00005399,317,174,143,54.889589905362776,45.110410094637224
W00005403,238,114,124,47.89915966386555,52.10084033613446
W00005405,270,131,139,48.51851851851852,51.48148148148148
W00005185,324,175,149,54.01234567901234,45.98765432098765
W00005189,119,59,60,49.57983193277311,50.42016806722689
W00005191,284,150,134,52.816901408450704,47.183098591549296
W00005192,364,188,176,51.64835164835166,48.35164835164835
W00005186,266,136,130,51.127819548872175,48.87218045112782
W00005187,525,287,238,54.666666666666664,45.33333333333333
W00005188,395,200,195,50.63291139240506,49.36708860759494
W00005190,233,131,102,56.22317596566524,43.776824034334766
W00005422,213,110,103,51.64319248826291,48.35680751173709
W00005427,292,143,149,48.97260273972603,51.02739726027398
W00005428,291,152,139,52.23367697594502,47.766323024054984
W00005429,347,172,175,49.56772334293948,50.43227665706051
W00005423,298,147,151,49.328859060402685,50.671140939597315
W00005424,314,166,148,52.86624203821656,47.13375796178344
W00005425,285,143,142,50.175438596491226,49.824561403508774
W00005426,335,163,172,48.656716417910445,51.34328358208955
W00005472,304,162,142,53.289473684210535,46.71052631578947
W00005473,292,144,148,49.31506849315068,50.68493150684932
W00005474,251,119,132,47.410358565737056,52.589641434262944
W00005475,333,175,158,52.552552552552555,47.44744744744745
W00005476,251,135,116,53.78486055776892,46.21513944223107
W00005477,319,152,167,47.64890282131661,52.35109717868338
W00005478,329,166,163,50.455927051671736,49.544072948328264
W00005479,366,175,191,47.81420765027322,52.18579234972678
W00005482,320,161,159,50.31250000000001,49.6875
W00010364,330,176,154,53.333333333333336,46.666666666666664
W00005179,289,149,140,51.55709342560554,48.44290657439446
W00005180,425,217,208,51.05882352941177,48.94117647058824
W00005181,416,229,187,55.04807692307693,44.95192307692308
W00005182,333,176,157,52.85285285285285,47.147147147147145
W00005183,411,214,197,52.06812652068127,47.93187347931874
W00005184,369,188,181,50.94850948509485,49.05149051490515
W00005193,319,159,160,49.843260188087775,50.15673981191222
W00005194,322,162,160,50.31055900621118,49.68944099378882
W00005195,275,146,129,53.090909090909086,46.909090909090914
W00005196,325,162,163,49.84615384615385,50.153846153846146
W00005197,246,122,124,49.59349593495935,50.40650406504065
W00005198,290,152,138,52.41379310344828,47.58620689655172
W00005346,314,155,159,49.36305732484077,50.63694267515923
W00005347,383,191,192,49.869451697127936,50.13054830287206
W00005348,230,119,111,51.73913043478261,48.26086956521739
W00005349,318,144,174,45.28301886792453,54.71698113207547
W00005524,350,191,159,54.57142857142857,45.42857142857143
W00005525,256,119,137,46.484375,53.515625
W00005527,323,157,166,48.60681114551084,51.39318885448917
W00005531,333,162,171,48.64864864864865,51.35135135135135
W00005526,295,159,136,53.898305084745765,46.101694915254235
W00005528,296,154,142,52.02702702702703,47.97297297297297
W00005529,271,133,138,49.07749077490775,50.92250922509225
W00005530,297,135,162,45.45454545454545,54.54545454545454
W00005361,195,101,94,51.7948717948718,48.205128205128204
W00005363,330,179,151,54.24242424242425,45.75757575757576
W00005364,266,136,130,51.127819548872175,48.87218045112782
W00005365,446,221,225,49.55156950672646,50.44843049327354
W00005368,271,131,140,48.33948339483395,51.66051660516605
W00005359,287,158,129,55.052264808362374,44.94773519163763
W00005360,271,133,138,49.07749077490775,50.92250922509225
W00005362,306,150,156,49.01960784313725,50.98039215686274
W00005366,248,138,110,55.64516129032258,44.354838709677416
W00005367,345,162,183,46.95652173913044,53.04347826086957
W00005369,280,141,139,50.357142857142854,49.642857142857146
W00005372,233,112,121,48.068669527896994,51.931330472103
W00005380,261,123,138,47.12643678160919,52.87356321839081
W00005383,320,160,160,50,50
W00005384,248,132,116,53.2258064516129,46.774193548387096
W00005385,291,144,147,49.48453608247423,50.51546391752577
W00005398,297,144,153,48.484848484848484,51.515151515151516
W00005400,306,165,141,53.92156862745098,46.07843137254902
W00005401,304,150,154,49.34210526315789,50.6578947368421
W00005402,341,169,172,49.56011730205279,50.43988269794721
W00005404,329,188,141,57.14285714285714,42.857142857142854
W00005172,230,118,112,51.30434782608696,48.69565217391305
W00005173,244,122,122,50,50
W00005174,319,157,162,49.21630094043887,50.78369905956113
W00005176,306,158,148,51.633986928104584,48.366013071895424
W00005177,307,164,143,53.420195439739416,46.579804560260584
W00005178,287,135,152,47.038327526132406,52.961672473867594
W00010387,293,146,147,49.829351535836174,50.170648464163826
W00010423,398,201,197,50.502512562814076,49.497487437185924
W00005596,298,156,142,52.348993288590606,47.651006711409394
W00005600,272,145,127,53.30882352941176,46.69117647058824
W00005601,250,137,113,54.800000000000004,45.2
W00005604,238,120,118,50.42016806722689,49.57983193277311
W00010367,333,171,162,51.35135135135135,48.64864864864865
W00010381,348,180,168,51.724137931034484,48.275862068965516
W00005597,367,199,168,54.223433242506815,45.776566757493185
W00005598,329,170,159,51.671732522796354,48.328267477203646
W00005599,318,174,144,54.71698113207547,45.28301886792453
W00005603,369,182,187,49.32249322493225,50.67750677506775
W00005605,501,260,241,51.896207584830336,48.10379241516966
W00005231,213,103,110,48.35680751173709,51.64319248826291
W00005232,481,251,230,52.18295218295218,47.81704781704782
W00005233,265,137,128,51.698113207547166,48.301886792452834
W00005234,162,80,82,49.382716049382715,50.617283950617285
W00005235,566,287,279,50.70671378091873,49.293286219081274
W00005236,364,192,172,52.74725274725275,47.25274725274725
W00005237,397,210,187,52.896725440806044,47.103274559193956
W00005239,261,123,138,47.12643678160919,52.87356321839081
W00005240,247,127,120,51.417004048582996,48.582995951417004
W00005241,271,144,127,53.13653136531366,46.86346863468634
W00010399,304,153,151,50.32894736842105,49.67105263157895
W00010415,323,171,152,52.94117647058824,47.05882352941176
W00010422,269,141,128,52.41635687732342,47.58364312267658
W00005588,270,138,132,51.11111111111111,48.888888888888886
W00005592,316,172,144,54.43037974683544,45.56962025316456
W00005593,301,150,151,49.83388704318937,50.16611295681063
W00005594,309,162,147,52.42718446601942,47.57281553398058
W00005589,262,138,124,52.67175572519084,47.32824427480916
W00005590,294,152,142,51.70068027210885,48.29931972789115
W00005591,342,162,180,47.368421052631575,52.63157894736842
W00005595,280,140,140,50,50
W00005279,232,111,121,47.8448275862069,52.1551724137931
W00005280,153,73,80,47.712418300653596,52.28758169934641
W00005281,299,160,139,53.51170568561873,46.48829431438127
W00005282,252,129,123,51.19047619047619,48.80952380952381
W00005283,312,166,146,53.205128205128204,46.794871794871796
W00005284,284,145,139,51.056338028169016,48.943661971830984
W00005561,359,171,188,47.63231197771588,52.36768802228412
W00005563,200,103,97,51.5,48.5
W00005564,210,108,102,51.42857142857142,48.57142857142857
W00005565,300,161,139,53.666666666666664,46.33333333333333
W00005578,347,181,166,52.1613832853026,47.83861671469741
W00005560,335,178,157,53.13432835820896,46.865671641791046
W00005569,298,147,151,49.328859060402685,50.671140939597315
W00005571,311,164,147,52.73311897106109,47.266881028938904
W00005572,343,183,160,53.352769679300295,46.647230320699705
W00005562,289,147,142,50.86505190311419,49.13494809688581
W00005566,307,149,158,48.534201954397396,51.465798045602604
W00005567,337,170,167,50.445103857566764,49.554896142433236
W00005568,314,166,148,52.86624203821656,47.13375796178344
W00005570,294,158,136,53.74149659863946,46.25850340136054
W00005573,414,210,204,50.72463768115942,49.275362318840585
W00005575,423,231,192,54.60992907801418,45.39007092198582
W00005576,395,200,195,50.63291139240506,49.36708860759494
W00005577,289,144,145,49.82698961937716,50.17301038062284
W00005579,298,148,150,49.664429530201346,50.33557046979866
W00005556,235,116,119,49.361702127659576,50.638297872340424
W00005557,297,146,151,49.158249158249156,50.841750841750844
W00005558,329,182,147,55.319148936170215,44.680851063829785
W00005559,199,108,91,54.2713567839196,45.7286432160804
W00005574,228,126,102,55.26315789473685,44.73684210526316
W00005320,335,163,172,48.656716417910445,51.34328358208955
W00005322,199,100,99,50.25125628140703,49.74874371859296
W00005324,304,151,153,49.67105263157895,50.32894736842105
W00005326,201,93,108,46.26865671641791,53.73134328358209
W00005318,213,116,97,54.460093896713616,45.539906103286384
W00005319,282,141,141,50,50
W00005321,255,137,118,53.72549019607843,46.27450980392157
W00005325,219,119,100,54.337899543378995,45.662100456621005
W00009949,485,262,223,54.02061855670103,45.97938144329897
W00009969,129,64,65,49.6124031007752,50.3875968992248
W00005327,540,273,267,50.55555555555556,49.44444444444444
W00005330,330,169,161,51.21212121212121,48.78787878787879
W00005333,294,156,138,53.06122448979592,46.93877551020408
W00005334,261,140,121,53.63984674329502,46.36015325670498
W00005336,236,122,114,51.69491525423729,48.30508474576271
W00005337,292,149,143,51.02739726027398,48.97260273972603
W00005338,282,138,144,48.93617021276596,51.06382978723404
W00005329,214,118,96,55.140186915887845,44.85981308411215
W00005331,328,156,172,47.5609756097561,52.4390243902439
W00005332,225,121,104,53.77777777777778,46.22222222222222
W00005335,278,142,136,51.07913669064749,48.92086330935252
W00009950,397,208,189,52.39294710327456,47.607052896725435
W00009967,430,219,211,50.93023255813953,49.06976744186046
W00005507,293,140,153,47.781569965870304,52.218430034129696
W00005508,269,137,132,50.92936802973978,49.07063197026022
W00005513,132,66,66,50,50
W00005516,388,192,196,49.48453608247423,50.51546391752577
W00010395,328,167,161,50.91463414634146,49.08536585365854
W00010410,316,165,151,52.21518987341772,47.78481012658228
W00005506,334,168,166,50.29940119760479,49.700598802395206
W00005510,298,151,147,50.671140939597315,49.328859060402685
W00005511,256,129,127,50.390625,49.609375
W00005512,266,121,145,45.48872180451128,54.51127819548872
W00005514,224,116,108,51.78571428571429,48.214285714285715
W00005515,176,88,88,50,50
W00005297,289,160,129,55.36332179930796,44.636678200692046
W00005299,298,158,140,53.02013422818792,46.97986577181208
W00005301,260,129,131,49.61538461538461,50.38461538461539
W00005302,271,148,123,54.61254612546126,45.38745387453875
W00005309,276,148,128,53.62318840579711,46.3768115942029
W00005294,277,142,135,51.26353790613718,48.73646209386281
W00005296,398,211,187,53.015075376884425,46.984924623115575
W00005304,311,151,160,48.55305466237942,51.446945337620576
W00005305,288,149,139,51.736111111111114,48.26388888888889
W00005307,446,229,217,51.34529147982063,48.654708520179376
W00005295,366,188,178,51.36612021857923,48.63387978142077
W00005298,268,145,123,54.1044776119403,45.8955223880597
W00005303,394,208,186,52.79187817258884,47.20812182741117
W00005306,264,141,123,53.40909090909091,46.590909090909086
W00005313,546,283,263,51.83150183150184,48.16849816849817
W00005300,165,86,79,52.121212121212125,47.878787878787875
W00005310,364,195,169,53.57142857142857,46.42857142857143
W00005311,352,177,175,50.28409090909091,49.715909090909086
W00005312,372,181,191,48.655913978494624,51.344086021505376
W00009957,297,163,134,54.882154882154886,45.11784511784512
W00009962,257,123,134,47.85992217898833,52.14007782101168
W00009964,365,181,184,49.589041095890416,50.41095890410959
W00009965,280,141,139,50.357142857142854,49.642857142857146
W00005339,576,281,295,48.78472222222222,51.21527777777778
W00005340,255,125,130,49.01960784313725,50.98039215686274
W00005341,247,128,119,51.821862348178136,48.178137651821864
W00005342,271,148,123,54.61254612546126,45.38745387453875
W00005343,306,156,150,50.98039215686274,49.01960784313725
W00005344,293,141,152,48.122866894197955,51.877133105802045
W00010404,290,144,146,49.6551724137931,50.3448275862069
W00010429,308,154,154,50,50
W00005499,256,129,127,50.390625,49.609375
W00005500,485,232,253,47.83505154639175,52.164948453608254
W00005501,327,173,154,52.90519877675841,47.09480122324159
W00005502,293,150,143,51.19453924914675,48.80546075085324
W00005503,244,138,106,56.557377049180324,43.44262295081967
W00005504,258,145,113,56.201550387596896,43.798449612403104
W00010392,330,171,159,51.81818181818182,48.18181818181818
W00010419,405,218,187,53.827160493827165,46.17283950617284
W00010374,397,206,191,51.88916876574308,48.11083123425693
W00010385,1828,128,1700,7.00218818380744,92.99781181619255
W00010397,212,103,109,48.58490566037736,51.41509433962265
W00010412,109,57,52,52.293577981651374,47.706422018348626
W00010434,156,84,72,53.84615384615385,46.15384615384615
W00010443,276,132,144,47.82608695652174,52.17391304347826
W00009974,223,103,120,46.18834080717489,53.81165919282511
W00010373,186,96,90,51.61290322580645,48.38709677419355
W00010377,210,103,107,49.047619047619044,50.95238095238095
W00010390,233,116,117,49.78540772532189,50.21459227467812
W00010407,219,112,107,51.141552511415526,48.858447488584474
W00010441,277,125,152,45.12635379061371,54.87364620938629
W00010371,219,116,103,52.96803652968036,47.03196347031963
W00010389,280,146,134,52.142857142857146,47.85714285714286
W00010402,272,142,130,52.20588235294118,47.794117647058826
W00010405,145,78,67,53.79310344827586,46.206896551724135
W00010421,243,120,123,49.382716049382715,50.617283950617285
W00010427,344,170,174,49.41860465116279,50.58139534883721
W00010417,281,154,127,54.804270462633454,45.195729537366546
W00010428,261,135,126,51.724137931034484,48.275862068965516
W00010444,306,157,149,51.307189542483655,48.69281045751634
W00010450,102,51,51,50,50
W00010451,246,123,123,50,50
W00005285,249,124,125,49.79919678714859,50.20080321285141
W00005287,242,121,121,50,50
W00005288,325,164,161,50.46153846153846,49.53846153846154
W00005289,233,118,115,50.64377682403433,49.35622317596567
W00010391,374,191,183,51.06951871657755,48.93048128342246
W00010424,267,138,129,51.68539325842697,48.31460674157304
W00005351,337,170,167,50.445103857566764,49.554896142433236
W00005355,349,165,184,47.277936962750715,52.72206303724928
W00005356,199,108,91,54.2713567839196,45.7286432160804
W00005358,275,146,129,53.090909090909086,46.909090909090914
W00005350,344,169,175,49.127906976744185,50.872093023255815
W00005352,242,123,119,50.82644628099173,49.17355371900827
W00005353,255,138,117,54.11764705882353,45.88235294117647
W00005354,203,101,102,49.75369458128079,50.24630541871922
W00005357,233,129,104,55.36480686695279,44.63519313304721
W00005430,563,274,289,48.66785079928952,51.332149200710475
W00005431,318,168,150,52.83018867924528,47.16981132075472
W00005432,326,167,159,51.22699386503068,48.77300613496933
W00005433,305,161,144,52.78688524590164,47.21311475409836
W00005435,280,145,135,51.78571428571429,48.214285714285715
W00005436,211,104,107,49.28909952606635,50.71090047393365
W00005246,514,261,253,50.778210116731515,49.221789883268485
W00005252,228,118,110,51.75438596491229,48.24561403508772
W00005253,264,138,126,52.27272727272727,47.72727272727273
W00005254,301,161,140,53.48837209302325,46.51162790697674
W00005255,263,126,137,47.90874524714829,52.09125475285171
W00005483,286,143,143,50,50
W00005484,448,223,225,49.776785714285715,50.22321428571429
W00005485,382,189,193,49.47643979057592,50.523560209424076
W00005494,323,168,155,52.012383900928796,47.987616099071204
W00005498,369,188,181,50.94850948509485,49.05149051490515
W00005517,414,215,199,51.93236714975845,48.06763285024155
