OA,ts0590001,ts0590002,ts0590003,ts0590004,ts0590005,ts0590006,ts0590007,ts0590002_PCT,ts0590003_PCT,ts0590004_PCT,ts0590005_PCT,ts0590006_PCT,ts0590007_PCT
W00005996,134,44,12,32,90,82,8,32.83582089552239,8.955223880597014,23.88059701492537,67.16417910447761,61.19402985074627,5.970149253731343
W00005997,139,41,8,33,98,93,5,29.496402877697843,5.755395683453238,23.741007194244602,70.50359712230215,66.90647482014388,3.5971223021582732
W00005998,128,46,7,39,82,76,6,35.9375,5.46875,30.46875,64.0625,59.375,4.6875
W00005999,122,36,10,26,86,77,9,29.508196721311474,8.19672131147541,21.311475409836063,70.49180327868852,63.114754098360656,7.377049180327869
W00006000,92,22,7,15,70,64,6,23.91304347826087,7.608695652173914,16.304347826086957,76.08695652173914,69.56521739130434,6.521739130434782
W00006001,182,56,25,31,126,114,12,30.76923076923077,13.736263736263737,17.032967032967033,69.23076923076923,62.637362637362635,6.593406593406594
W00006002,35,11,6,5,24,20,4,31.428571428571427,17.142857142857142,14.285714285714285,68.57142857142857,57.14285714285714,11.428571428571429
W00006003,115,25,8,17,90,77,13,21.73913043478261,6.956521739130435,14.782608695652174,78.26086956521739,66.95652173913044,11.304347826086957
W00006004,155,47,7,40,108,96,12,30.32258064516129,4.516129032258064,25.806451612903224,69.6774193548387,61.935483870967744,7.741935483870968
W00006005,103,30,4,26,73,62,11,29.126213592233007,3.8834951456310676,25.24271844660194,70.87378640776699,60.19417475728155,10.679611650485436
W00006006,115,35,8,27,80,69,11,30.434782608695656,6.956521739130435,23.47826086956522,69.56521739130434,60,9.565217391304348
W00006007,123,28,9,19,95,85,10,22.76422764227642,7.317073170731707,15.447154471544716,77.23577235772358,69.10569105691057,8.130081300813007
W00006008,161,51,12,39,110,86,24,31.67701863354037,7.453416149068323,24.22360248447205,68.32298136645963,53.41614906832298,14.906832298136646
W00006009,131,39,15,24,92,77,15,29.770992366412212,11.450381679389313,18.3206106870229,70.22900763358778,58.778625954198475,11.450381679389313
W00006010,96,32,10,22,64,61,3,33.33333333333333,10.416666666666668,22.916666666666664,66.66666666666666,63.541666666666664,3.125
W00006011,123,34,7,27,89,81,8,27.64227642276423,5.691056910569105,21.951219512195124,72.35772357723577,65.85365853658537,6.504065040650407
W00006012,149,35,10,25,114,106,8,23.48993288590604,6.7114093959731544,16.778523489932887,76.51006711409396,71.14093959731544,5.369127516778524
W00006013,112,30,6,24,82,76,6,26.785714285714285,5.357142857142857,21.428571428571427,73.21428571428571,67.85714285714286,5.357142857142857
W00006014,130,42,6,36,88,76,12,32.30769230769231,4.615384615384616,27.692307692307693,67.6923076923077,58.46153846153847,9.230769230769232
W00006015,128,33,7,26,95,78,17,25.78125,5.46875,20.3125,74.21875,60.9375,13.28125
W00006016,124,29,5,24,95,85,10,23.387096774193548,4.032258064516129,19.35483870967742,76.61290322580645,68.54838709677419,8.064516129032258
W00006017,101,27,9,18,74,68,6,26.732673267326735,8.91089108910891,17.82178217821782,73.26732673267327,67.32673267326733,5.9405940594059405
W00006018,130,44,15,29,86,80,6,33.84615384615385,11.538461538461538,22.30769230769231,66.15384615384615,61.53846153846154,4.615384615384616
W00006019,126,39,8,31,87,79,8,30.952380952380953,6.349206349206349,24.6031746031746,69.04761904761905,62.698412698412696,6.349206349206349
W00006020,152,40,7,33,112,97,15,26.31578947368421,4.605263157894736,21.710526315789476,73.68421052631578,63.81578947368421,9.868421052631579
W00006021,41,11,0,11,30,25,5,26.82926829268293,0,26.82926829268293,73.17073170731707,60.97560975609756,12.195121951219512
W00006022,150,37,13,24,113,100,13,24.666666666666668,8.666666666666668,16,75.33333333333333,66.66666666666666,8.666666666666668
W00006023,118,38,10,28,80,70,10,32.20338983050847,8.47457627118644,23.728813559322035,67.79661016949152,59.32203389830508,8.47457627118644
W00006024,107,26,7,19,81,67,14,24.299065420560748,6.5420560747663545,17.75700934579439,75.70093457943925,62.616822429906534,13.084112149532709
W00006025,160,51,9,42,109,95,14,31.874999999999996,5.625,26.25,68.125,59.375,8.75
W00006026,102,32,10,22,70,59,11,31.372549019607842,9.803921568627452,21.568627450980394,68.62745098039215,57.84313725490197,10.784313725490197
W00006028,114,38,5,33,76,66,10,33.33333333333333,4.385964912280701,28.947368421052634,66.66666666666666,57.89473684210527,8.771929824561402
W00006029,168,41,8,33,127,108,19,24.404761904761905,4.761904761904762,19.642857142857142,75.59523809523809,64.28571428571429,11.30952380952381
W00006030,148,41,11,30,107,97,10,27.7027027027027,7.4324324324324325,20.27027027027027,72.2972972972973,65.54054054054053,6.756756756756757
W00006031,162,50,12,38,112,101,11,30.864197530864196,7.4074074074074066,23.456790123456788,69.1358024691358,62.34567901234568,6.790123456790123
W00006032,179,51,13,38,128,107,21,28.49162011173184,7.262569832402235,21.22905027932961,71.50837988826815,59.77653631284916,11.731843575418994
W00006033,98,24,6,18,74,66,8,24.489795918367346,6.122448979591836,18.367346938775512,75.51020408163265,67.3469387755102,8.16326530612245
W00006034,84,22,7,15,62,53,9,26.190476190476193,8.333333333333332,17.857142857142858,73.80952380952381,63.095238095238095,10.714285714285714
W00006035,129,36,6,30,93,86,7,27.906976744186046,4.651162790697675,23.25581395348837,72.09302325581395,66.66666666666666,5.426356589147287
W00006036,136,37,12,25,99,92,7,27.205882352941174,8.823529411764707,18.38235294117647,72.79411764705883,67.64705882352942,5.147058823529411
W00006037,130,37,7,30,93,79,14,28.46153846153846,5.384615384615385,23.076923076923077,71.53846153846153,60.76923076923077,10.76923076923077
W00006038,131,32,7,25,99,84,15,24.427480916030532,5.343511450381679,19.083969465648856,75.57251908396947,64.12213740458014,11.450381679389313
W00006039,126,30,11,19,96,78,18,23.809523809523807,8.73015873015873,15.079365079365079,76.19047619047619,61.904761904761905,14.285714285714285
W00006040,211,50,14,36,161,147,14,23.696682464454977,6.6350710900473935,17.061611374407583,76.30331753554502,69.66824644549763,6.6350710900473935
W00006041,106,38,4,34,68,58,10,35.84905660377358,3.7735849056603774,32.075471698113205,64.15094339622641,54.71698113207547,9.433962264150944
W00006042,133,40,11,29,93,82,11,30.075187969924812,8.270676691729323,21.804511278195488,69.92481203007519,61.65413533834586,8.270676691729323
W00006043,122,31,9,22,91,86,5,25.40983606557377,7.377049180327869,18.0327868852459,74.59016393442623,70.49180327868852,4.098360655737705
W00006044,111,31,8,23,80,69,11,27.927927927927925,7.207207207207207,20.72072072072072,72.07207207207207,62.16216216216216,9.90990990990991
W00006045,128,38,5,33,90,82,8,29.6875,3.90625,25.78125,70.3125,64.0625,6.25
W00006046,114,36,7,29,78,74,4,31.57894736842105,6.140350877192982,25.438596491228072,68.42105263157895,64.91228070175438,3.508771929824561
W00006047,102,27,6,21,75,64,11,26.47058823529412,5.88235294117647,20.588235294117645,73.52941176470588,62.745098039215684,10.784313725490197
W00006048,104,25,10,15,79,70,9,24.03846153846154,9.615384615384617,14.423076923076922,75.96153846153845,67.3076923076923,8.653846153846153
W00006049,139,42,13,29,97,86,11,30.215827338129497,9.352517985611511,20.863309352517987,69.7841726618705,61.87050359712231,7.913669064748201
W00006050,122,21,6,15,101,92,9,17.21311475409836,4.918032786885246,12.295081967213115,82.78688524590164,75.40983606557377,7.377049180327869
W00006051,172,52,19,33,120,106,14,30.23255813953488,11.046511627906977,19.186046511627907,69.76744186046511,61.627906976744185,8.13953488372093
W00006052,175,51,18,33,124,109,15,29.142857142857142,10.285714285714285,18.857142857142858,70.85714285714285,62.28571428571429,8.571428571428571
W00006053,109,40,11,29,69,54,15,36.69724770642202,10.091743119266056,26.605504587155966,63.30275229357798,49.54128440366973,13.761467889908257
W00006054,141,48,13,35,93,78,15,34.04255319148936,9.219858156028367,24.822695035460992,65.95744680851064,55.319148936170215,10.638297872340425
W00006055,116,38,14,24,78,67,11,32.758620689655174,12.068965517241379,20.689655172413794,67.24137931034483,57.758620689655174,9.482758620689655
W00006056,98,32,7,25,66,59,7,32.6530612244898,7.142857142857142,25.510204081632654,67.3469387755102,60.204081632653065,7.142857142857142
W00006057,138,43,17,26,95,89,6,31.15942028985507,12.318840579710146,18.84057971014493,68.84057971014492,64.4927536231884,4.3478260869565215
W00006058,124,39,6,33,85,64,21,31.451612903225808,4.838709677419355,26.61290322580645,68.54838709677419,51.61290322580645,16.93548387096774
W00006059,71,26,10,16,45,45,0,36.61971830985916,14.084507042253522,22.535211267605636,63.38028169014085,63.38028169014085,0
W00006060,110,33,11,22,77,69,8,30,10,20,70,62.727272727272734,7.2727272727272725
W00006061,117,29,11,18,88,72,16,24.786324786324787,9.401709401709402,15.384615384615385,75.21367521367522,61.53846153846154,13.675213675213676
W00006062,158,55,13,42,103,94,9,34.810126582278485,8.227848101265822,26.582278481012654,65.18987341772153,59.49367088607595,5.69620253164557
W00006063,116,38,9,29,78,67,11,32.758620689655174,7.758620689655173,25,67.24137931034483,57.758620689655174,9.482758620689655
W00006064,159,40,15,25,119,103,16,25.157232704402517,9.433962264150944,15.723270440251572,74.84276729559748,64.77987421383648,10.062893081761008
W00006065,152,33,18,15,119,92,27,21.710526315789476,11.842105263157894,9.868421052631579,78.28947368421053,60.526315789473685,17.763157894736842
W00006066,145,49,19,30,96,81,15,33.793103448275865,13.10344827586207,20.689655172413794,66.20689655172414,55.86206896551724,10.344827586206897
W00006067,99,30,6,24,69,64,5,30.303030303030305,6.0606060606060606,24.242424242424242,69.6969696969697,64.64646464646465,5.05050505050505
W00006068,54,25,4,21,29,24,5,46.2962962962963,7.4074074074074066,38.88888888888889,53.70370370370371,44.44444444444444,9.25925925925926
W00006069,131,30,6,24,101,94,7,22.900763358778626,4.580152671755725,18.3206106870229,77.09923664122137,71.7557251908397,5.343511450381679
W00006070,140,36,12,24,104,91,13,25.71428571428571,8.571428571428571,17.142857142857142,74.28571428571429,65,9.285714285714286
W00006071,81,26,4,22,55,46,9,32.098765432098766,4.938271604938271,27.160493827160494,67.90123456790124,56.79012345679012,11.11111111111111
W00006072,164,41,6,35,123,99,24,25,3.6585365853658534,21.341463414634145,75,60.36585365853659,14.634146341463413
W00006073,101,26,9,17,75,64,11,25.742574257425744,8.91089108910891,16.831683168316832,74.25742574257426,63.366336633663366,10.891089108910892
W00006074,114,25,7,18,89,81,8,21.929824561403507,6.140350877192982,15.789473684210526,78.0701754385965,71.05263157894737,7.017543859649122
W00006075,127,37,10,27,90,78,12,29.133858267716533,7.874015748031496,21.25984251968504,70.86614173228347,61.417322834645674,9.448818897637794
W00006076,125,27,7,20,98,83,15,21.6,5.6000000000000005,16,78.4,66.4,12
W00006077,126,42,12,30,84,75,9,33.33333333333333,9.523809523809524,23.809523809523807,66.66666666666666,59.523809523809526,7.142857142857142
W00006078,153,39,7,32,114,96,18,25.49019607843137,4.57516339869281,20.915032679738562,74.50980392156863,62.745098039215684,11.76470588235294
W00006079,117,30,5,25,87,75,12,25.64102564102564,4.273504273504273,21.367521367521366,74.35897435897436,64.1025641025641,10.256410256410255
W00006080,212,42,16,26,170,156,14,19.81132075471698,7.547169811320755,12.264150943396226,80.18867924528303,73.58490566037736,6.60377358490566
W00006081,152,39,8,31,113,103,10,25.657894736842106,5.263157894736842,20.394736842105264,74.3421052631579,67.76315789473685,6.578947368421052
W00006082,219,51,19,32,168,143,25,23.28767123287671,8.67579908675799,14.61187214611872,76.71232876712328,65.29680365296804,11.415525114155251
W00006083,138,42,10,32,96,84,12,30.434782608695656,7.246376811594203,23.18840579710145,69.56521739130434,60.86956521739131,8.695652173913043
W00006084,145,42,6,36,103,94,9,28.965517241379313,4.137931034482759,24.82758620689655,71.03448275862068,64.82758620689654,6.206896551724138
W00006085,113,30,5,25,83,68,15,26.548672566371685,4.424778761061947,22.123893805309734,73.45132743362832,60.17699115044248,13.274336283185843
W00006086,69,22,5,17,47,43,4,31.88405797101449,7.246376811594203,24.637681159420293,68.11594202898551,62.31884057971014,5.797101449275362
W00006087,121,36,7,29,85,71,14,29.75206611570248,5.785123966942149,23.96694214876033,70.24793388429752,58.67768595041323,11.570247933884298
W00006088,113,28,8,20,85,75,10,24.778761061946902,7.079646017699115,17.699115044247787,75.22123893805309,66.3716814159292,8.849557522123893
W00006089,231,52,17,35,179,147,32,22.51082251082251,7.35930735930736,15.151515151515152,77.48917748917748,63.63636363636363,13.852813852813853
W00006090,85,22,10,12,63,55,8,25.882352941176475,11.76470588235294,14.117647058823529,74.11764705882354,64.70588235294117,9.411764705882353
W00006091,37,11,0,11,26,25,1,29.72972972972973,0,29.72972972972973,70.27027027027027,67.56756756756756,2.7027027027027026
W00006092,149,43,14,29,106,90,16,28.859060402684566,9.395973154362416,19.463087248322147,71.14093959731544,60.40268456375839,10.738255033557047
W00006093,104,28,8,20,76,71,5,26.923076923076923,7.6923076923076925,19.230769230769234,73.07692307692307,68.26923076923077,4.807692307692308
W00006094,93,22,4,18,71,66,5,23.655913978494624,4.301075268817205,19.35483870967742,76.34408602150538,70.96774193548387,5.376344086021505
W00006095,204,51,12,39,153,133,20,25,5.88235294117647,19.11764705882353,75,65.19607843137256,9.803921568627452
W00006096,110,31,9,22,79,70,9,28.18181818181818,8.181818181818182,20,71.81818181818181,63.63636363636363,8.181818181818182
W00006097,187,46,16,30,141,117,24,24.598930481283425,8.55614973262032,16.042780748663102,75.40106951871658,62.56684491978609,12.834224598930483
W00006098,104,35,6,29,69,61,8,33.65384615384615,5.769230769230769,27.884615384615387,66.34615384615384,58.65384615384615,7.6923076923076925
W00006099,135,44,8,36,91,79,12,32.592592592592595,5.9259259259259265,26.666666666666668,67.4074074074074,58.51851851851851,8.88888888888889
W00006100,134,32,11,21,102,85,17,23.88059701492537,8.208955223880597,15.671641791044777,76.11940298507463,63.43283582089553,12.686567164179104
W00006101,130,34,11,23,96,79,17,26.153846153846157,8.461538461538462,17.692307692307693,73.84615384615385,60.76923076923077,13.076923076923078
W00006102,192,47,14,33,145,128,17,24.479166666666664,7.291666666666667,17.1875,75.52083333333334,66.66666666666666,8.854166666666668
W00006103,200,55,16,39,145,113,32,27.500000000000004,8,19.5,72.5,56.49999999999999,16
W00006105,123,38,8,30,85,71,14,30.89430894308943,6.504065040650407,24.390243902439025,69.10569105691057,57.72357723577236,11.38211382113821
W00006106,141,52,12,40,89,78,11,36.87943262411347,8.51063829787234,28.368794326241137,63.12056737588653,55.319148936170215,7.801418439716312
W00006107,130,38,10,28,92,83,9,29.230769230769234,7.6923076923076925,21.53846153846154,70.76923076923077,63.84615384615384,6.923076923076923
W00006108,116,37,8,29,79,71,8,31.896551724137932,6.896551724137931,25,68.10344827586206,61.206896551724135,6.896551724137931
W00006109,140,29,12,17,111,94,17,20.714285714285715,8.571428571428571,12.142857142857142,79.28571428571428,67.14285714285714,12.142857142857142
W00006110,86,34,17,17,52,44,8,39.53488372093023,19.767441860465116,19.767441860465116,60.46511627906976,51.162790697674424,9.30232558139535
W00006111,156,39,12,27,117,100,17,25,7.6923076923076925,17.307692307692307,75,64.1025641025641,10.897435897435898
W00006112,145,36,9,27,109,97,12,24.82758620689655,6.206896551724138,18.620689655172416,75.17241379310344,66.89655172413794,8.275862068965518
W00006113,175,47,15,32,128,116,12,26.857142857142858,8.571428571428571,18.285714285714285,73.14285714285714,66.28571428571428,6.857142857142858
W00006114,176,53,11,42,123,107,16,30.113636363636363,6.25,23.863636363636363,69.88636363636364,60.79545454545454,9.090909090909092
W00006115,163,38,9,29,125,113,12,23.31288343558282,5.521472392638037,17.791411042944784,76.68711656441718,69.32515337423312,7.361963190184049
W00006116,196,51,13,38,145,125,20,26.02040816326531,6.63265306122449,19.387755102040817,73.9795918367347,63.775510204081634,10.204081632653061
W00006117,110,34,14,20,76,64,12,30.909090909090907,12.727272727272727,18.181818181818183,69.0909090909091,58.18181818181818,10.909090909090908
W00006118,136,39,12,27,97,83,14,28.676470588235293,8.823529411764707,19.852941176470587,71.32352941176471,61.029411764705884,10.294117647058822
W00006119,154,33,8,25,121,111,10,21.428571428571427,5.194805194805195,16.233766233766232,78.57142857142857,72.07792207792207,6.493506493506493
W00006120,280,73,26,47,207,180,27,26.071428571428573,9.285714285714286,16.785714285714285,73.92857142857143,64.28571428571429,9.642857142857144
W00006121,135,44,16,28,91,82,9,32.592592592592595,11.851851851851853,20.74074074074074,67.4074074074074,60.74074074074074,6.666666666666667
W00006122,173,47,21,26,126,101,25,27.167630057803464,12.138728323699421,15.028901734104046,72.83236994219652,58.38150289017341,14.450867052023122
W00006123,35,8,4,4,27,21,6,22.857142857142858,11.428571428571429,11.428571428571429,77.14285714285715,60,17.142857142857142
W00006124,72,22,7,15,50,44,6,30.555555555555557,9.722222222222223,20.833333333333336,69.44444444444444,61.111111111111114,8.333333333333332
W00006125,206,52,16,36,154,139,15,25.24271844660194,7.766990291262135,17.475728155339805,74.75728155339806,67.47572815533981,7.281553398058252
W00006126,113,26,8,18,87,80,7,23.008849557522122,7.079646017699115,15.929203539823009,76.99115044247787,70.79646017699115,6.1946902654867255
W00006127,166,52,13,39,114,101,13,31.32530120481928,7.83132530120482,23.49397590361446,68.67469879518072,60.8433734939759,7.83132530120482
W00006129,171,46,10,36,125,104,21,26.900584795321635,5.847953216374268,21.052631578947366,73.09941520467837,60.81871345029239,12.280701754385964
W00006130,119,33,11,22,86,79,7,27.73109243697479,9.243697478991598,18.487394957983195,72.26890756302521,66.38655462184873,5.88235294117647
W00006131,95,32,12,20,63,56,7,33.68421052631579,12.631578947368421,21.052631578947366,66.3157894736842,58.94736842105262,7.368421052631578
W00006133,58,16,7,9,42,41,1,27.586206896551722,12.068965517241379,15.517241379310345,72.41379310344827,70.6896551724138,1.7241379310344827
W00006137,241,73,19,54,168,143,25,30.29045643153527,7.883817427385892,22.40663900414938,69.70954356846472,59.33609958506224,10.37344398340249
W00006138,137,35,7,28,102,94,8,25.547445255474454,5.109489051094891,20.437956204379564,74.45255474452554,68.61313868613139,5.839416058394161
W00006139,147,37,9,28,110,93,17,25.170068027210885,6.122448979591836,19.047619047619047,74.82993197278913,63.26530612244898,11.564625850340136
W00006140,183,51,14,37,132,123,9,27.86885245901639,7.650273224043716,20.21857923497268,72.1311475409836,67.21311475409836,4.918032786885246
W00006141,186,50,18,32,136,124,12,26.881720430107524,9.67741935483871,17.20430107526882,73.11827956989248,66.66666666666666,6.451612903225806
W00006142,141,39,7,32,102,94,8,27.659574468085108,4.964539007092199,22.69503546099291,72.3404255319149,66.66666666666666,5.673758865248227
W00006143,192,43,14,29,149,131,18,22.395833333333336,7.291666666666667,15.104166666666666,77.60416666666666,68.22916666666666,9.375
W00006144,130,34,3,31,96,85,11,26.153846153846157,2.307692307692308,23.846153846153847,73.84615384615385,65.38461538461539,8.461538461538462
W00006145,208,55,10,45,153,139,14,26.442307692307693,4.807692307692308,21.634615384615387,73.5576923076923,66.82692307692307,6.730769230769231
W00006146,127,37,7,30,90,81,9,29.133858267716533,5.511811023622047,23.62204724409449,70.86614173228347,63.77952755905512,7.086614173228346
W00006147,141,39,9,30,102,88,14,27.659574468085108,6.382978723404255,21.27659574468085,72.3404255319149,62.4113475177305,9.929078014184398
W00006148,140,35,8,27,105,90,15,25,5.714285714285714,19.28571428571429,75,64.28571428571429,10.714285714285714
W00006149,167,46,10,36,121,108,13,27.54491017964072,5.9880239520958085,21.55688622754491,72.45508982035929,64.67065868263472,7.784431137724551
W00006150,82,20,1,19,62,54,8,24.390243902439025,1.2195121951219512,23.170731707317074,75.60975609756098,65.85365853658537,9.75609756097561
W00006151,122,44,9,35,78,66,12,36.0655737704918,7.377049180327869,28.688524590163933,63.934426229508205,54.09836065573771,9.836065573770492
