OA,ts0020001,ts0020002,ts0020003,ts0020004,ts0020005,ts0020006,ts0020007,ts0020008,ts0020009,ts0020010,ts0020011,ts0020012,ts0020013,ts0020014,ts0020015,ts0020016,ts0020017,ts0020018,ts0020002_PCT,ts0020003_PCT,ts0020004_PCT,ts0020005_PCT,ts0020006_PCT,ts0020007_PCT,ts0020008_PCT,ts0020009_PCT,ts0020010_PCT,ts0020011_PCT,ts0020012_PCT,ts0020013_PCT,ts0020014_PCT,ts0020015_PCT,ts0020016_PCT,ts0020017_PCT,ts0020018_PCT
W00007201,192,52,102,102,102,0,0,0,0,1,1,0,18,18,0,19,19,0,27.083333333333332,53.125,53.125,53.125,0,0,0,0,0.5208333333333333,0.5208333333333333,0,9.375,9.375,0,9.895833333333332,9.895833333333332,0
W00007208,249,118,92,91,91,0,1,1,0,3,3,0,22,22,0,14,14,0,47.389558232931726,36.94779116465863,36.54618473895582,36.54618473895582,0,0.4016064257028112,0.4016064257028112,0,1.2048192771084338,1.2048192771084338,0,8.835341365461847,8.835341365461847,0,5.622489959839357,5.622489959839357,0
W00007209,204,91,84,84,84,0,0,0,0,6,6,0,14,14,0,9,9,0,44.6078431372549,41.17647058823529,41.17647058823529,41.17647058823529,0,0,0,0,2.941176470588235,2.941176470588235,0,6.862745098039216,6.862745098039216,0,4.411764705882353,4.411764705882353,0
W00007210,225,95,92,90,90,0,2,2,0,5,5,0,22,22,0,11,11,0,42.22222222222222,40.88888888888889,40,40,0,0.8888888888888888,0.8888888888888888,0,2.2222222222222223,2.2222222222222223,0,9.777777777777779,9.777777777777779,0,4.888888888888889,4.888888888888889,0
W00007211,284,103,146,144,144,0,2,2,0,4,4,0,9,9,0,22,22,0,36.267605633802816,51.40845070422535,50.70422535211267,50.70422535211267,0,0.7042253521126761,0.7042253521126761,0,1.4084507042253522,1.4084507042253522,0,3.169014084507042,3.169014084507042,0,7.746478873239436,7.746478873239436,0
W00007198,205,81,62,62,62,0,0,0,0,8,7,1,41,41,0,13,13,0,39.51219512195122,30.24390243902439,30.24390243902439,30.24390243902439,0,0,0,0,3.902439024390244,3.414634146341464,0.4878048780487805,20,20,0,6.341463414634147,6.341463414634147,0
W00007199,255,112,84,82,80,2,2,0,2,11,11,0,32,32,0,16,16,0,43.92156862745098,32.94117647058823,32.15686274509804,31.372549019607842,0.7843137254901961,0.7843137254901961,0,0.7843137254901961,4.313725490196078,4.313725490196078,0,12.549019607843137,12.549019607843137,0,6.2745098039215685,6.2745098039215685,0
W00007202,215,76,81,81,81,0,0,0,0,8,8,0,26,26,0,24,24,0,35.348837209302324,37.67441860465116,37.67441860465116,37.67441860465116,0,0,0,0,3.7209302325581395,3.7209302325581395,0,12.093023255813954,12.093023255813954,0,11.162790697674419,11.162790697674419,0
W00007203,209,86,84,84,84,0,0,0,0,5,5,0,17,17,0,17,17,0,41.14832535885167,40.19138755980861,40.19138755980861,40.19138755980861,0,0,0,0,2.3923444976076556,2.3923444976076556,0,8.133971291866029,8.133971291866029,0,8.133971291866029,8.133971291866029,0
W00007205,209,80,80,80,80,0,0,0,0,3,3,0,33,33,0,13,13,0,38.27751196172249,38.27751196172249,38.27751196172249,38.27751196172249,0,0,0,0,1.4354066985645932,1.4354066985645932,0,15.789473684210526,15.789473684210526,0,6.220095693779904,6.220095693779904,0
