OA,ts0050001,ts0050002,ts0050003,ts0050004,ts0050005,ts0050006,ts0050007,ts0050008,ts0050009,ts0050010,ts0050011,ts0050012,ts0050013,ts0050014,ts0050015,ts0050016,ts0050017,ts0050018,ts0050019,ts0050020,ts0050021,ts0050022,ts0050023,ts0050024,ts0050025,ts0050026,ts0050027,ts0050028,ts0050029,ts0050030,ts0050031,ts0050032,ts0050033,ts0050034,ts0050002_PCT,ts0050003_PCT,ts0050004_PCT,ts0050005_PCT,ts0050006_PCT,ts0050007_PCT,ts0050008_PCT,ts0050009_PCT,ts0050010_PCT,ts0050011_PCT,ts0050012_PCT,ts0050013_PCT,ts0050014_PCT,ts0050015_PCT,ts0050016_PCT,ts0050017_PCT,ts0050018_PCT,ts0050019_PCT,ts0050020_PCT,ts0050021_PCT,ts0050022_PCT,ts0050023_PCT,ts0050024_PCT,ts0050025_PCT,ts0050026_PCT,ts0050027_PCT,ts0050028_PCT,ts0050029_PCT,ts0050030_PCT,ts0050031_PCT,ts0050032_PCT,ts0050033_PCT,ts0050034_PCT
W00007530,284,235,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,48,82.74647887323944,82.74647887323944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35211267605633806,0,0.35211267605633806,0,0,0,0,0,0,0,0,16.901408450704224
W00007531,240,143,140,0,3,3,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,95,59.583333333333336,58.333333333333336,0,1.25,1.25,0,0,0.4166666666666667,0,0,0,0.8333333333333334,0,0,0,0,0,0.8333333333333334,0,0,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,0,39.58333333333333
W00007532,283,208,203,0,5,5,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,73.4982332155477,71.73144876325088,0,1.76678445229682,1.76678445229682,0,0,0,0,1.4134275618374559,0,0,0.35335689045936397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.501766784452297
W00007535,288,245,242,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,85.06944444444444,84.02777777777779,0.6944444444444444,0.3472222222222222,0.3472222222222222,0,0,0,0,0,0,0,0,0.3472222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.930555555555555
W00007537,249,183,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,65,73.49397590361446,73.49397590361446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4016064257028112,0.4016064257028112,0,0,0,26.104417670682732
W00007528,295,177,166,0,11,11,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,117,60,56.271186440677965,0,3.728813559322034,3.728813559322034,0,0,0,0,0,0,2.711864406779661,0,1.0169491525423728,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3389830508474576,0.3389830508474576,0,0,0,39.66101694915255
W00007533,285,178,168,1,9,9,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,106,62.4561403508772,58.94736842105262,0.3508771929824561,3.1578947368421053,3.1578947368421053,0,0,0,1.4035087719298245,0,0,1.7543859649122806,0,0,0,0,0,0,0,0,0,0.3508771929824561,0,0,0.3508771929824561,0,0,0,0,0,0,0,37.19298245614035
W00007534,311,179,176,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,57.556270096463024,56.59163987138264,0,0.964630225080386,0.964630225080386,0,0,0,0,0,0,0,0.964630225080386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.443729903536976
W00007536,283,215,213,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,67,75.97173144876325,75.26501766784452,0,0.7067137809187279,0.7067137809187279,0,0,0,0,0,0,0,0,0.7067137809187279,0,0,0,0,0,0,0,0.35335689045936397,0,0,0.35335689045936397,0,0,0,0,0,0,0,23.674911660777383
W00007527,313,274,270,0,4,3,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,87.53993610223642,86.26198083067092,0,1.2779552715654952,0.9584664536741214,0,0,0.3194888178913738,0,0,0,0.6389776357827476,0,0,0.3194888178913738,0.3194888178913738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.460063897763577
W00007529,280,244,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,34,87.14285714285714,87.14285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7142857142857143,0,0,0,0.7142857142857143,0,0,0,0,0,0,12.142857142857142
W00007538,258,216,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,40,83.72093023255815,83.72093023255815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3875968992248062,0,0,0,0.3875968992248062,0,0.3875968992248062,0,0.3875968992248062,0,0,15.503875968992247
W00007539,242,197,187,0,10,10,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,81.40495867768594,77.27272727272727,0,4.132231404958678,4.132231404958678,0,0,0,0,0,0,3.71900826446281,0,0.4132231404958678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.59504132231405
W00007679,286,220,217,0,3,3,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,64,76.92307692307693,75.87412587412588,0,1.048951048951049,1.048951048951049,0,0,0,0,0,0,0.6993006993006993,0,0.34965034965034963,0,0,0,0.34965034965034963,0,0.34965034965034963,0,0,0,0,0,0,0,0,0,0,0.34965034965034963,0,22.377622377622377
W00007680,260,212,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,47,81.53846153846153,81.53846153846153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38461538461538464,0,0,0.38461538461538464,0,0,0,0,0,0,0,0,0,0,0,18.076923076923077
W00007681,297,262,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,88.21548821548821,88.21548821548821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.784511784511785
W00007684,276,229,224,1,4,4,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,45,82.97101449275362,81.15942028985508,0.36231884057971014,1.4492753623188406,1.4492753623188406,0,0,0,1.0869565217391304,0,0,0.36231884057971014,0,0,0,0,0,0,0,0,0,0.7246376811594203,0,0,0.7246376811594203,0,0,0,0,0,0,0,16.304347826086957
W00007686,286,239,231,2,6,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,46,83.56643356643356,80.76923076923077,0.6993006993006993,2.097902097902098,2.097902097902098,0,0,0,0,0,0,2.097902097902098,0,0,0,0,0,0,0,0,0,0.34965034965034963,0,0,0.34965034965034963,0,0,0,0,0,0,0,16.083916083916083
W00007682,382,215,201,0,14,14,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,56.282722513089,52.617801047120416,0,3.664921465968586,3.664921465968586,0,0,0,0,0,0.2617801047120419,3.4031413612565444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.717277486910994
W00007683,293,220,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,75.0853242320819,75.0853242320819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.914675767918087
W00007685,230,173,167,0,6,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,55,75.21739130434783,72.60869565217392,0,2.608695652173913,2.608695652173913,0,0,0,0,0,0,2.608695652173913,0,0,0,0,0,0,0,0,0,0.8695652173913043,0,0,0.43478260869565216,0.43478260869565216,0,0,0,0,0,0,23.91304347826087
W00007687,240,173,171,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,72.08333333333333,71.25,0,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.916666666666668
W00007688,255,134,132,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,52.54901960784314,51.76470588235295,0,0.7843137254901961,0.7843137254901961,0,0,0,0,0,0,0.7843137254901961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.45098039215686
W00007689,210,141,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,67.14285714285714,67.14285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.857142857142854
W00007556,392,307,306,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,83,78.31632653061224,78.06122448979592,0,0.25510204081632654,0.25510204081632654,0,0,0,0,0,0,0,0,0.25510204081632654,0,0,0,0.25510204081632654,0,0,0.25510204081632654,0.25510204081632654,0,0,0.25510204081632654,0,0,0,0,0,0,0,21.1734693877551
W00007564,306,265,259,0,6,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,86.60130718954248,84.640522875817,0,1.9607843137254901,1.9607843137254901,0,0,0,0,0,0,1.9607843137254901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.398692810457517
W00007571,305,246,241,1,4,4,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,57,80.65573770491802,79.01639344262294,0.32786885245901637,1.3114754098360655,1.3114754098360655,0,0,0,0,0.32786885245901637,0,0.6557377049180327,0,0.32786885245901637,0,0,0,0,0,0,0,0.6557377049180327,0,0,0.6557377049180327,0,0,0,0,0,0,0,18.688524590163937
W00007573,227,132,130,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,58.14977973568281,57.268722466960355,0,0.881057268722467,0.881057268722467,0,0,0,0.881057268722467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.85022026431718
W00007558,301,180,176,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,59.800664451827245,58.4717607973422,0,1.3289036544850499,1.3289036544850499,0,0,0,0,0,0,1.3289036544850499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.19933554817276
W00007563,262,160,158,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,100,61.06870229007634,60.30534351145038,0,0.7633587786259541,0.7633587786259541,0,0,0,0,0,0,0.7633587786259541,0,0,0,0,0,0,0,0,0,0.38167938931297707,0,0,0.38167938931297707,0,0,0.38167938931297707,0,0.38167938931297707,0,0,38.16793893129771
W00007568,302,224,215,0,9,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,74.17218543046357,71.19205298013244,0,2.980132450331126,2.980132450331126,0,0,0,0,0,0,2.980132450331126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.82781456953642
