OA,ts0150001,ts0150002,ts0150003,ts0150004,ts0150005,ts0150006,ts0150007,ts0150008,ts0150009,ts0150010,ts0150011,ts0150012,ts0150013,ts0150002_PCT,ts0150003_PCT,ts0150004_PCT,ts0150005_PCT,ts0150006_PCT,ts0150007_PCT,ts0150008_PCT,ts0150009_PCT,ts0150010_PCT,ts0150011_PCT,ts0150012_PCT,ts0150013_PCT
W00007530,283,282,0,0,0,0,0,1,0,0,0,0,0,99.64664310954063,0,0,0,0,0,0.35335689045936397,0,0,0,0,0
W00007531,240,234,0,0,1,0,1,0,1,1,0,0,2,97.5,0,0,0.4166666666666667,0,0.4166666666666667,0,0.4166666666666667,0.4166666666666667,0,0,0.8333333333333334
W00007532,283,278,0,0,0,0,0,0,0,1,4,0,0,98.23321554770318,0,0,0,0,0,0,0,0.35335689045936397,1.4134275618374559,0,0
W00007535,288,284,0,0,0,2,0,0,2,0,0,0,0,98.61111111111111,0,0,0,0.6944444444444444,0,0,0.6944444444444444,0,0,0,0
W00007537,249,245,0,0,0,0,0,1,3,0,0,0,0,98.39357429718876,0,0,0,0,0,0.4016064257028112,1.2048192771084338,0,0,0,0
W00007528,295,283,0,0,0,0,1,0,5,6,0,0,0,95.9322033898305,0,0,0,0,0.3389830508474576,0,1.694915254237288,2.0338983050847457,0,0,0
W00007533,286,275,0,0,0,1,0,1,6,2,0,1,0,96.15384615384616,0,0,0,0.34965034965034963,0,0.34965034965034963,2.097902097902098,0.6993006993006993,0,0.34965034965034963,0
W00007534,311,304,0,1,0,1,0,0,0,1,2,0,2,97.7491961414791,0,0.3215434083601286,0,0.3215434083601286,0,0,0,0.3215434083601286,0.6430868167202572,0,0.6430868167202572
W00007536,282,278,0,0,1,1,0,0,1,1,0,0,0,98.581560283687935,0,0,0.3546099290780142,0.3546099290780142,0,0,0.3546099290780142,0.3546099290780142,0,0,0
W00007527,315,305,0,1,0,1,0,4,3,0,0,1,0,96.82539682539682,0,0.31746031746031744,0,0.31746031746031744,0,1.2698412698412698,0.9523809523809524,0,0,0.31746031746031744,0
W00007529,281,274,0,0,1,1,3,0,2,0,0,0,0,97.50889679715303,0,0,0.3558718861209964,0.3558718861209964,1.0676156583629894,0,0.7117437722419928,0,0,0,0
W00007538,258,256,0,0,0,0,0,0,0,0,0,2,0,99.2248062015504,0,0,0,0,0,0,0,0,0,0.7751937984496124,0
W00007539,242,231,0,1,0,0,0,0,5,1,3,1,0,95.45454545454545,0,0.4132231404958678,0,0,0,0,2.066115702479339,0.4132231404958678,1.2396694214876034,0.4132231404958678,0
W00007679,285,275,0,0,0,3,0,2,4,0,0,0,1,96.49122807017544,0,0,0,1.0526315789473684,0,0.7017543859649122,1.4035087719298245,0,0,0,0.3508771929824561
W00007680,260,255,0,1,0,2,0,0,2,0,0,0,0,98.07692307692307,0,0.38461538461538464,0,0.7692307692307693,0,0,0.7692307692307693,0,0,0,0
W00007681,297,297,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
W00007684,274,264,0,0,0,2,1,0,4,0,0,2,1,96.35036496350365,0,0,0,0.7299270072992701,0.36496350364963503,0,1.4598540145985401,0,0,0.7299270072992701,0.36496350364963503
W00007686,288,272,0,0,1,4,0,2,8,0,0,1,0,94.44444444444444,0,0,0.3472222222222222,1.3888888888888888,0,0.6944444444444444,2.7777777777777777,0,0,0.3472222222222222,0
W00007682,381,365,0,0,0,0,0,1,8,1,3,3,0,95.8005249343832,0,0,0,0,0,0.26246719160104987,2.099737532808399,0.26246719160104987,0.7874015748031495,0.7874015748031495,0
W00007683,292,290,0,0,0,1,0,0,1,0,0,0,0,99.31506849315068,0,0,0,0.3424657534246575,0,0,0.3424657534246575,0,0,0,0
W00007685,230,215,0,0,0,0,0,1,8,6,0,0,0,93.47826086956522,0,0,0,0,0,0.43478260869565216,3.4782608695652173,2.608695652173913,0,0,0
W00007687,240,238,0,0,0,0,0,0,2,0,0,0,0,99.16666666666667,0,0,0,0,0,0,0.8333333333333334,0,0,0,0
W00007688,255,250,1,0,1,0,0,0,0,2,0,1,0,98.0392156862745,0.39215686274509803,0,0.39215686274509803,0,0,0,0,0.7843137254901961,0,0.39215686274509803,0
W00007689,209,207,0,1,0,0,0,0,1,0,0,0,0,99.04306220095694,0,0.4784688995215311,0,0,0,0,0.4784688995215311,0,0,0,0
W00007556,391,384,0,1,0,2,0,0,3,0,1,0,0,98.20971867007673,0,0.2557544757033248,0,0.5115089514066496,0,0,0.7672634271099744,0,0.2557544757033248,0,0
W00007564,308,302,0,0,0,0,0,0,4,1,0,1,0,98.05194805194806,0,0,0,0,0,0,1.2987012987012987,0.3246753246753247,0,0.3246753246753247,0
