OA,ts0190001,ts0190002,ts0190003,ts0190004,ts0190005,ts0190002_PCT,ts0190003_PCT,ts0190004_PCT,ts0190005_PCT
W00007530,278,269,0,9,0,96.76258992805755,0,3.237410071942446,0
W00007531,240,224,0,14,2,93.33333333333333,0,5.833333333333333,0.8333333333333334
W00007532,278,246,1,31,0,88.48920863309353,0.3597122302158274,11.151079136690647,0
W00007535,284,262,1,21,0,92.25352112676056,0.35211267605633806,7.394366197183098,0
W00007537,247,247,0,0,0,100,0,0,0
W00007528,289,266,0,23,0,92.04152249134948,0,7.958477508650519,0
W00007533,280,248,0,32,0,88.57142857142857,0,11.428571428571429,0
W00007534,308,280,0,26,2,90.9090909090909,0,8.441558441558442,0.6493506493506493
W00007536,282,264,0,18,0,93.61702127659575,0,6.382978723404255,0
W00007527,311,295,0,16,0,94.85530546623794,0,5.144694533762058,0
W00007529,279,261,0,18,0,93.54838709677419,0,6.451612903225806,0
W00007538,257,242,0,15,0,94.16342412451361,0,5.836575875486381,0
W00007539,241,224,0,17,0,92.9460580912863,0,7.053941908713693,0
W00007679,285,277,0,7,1,97.19298245614036,0,2.456140350877193,0.3508771929824561
W00007680,255,250,1,4,0,98.0392156862745,0.39215686274509803,1.5686274509803921,0
W00007681,297,283,2,12,0,95.28619528619528,0.6734006734006733,4.040404040404041,0
W00007684,273,255,0,17,1,93.4065934065934,0,6.227106227106227,0.3663003663003663
W00007686,284,270,0,14,0,95.07042253521126,0,4.929577464788732,0
W00007682,378,344,0,33,1,91.005291005291,0,8.73015873015873,0.26455026455026454
W00007683,292,287,1,4,0,98.28767123287672,0.3424657534246575,1.36986301369863,0
W00007685,229,226,0,3,0,98.68995633187772,0,1.3100436681222707,0
W00007687,239,228,0,11,0,95.39748953974896,0,4.602510460251046,0
W00007688,252,222,0,30,0,88.09523809523809,0,11.904761904761903,0
W00007689,207,196,0,11,0,94.68599033816425,0,5.314009661835748,0
W00007556,389,378,0,11,0,97.17223650385604,0,2.827763496143959,0
W00007564,308,282,2,24,0,91.55844155844156,0.6493506493506493,7.792207792207792,0
W00007571,300,286,0,14,0,95.33333333333334,0,4.666666666666667,0
W00007573,225,219,0,6,0,97.33333333333334,0,2.666666666666667,0
W00007558,298,277,0,21,0,92.9530201342282,0,7.046979865771812,0
W00007563,262,236,0,26,0,90.07633587786259,0,9.923664122137405,0
W00007568,302,281,1,14,6,93.04635761589404,0.33112582781456956,4.635761589403973,1.9867549668874174
W00007570,292,268,0,24,0,91.78082191780823,0,8.21917808219178,0
W00007574,316,305,0,11,0,96.51898734177216,0,3.481012658227848,0
W00007557,207,182,0,25,0,87.92270531400966,0,12.077294685990339,0
W00007561,269,249,0,19,1,92.56505576208178,0,7.063197026022305,0.37174721189591076
W00007565,240,208,0,27,5,86.66666666666667,0,11.25,2.083333333333333
W00007566,193,170,2,16,5,88.08290155440415,1.0362694300518136,8.290155440414509,2.5906735751295336
W00007575,241,231,0,10,0,95.850622406639,0,4.149377593360995,0
W00007559,268,233,2,30,3,86.94029850746269,0.7462686567164178,11.194029850746269,1.1194029850746268
W00007560,217,194,0,23,0,89.40092165898618,0,10.599078341013826,0
W00007562,241,219,0,19,3,90.87136929460581,0,7.883817427385892,1.2448132780082988
W00007567,271,258,0,13,0,95.20295202952029,0,4.797047970479705,0
W00007569,120,111,0,9,0,92.5,0,7.5,0
W00007572,247,243,0,4,0,98.38056680161942,0,1.6194331983805668,0
W00007690,376,346,0,30,0,92.02127659574468,0,7.9787234042553195,0
W00007698,250,232,2,16,0,92.80000000000001,0.8,6.4,0
W00007701,248,234,0,13,1,94.35483870967742,0,5.241935483870968,0.4032258064516129
W00007702,233,221,0,12,0,94.84978540772532,0,5.150214592274678,0
W00007706,254,230,0,24,0,90.5511811023622,0,9.448818897637794,0
W00007696,192,188,0,4,0,97.91666666666666,0,2.083333333333333,0
W00007697,295,283,1,11,0,95.9322033898305,0.3389830508474576,3.728813559322034,0
W00007700,262,256,1,5,0,97.70992366412213,0.38167938931297707,1.9083969465648856,0
W00007705,273,253,0,16,4,92.67399267399267,0,5.86080586080586,1.465201465201465
W00007707,233,205,0,28,0,87.98283261802575,0,12.017167381974248,0
W00007691,104,98,0,5,1,94.23076923076923,0,4.807692307692308,0.9615384615384616
W00007692,269,249,2,16,2,92.56505576208178,0.7434944237918215,5.947955390334572,0.7434944237918215
W00007693,381,359,1,21,0,94.22572178477691,0.26246719160104987,5.511811023622047,0
W00007694,251,234,0,16,1,93.22709163346613,0,6.374501992031872,0.398406374501992
W00007695,234,218,0,16,0,93.16239316239316,0,6.837606837606838,0
W00007699,180,169,0,11,0,93.88888888888889,0,6.111111111111111,0
W00007703,274,241,1,32,0,87.95620437956204,0.36496350364963503,11.678832116788321,0
W00007704,207,189,0,18,0,91.30434782608695,0,8.695652173913043,0
W00007708,253,229,0,24,0,90.51383399209486,0,9.486166007905137,0
W00007709,384,358,1,25,0,93.22916666666666,0.26041666666666663,6.510416666666667,0
W00007719,272,253,0,19,0,93.01470588235294,0,6.985294117647059,0
W00007736,319,306,0,13,0,95.92476489028213,0,4.075235109717868,0
W00007737,274,256,0,13,5,93.43065693430657,0,4.744525547445255,1.824817518248175
W00007738,380,367,1,12,0,96.57894736842105,0.2631578947368421,3.1578947368421053,0
W00007740,207,193,0,14,0,93.23671497584542,0,6.763285024154589,0
W00007517,228,224,0,4,0,98.24561403508771,0,1.7543859649122806,0
W00007519,480,418,1,60,1,87.08333333333333,0.20833333333333334,12.5,0.20833333333333334
W00007520,203,203,0,0,0,100,0,0,0
W00007523,277,262,2,10,3,94.58483754512635,0.7220216606498195,3.6101083032490973,1.083032490974729
W00007526,274,252,2,18,2,91.970802919708035,0.7299270072992701,6.569343065693431,0.7299270072992701
W00007518,312,290,0,22,0,92.94871794871796,0,7.051282051282051,0
W00007521,403,379,0,22,2,94.04466501240695,0,5.459057071960298,0.49627791563275436
W00007522,277,267,0,10,0,96.38989169675091,0,3.6101083032490973,0
W00007524,293,282,1,10,0,96.24573378839591,0.3412969283276451,3.4129692832764507,0
W00007525,311,292,1,17,1,93.89067524115757,0.3215434083601286,5.466237942122187,0.3215434083601286
W00007614,342,327,0,15,0,95.6140350877193,0,4.385964912280701,0
W00007615,296,264,0,32,0,89.1891891891892,0,10.81081081081081,0
W00007616,213,200,0,12,1,93.89671361502347,0,5.633802816901409,0.4694835680751174
W00010316,397,373,0,24,0,93.95465994962217,0,6.045340050377834,0
W00007606,234,212,0,22,0,90.5982905982906,0,9.401709401709402,0
W00007610,240,220,3,17,0,91.66666666666666,1.25,7.083333333333333,0
W00007613,475,390,0,84,1,82.10526315789474,0,17.684210526315788,0.21052631578947367
W00007619,295,268,0,27,0,90.84745762711864,0,9.152542372881356,0
W00007620,197,186,0,11,0,94.41624365482234,0,5.583756345177665,0
W00007621,316,286,1,29,0,90.50632911392405,0.31645569620253167,9.177215189873419,0
W00007607,532,391,1,140,0,73.49624060150376,0.18796992481203006,26.31578947368421,0
W00007609,252,231,0,21,0,91.66666666666666,0,8.333333333333332,0
W00007611,278,244,0,34,0,87.76978417266187,0,12.23021582733813,0
W00007612,264,248,0,16,0,93.93939393939394,0,6.0606060606060606,0
W00007618,286,261,0,20,5,91.25874125874127,0,6.993006993006993,1.7482517482517483
W00007542,252,239,0,13,0,94.84126984126983,0,5.158730158730158,0
W00007545,138,125,0,13,0,90.57971014492753,0,9.420289855072465,0
W00007546,227,215,0,12,0,94.7136563876652,0,5.286343612334802,0
W00007548,255,240,0,15,0,94.11764705882352,0,5.88235294117647,0
W00007555,349,324,0,23,2,92.83667621776505,0,6.59025787965616,0.5730659025787965
W00007540,253,242,0,11,0,95.65217391304348,0,4.3478260869565215,0
W00007541,285,271,0,14,0,95.08771929824562,0,4.912280701754386,0
W00007543,260,251,0,9,0,96.53846153846153,0,3.4615384615384617,0
W00007544,231,207,1,23,0,89.6103896103896,0.4329004329004329,9.956709956709958,0
W00007547,586,553,1,32,0,94.36860068259386,0.17064846416382254,5.460750853242321,0
W00007550,335,315,0,20,0,94.02985074626866,0,5.970149253731343,0
W00007549,239,218,0,21,0,91.21338912133892,0,8.786610878661087,0
W00007551,301,281,0,19,1,93.35548172757476,0,6.312292358803987,0.33222591362126247
W00007552,272,250,0,22,0,91.91176470588235,0,8.088235294117647,0
W00007553,258,233,0,25,0,90.31007751937985,0,9.689922480620156,0
W00007554,267,232,0,35,0,86.89138576779027,0,13.108614232209737,0
W00007665,307,293,0,14,0,95.43973941368078,0,4.5602605863192185,0
W00007666,333,322,0,11,0,96.69669669669669,0,3.303303303303303,0
W00007672,196,189,0,7,0,96.42857142857143,0,3.571428571428571,0
W00007673,291,274,0,17,0,94.15807560137456,0,5.841924398625429,0
W00009795,268,264,0,4,0,98.50746268656717,0,1.4925373134328357,0
