OA,ts0660001,ts0660002,ts0660003,ts0660004,ts0660005,ts0660006,ts0660007,ts0660008,ts0660009,ts0660010,ts0660011,ts0660012,ts0660013,ts0660014,ts0660015,ts0660016,ts0660017,ts0660018,ts0660019,ts0660020,ts0660021,ts0660022,ts0660023,ts0660024,ts0660025,ts0660026,ts0660027,ts0660028,ts0660029,ts0660030,ts0660031,ts0660002_PCT,ts0660003_PCT,ts0660004_PCT,ts0660005_PCT,ts0660006_PCT,ts0660007_PCT,ts0660008_PCT,ts0660009_PCT,ts0660010_PCT,ts0660011_PCT,ts0660012_PCT,ts0660013_PCT,ts0660014_PCT,ts0660015_PCT,ts0660016_PCT,ts0660017_PCT,ts0660018_PCT,ts0660019_PCT,ts0660020_PCT,ts0660021_PCT,ts0660022_PCT,ts0660023_PCT,ts0660024_PCT,ts0660025_PCT,ts0660026_PCT,ts0660027_PCT,ts0660028_PCT,ts0660029_PCT,ts0660030_PCT,ts0660031_PCT
W00007742,270,154,149,129,38,91,1,0,1,19,6,13,5,3,1,1,1,0,0,0,0,0,0,0,2,113,53,15,16,24,5,57.03703703703704,55.18518518518518,47.77777777777778,14.074074074074074,33.7037037037037,0.3703703703703704,0,0.3703703703703704,7.037037037037037,2.2222222222222223,4.814814814814815,1.8518518518518516,1.1111111111111112,0.3703703703703704,0.3703703703703704,0.3703703703703704,0,0,0,0,0,0,0,0.7407407407407408,41.85185185185185,19.62962962962963,5.555555555555555,5.9259259259259265,8.88888888888889,1.8518518518518516
W00007743,255,162,148,126,31,95,2,0,2,20,8,12,14,7,7,7,4,3,0,0,0,0,0,0,0,86,40,13,7,17,9,63.52941176470588,58.03921568627452,49.411764705882355,12.156862745098039,37.254901960784316,0.7843137254901961,0,0.7843137254901961,7.8431372549019605,3.1372549019607843,4.705882352941177,5.490196078431373,2.7450980392156863,2.7450980392156863,2.7450980392156863,1.5686274509803921,1.1764705882352942,0,0,0,0,0,0,0,33.72549019607843,15.686274509803921,5.098039215686274,2.7450980392156863,6.666666666666667,3.5294117647058822
W00007744,294,153,140,123,32,91,3,0,3,14,5,9,13,2,2,2,1,1,0,0,0,0,0,0,0,139,75,21,13,24,6,52.04081632653062,47.61904761904761,41.83673469387755,10.884353741496598,30.952380952380953,1.0204081632653061,0,1.0204081632653061,4.761904761904762,1.7006802721088436,3.061224489795918,4.421768707482993,0.6802721088435374,0.6802721088435374,0.6802721088435374,0.3401360544217687,0.3401360544217687,0,0,0,0,0,0,0,47.27891156462585,25.510204081632654,7.142857142857142,4.421768707482993,8.16326530612245,2.0408163265306123
W00007745,231,114,104,93,29,64,2,0,2,9,1,8,10,0,0,0,0,0,0,0,0,0,0,0,0,117,56,10,17,26,8,49.35064935064935,45.02164502164502,40.25974025974026,12.554112554112553,27.705627705627705,0.8658008658008658,0,0.8658008658008658,3.896103896103896,0.4329004329004329,3.463203463203463,4.329004329004329,0,0,0,0,0,0,0,0,0,0,0,0,50.649350649350644,24.242424242424242,4.329004329004329,7.35930735930736,11.255411255411255,3.463203463203463
W00007746,263,160,155,124,32,92,9,2,7,22,8,14,5,0,0,0,0,0,0,0,0,0,0,0,0,103,80,4,6,10,3,60.836501901140686,58.935361216730044,47.14828897338403,12.167300380228136,34.98098859315589,3.4220532319391634,0.7604562737642585,2.6615969581749046,8.365019011406844,3.041825095057034,5.323193916349809,1.9011406844106464,0,0,0,0,0,0,0,0,0,0,0,0,39.163498098859314,30.418250950570343,1.520912547528517,2.2813688212927756,3.802281368821293,1.1406844106463878
W00007747,270,137,129,116,38,78,4,0,4,9,5,4,8,4,3,3,3,0,0,0,0,0,0,0,1,129,59,14,17,25,14,50.74074074074074,47.77777777777778,42.96296296296296,14.074074074074074,28.888888888888886,1.4814814814814816,0,1.4814814814814816,3.3333333333333335,1.8518518518518516,1.4814814814814816,2.9629629629629632,1.4814814814814816,1.1111111111111112,1.1111111111111112,1.1111111111111112,0,0,0,0,0,0,0,0.3703703703703704,47.77777777777778,21.85185185185185,5.185185185185185,6.296296296296296,9.25925925925926,5.185185185185185
W00007748,260,131,128,105,23,82,7,1,6,16,7,9,3,6,3,3,3,0,0,0,0,0,0,0,3,123,84,11,9,14,5,50.38461538461539,49.23076923076923,40.38461538461539,8.846153846153847,31.538461538461537,2.6923076923076925,0.38461538461538464,2.307692307692308,6.153846153846154,2.6923076923076925,3.4615384615384617,1.153846153846154,2.307692307692308,1.153846153846154,1.153846153846154,1.153846153846154,0,0,0,0,0,0,0,1.153846153846154,47.30769230769231,32.30769230769231,4.230769230769231,3.4615384615384617,5.384615384615385,1.9230769230769231
W00007749,241,100,94,83,27,56,3,0,3,8,3,5,6,4,4,4,4,0,0,0,0,0,0,0,0,137,71,7,17,38,4,41.49377593360996,39.004149377593365,34.439834024896264,11.20331950207469,23.236514522821576,1.2448132780082988,0,1.2448132780082988,3.319502074688797,1.2448132780082988,2.0746887966804977,2.4896265560165975,1.6597510373443984,1.6597510373443984,1.6597510373443984,1.6597510373443984,0,0,0,0,0,0,0,0,56.84647302904564,29.460580912863072,2.904564315352697,7.053941908713693,15.767634854771783,1.6597510373443984
W00007750,213,99,98,86,20,66,3,0,3,9,4,5,1,1,1,1,1,0,0,0,0,0,0,0,0,113,63,10,17,18,5,46.478873239436616,46.009389671361504,40.375586854460096,9.389671361502346,30.985915492957744,1.4084507042253522,0,1.4084507042253522,4.225352112676056,1.8779342723004695,2.3474178403755865,0.4694835680751174,0.4694835680751174,0.4694835680751174,0.4694835680751174,0.4694835680751174,0,0,0,0,0,0,0,0,53.051643192488264,29.577464788732392,4.694835680751173,7.981220657276995,8.450704225352112,2.3474178403755865
W00007751,314,216,208,192,40,152,0,0,0,16,8,8,8,1,0,0,0,0,0,0,0,0,0,0,1,97,55,12,8,17,5,68.78980891719745,66.2420382165605,61.146496815286625,12.738853503184714,48.40764331210191,0,0,0,5.095541401273886,2.547770700636943,2.547770700636943,2.547770700636943,0.3184713375796179,0,0,0,0,0,0,0,0,0,0,0.3184713375796179,30.89171974522293,17.51592356687898,3.821656050955414,2.547770700636943,5.414012738853503,1.5923566878980893
W00007752,225,118,115,89,26,63,10,2,8,16,4,12,3,5,5,5,5,0,0,0,0,0,0,0,0,102,53,8,14,20,7,52.44444444444445,51.11111111111111,39.55555555555556,11.555555555555555,28.000000000000004,4.444444444444445,0.8888888888888888,3.5555555555555554,7.111111111111111,1.7777777777777777,5.333333333333334,1.3333333333333335,2.2222222222222223,2.2222222222222223,2.2222222222222223,2.2222222222222223,0,0,0,0,0,0,0,0,45.33333333333333,23.555555555555554,3.5555555555555554,6.222222222222222,8.88888888888889,3.111111111111111
W00007753,223,138,134,115,23,92,6,0,6,13,1,12,4,5,4,4,3,1,0,0,0,0,0,0,1,80,47,10,8,8,7,61.88340807174888,60.0896860986547,51.569506726457405,10.31390134529148,41.25560538116592,2.690582959641256,0,2.690582959641256,5.829596412556054,0.4484304932735426,5.381165919282512,1.7937219730941705,2.242152466367713,1.7937219730941705,1.7937219730941705,1.345291479820628,0.4484304932735426,0,0,0,0,0,0,0.4484304932735426,35.874439461883405,21.076233183856502,4.484304932735426,3.587443946188341,3.587443946188341,3.1390134529147984
