OA,ts0170001,ts0170002,ts0170003,ts0170004,ts0170005,ts0170006,ts0170007,ts0170008,ts0170009,ts0170010,ts0170002_PCT,ts0170003_PCT,ts0170004_PCT,ts0170005_PCT,ts0170006_PCT,ts0170007_PCT,ts0170008_PCT,ts0170009_PCT,ts0170010_PCT
W00008440,134,0,58,49,14,9,3,1,0,0,0,43.28358208955223,36.56716417910448,10.44776119402985,6.7164179104477615,2.2388059701492535,0.7462686567164178,0,0
W00008454,126,0,40,50,17,15,4,0,0,0,0,31.746031746031743,39.682539682539684,13.492063492063492,11.904761904761903,3.1746031746031744,0,0,0
W00008455,134,0,56,42,14,18,2,2,0,0,0,41.7910447761194,31.343283582089555,10.44776119402985,13.432835820895523,1.4925373134328357,1.4925373134328357,0,0
W00008459,121,0,34,34,17,32,3,0,0,1,0,28.09917355371901,28.09917355371901,14.049586776859504,26.446280991735538,2.479338842975207,0,0,0.8264462809917356
W00008462,132,0,55,45,16,15,1,0,0,0,0,41.66666666666667,34.090909090909086,12.121212121212121,11.363636363636363,0.7575757575757576,0,0,0
W00008439,186,0,42,72,36,31,5,0,0,0,0,22.58064516129032,38.70967741935484,19.35483870967742,16.666666666666664,2.6881720430107525,0,0,0
W00008441,115,0,36,37,21,16,5,0,0,0,0,31.30434782608696,32.17391304347826,18.26086956521739,13.91304347826087,4.3478260869565215,0,0,0
W00008460,93,0,29,39,8,13,4,0,0,0,0,31.182795698924732,41.935483870967744,8.60215053763441,13.978494623655912,4.301075268817205,0,0,0
W00008461,105,0,21,44,15,17,6,2,0,0,0,20,41.904761904761905,14.285714285714285,16.19047619047619,5.714285714285714,1.9047619047619049,0,0
W00008436,140,0,44,53,28,9,5,1,0,0,0,31.428571428571427,37.857142857142854,20,6.428571428571428,3.571428571428571,0.7142857142857143,0,0
W00008438,133,0,65,45,11,11,1,0,0,0,0,48.87218045112782,33.83458646616541,8.270676691729323,8.270676691729323,0.7518796992481203,0,0,0
W00008442,132,0,49,47,20,10,5,1,0,0,0,37.121212121212125,35.60606060606061,15.151515151515152,7.575757575757576,3.787878787878788,0.7575757575757576,0,0
