OA,ts0460001,ts0460002,ts0460003,ts0460004,ts0460005,ts0460006,ts0460007,ts0460008,ts0460009,ts0460010,ts0460011,ts0460012,ts0460013,ts0460002_PCT,ts0460003_PCT,ts0460004_PCT,ts0460005_PCT,ts0460006_PCT,ts0460007_PCT,ts0460008_PCT,ts0460009_PCT,ts0460010_PCT,ts0460011_PCT,ts0460012_PCT,ts0460013_PCT
E00060255,154,9,118,1,10,0,0,0,0,0,0,15,1,5.844155844155844,76.62337662337663,0.6493506493506493,6.493506493506493,0,0,0,0,0,0,9.740259740259742,0.6493506493506493
E00060256,135,0,116,1,5,0,0,0,0,0,4,9,0,0,85.92592592592592,0.7407407407407408,3.7037037037037033,0,0,0,0,0,2.9629629629629632,6.666666666666667,0
E00060257,126,0,112,0,5,0,0,0,2,0,1,6,0,0,88.88888888888889,0,3.968253968253968,0,0,0,1.5873015873015872,0,0.7936507936507936,4.761904761904762,0
E00060258,106,1,85,1,3,0,0,0,0,0,1,15,0,0.9433962264150944,80.18867924528303,0.9433962264150944,2.8301886792452833,0,0,0,0,0,0.9433962264150944,14.150943396226415,0
E00060259,106,1,82,1,3,0,0,0,0,0,4,15,0,0.9433962264150944,77.35849056603774,0.9433962264150944,2.8301886792452833,0,0,0,0,0,3.7735849056603774,14.150943396226415,0
E00060260,104,1,81,0,6,0,0,0,0,2,7,7,0,0.9615384615384616,77.88461538461539,0,5.769230769230769,0,0,0,0,1.9230769230769231,6.730769230769231,6.730769230769231,0
E00060261,105,0,90,0,4,0,0,0,0,0,1,10,0,0,85.71428571428571,0,3.8095238095238098,0,0,0,0,0,0.9523809523809524,9.523809523809524,0
E00060262,106,2,79,0,3,0,0,0,0,4,4,14,0,1.8867924528301887,74.52830188679245,0,2.8301886792452833,0,0,0,0,3.7735849056603774,3.7735849056603774,13.20754716981132,0
E00060263,112,3,87,0,3,0,0,0,0,0,4,15,0,2.6785714285714284,77.67857142857143,0,2.6785714285714284,0,0,0,0,0,3.571428571428571,13.392857142857142,0
E00060264,116,0,101,0,3,0,0,0,0,0,0,11,1,0,87.06896551724138,0,2.586206896551724,0,0,0,0,0,0,9.482758620689655,0.8620689655172413
E00060265,74,1,55,0,8,0,0,0,0,0,3,6,1,1.3513513513513513,74.32432432432432,0,10.81081081081081,0,0,0,0,0,4.054054054054054,8.108108108108109,1.3513513513513513
E00060266,109,1,92,0,3,0,0,1,0,0,0,12,0,0.9174311926605505,84.40366972477065,0,2.7522935779816518,0,0,0.9174311926605505,0,0,0,11.009174311926607,0
E00060267,76,0,67,0,0,0,0,0,0,1,1,7,0,0,88.1578947368421,0,0,0,0,0,0,1.3157894736842104,1.3157894736842104,9.210526315789473,0
E00060268,76,6,57,2,2,0,0,0,0,0,3,6,0,7.894736842105263,75,2.631578947368421,2.631578947368421,0,0,0,0,0,3.9473684210526314,7.894736842105263,0
E00060269,99,2,77,0,6,0,0,0,0,2,2,10,0,2.0202020202020203,77.77777777777779,0,6.0606060606060606,0,0,0,0,2.0202020202020203,2.0202020202020203,10.1010101010101,0
E00060270,138,3,123,0,2,0,0,0,1,0,0,9,0,2.1739130434782608,89.13043478260869,0,1.4492753623188406,0,0,0,0.7246376811594203,0,0,6.521739130434782,0
