OA,ts0500001,ts0500002,ts0500003,ts0500004,ts0500005,ts0500002_PCT,ts0500003_PCT,ts0500004_PCT,ts0500005_PCT
E00092757,117,4,23,23,67,3.418803418803419,19.65811965811966,19.65811965811966,57.26495726495726
E00092758,120,1,12,61,46,0.8333333333333334,10,50.83333333333333,38.333333333333336
E00092759,118,1,8,68,41,0.847457627118644,6.779661016949152,57.6271186440678,34.74576271186441
E00092760,213,13,39,77,84,6.103286384976526,18.30985915492958,36.15023474178404,39.436619718309856
E00092761,132,0,7,51,74,0,5.303030303030303,38.63636363636363,56.060606060606055
E00092763,126,0,24,62,40,0,19.047619047619047,49.2063492063492,31.746031746031743
E00092764,118,0,16,65,37,0,13.559322033898304,55.08474576271186,31.35593220338983
E00092765,131,28,17,23,63,21.374045801526716,12.977099236641221,17.557251908396946,48.091603053435115
E00092766,128,3,37,48,40,2.34375,28.90625,37.5,31.25
E00092767,141,29,59,30,23,20.56737588652482,41.843971631205676,21.27659574468085,16.312056737588655
E00092768,172,3,34,49,86,1.744186046511628,19.767441860465116,28.488372093023255,50
E00092769,116,28,34,32,22,24.137931034482758,29.310344827586203,27.586206896551722,18.96551724137931
E00092770,125,0,23,69,33,0,18.4,55.2,26.400000000000002
E00092771,166,18,52,50,46,10.843373493975903,31.32530120481928,30.120481927710845,27.710843373493976
E00092772,134,4,66,59,5,2.9850746268656714,49.25373134328358,44.02985074626866,3.731343283582089
E00092773,98,21,31,38,8,21.428571428571427,31.63265306122449,38.775510204081634,8.16326530612245
E00092774,129,0,43,74,12,0,33.33333333333333,57.36434108527132,9.30232558139535
E00092775,130,2,12,98,18,1.5384615384615385,9.230769230769232,75.38461538461539,13.846153846153847
E00092776,117,4,24,70,19,3.418803418803419,20.51282051282051,59.82905982905983,16.23931623931624
E00092777,115,5,27,68,15,4.3478260869565215,23.47826086956522,59.130434782608695,13.043478260869565
E00092778,114,3,35,63,13,2.631578947368421,30.701754385964914,55.26315789473685,11.403508771929824
E00092779,129,0,6,101,22,0,4.651162790697675,78.29457364341084,17.05426356589147
E00092780,133,40,11,47,35,30.075187969924812,8.270676691729323,35.338345864661655,26.31578947368421
E00092781,125,27,32,40,26,21.6,25.6,32,20.8
E00092782,119,29,13,46,31,24.369747899159663,10.92436974789916,38.655462184873954,26.05042016806723
E00092783,121,72,19,17,13,59.50413223140496,15.702479338842975,14.049586776859504,10.743801652892563
E00092784,135,7,44,68,16,5.185185185185185,32.592592592592595,50.37037037037037,11.851851851851853
E00092785,112,5,25,47,35,4.464285714285714,22.321428571428573,41.964285714285715,31.25
E00092786,135,0,18,33,84,0,13.333333333333334,24.444444444444443,62.22222222222222
E00092787,133,2,20,41,70,1.5037593984962405,15.037593984962406,30.82706766917293,52.63157894736842
E00092788,134,8,4,55,67,5.970149253731343,2.9850746268656714,41.04477611940299,50
E00092790,125,5,3,42,75,4,2.4,33.6,60
E00092791,194,8,44,82,60,4.123711340206185,22.68041237113402,42.2680412371134,30.927835051546392
E00092792,128,5,53,39,31,3.90625,41.40625,30.46875,24.21875
E00092793,132,1,39,38,54,0.7575757575757576,29.545454545454547,28.78787878787879,40.909090909090914
E00092794,107,1,5,86,15,0.9345794392523363,4.672897196261682,80.37383177570094,14.018691588785046
E00092795,113,33,36,32,12,29.20353982300885,31.858407079646017,28.31858407079646,10.619469026548673
E00092796,120,0,37,56,27,0,30.833333333333336,46.666666666666664,22.5
E00092797,246,12,66,111,57,4.878048780487805,26.82926829268293,45.1219512195122,23.170731707317074
E00092798,191,17,27,74,73,8.900523560209423,14.136125654450263,38.7434554973822,38.21989528795812
E00092799,74,1,19,32,22,1.3513513513513513,25.675675675675674,43.24324324324324,29.72972972972973
E00092800,168,1,50,47,70,0.5952380952380952,29.761904761904763,27.976190476190478,41.66666666666667
E00092801,85,4,15,37,29,4.705882352941177,17.647058823529413,43.529411764705884,34.11764705882353
E00092802,141,1,21,35,84,0.7092198581560284,14.893617021276595,24.822695035460992,59.57446808510638
E00092803,123,1,22,61,39,0.8130081300813009,17.88617886178862,49.59349593495935,31.70731707317073
