OA,ts0660001,ts0660002,ts0660003,ts0660004,ts0660005,ts0660006,ts0660007,ts0660008,ts0660009,ts0660010,ts0660011,ts0660012,ts0660013,ts0660014,ts0660015,ts0660016,ts0660017,ts0660018,ts0660019,ts0660020,ts0660021,ts0660022,ts0660023,ts0660024,ts0660025,ts0660026,ts0660027,ts0660028,ts0660029,ts0660030,ts0660031,ts0660002_PCT,ts0660003_PCT,ts0660004_PCT,ts0660005_PCT,ts0660006_PCT,ts0660007_PCT,ts0660008_PCT,ts0660009_PCT,ts0660010_PCT,ts0660011_PCT,ts0660012_PCT,ts0660013_PCT,ts0660014_PCT,ts0660015_PCT,ts0660016_PCT,ts0660017_PCT,ts0660018_PCT,ts0660019_PCT,ts0660020_PCT,ts0660021_PCT,ts0660022_PCT,ts0660023_PCT,ts0660024_PCT,ts0660025_PCT,ts0660026_PCT,ts0660027_PCT,ts0660028_PCT,ts0660029_PCT,ts0660030_PCT,ts0660031_PCT
E00053353,399,220,214,162,47,115,12,5,7,40,24,16,6,1,0,0,0,0,0,0,0,0,0,0,1,178,113,10,22,22,11,55.13784461152882,53.63408521303258,40.6015037593985,11.779448621553884,28.82205513784461,3.007518796992481,1.2531328320802004,1.7543859649122806,10.025062656641603,6.015037593984962,4.010025062656641,1.5037593984962405,0.2506265664160401,0,0,0,0,0,0,0,0,0,0,0.2506265664160401,44.611528822055135,28.32080200501253,2.506265664160401,5.513784461152882,5.513784461152882,2.756892230576441
E00053354,259,155,154,127,38,89,7,2,5,20,8,12,1,4,2,1,1,0,0,0,0,1,0,1,2,100,68,12,9,8,3,59.84555984555985,59.45945945945946,49.034749034749034,14.671814671814673,34.36293436293436,2.7027027027027026,0.7722007722007722,1.9305019305019304,7.722007722007722,3.088803088803089,4.633204633204633,0.3861003861003861,1.5444015444015444,0.7722007722007722,0.3861003861003861,0.3861003861003861,0,0,0,0,0.3861003861003861,0,0.3861003861003861,0.7722007722007722,38.61003861003861,26.254826254826252,4.633204633204633,3.474903474903475,3.088803088803089,1.1583011583011582
E00053355,263,167,162,133,31,102,5,0,5,24,10,14,5,4,3,3,3,0,0,0,0,0,0,0,1,92,69,13,9,1,0,63.49809885931559,61.59695817490495,50.57034220532319,11.787072243346007,38.78326996197718,1.9011406844106464,0,1.9011406844106464,9.125475285171103,3.802281368821293,5.323193916349809,1.9011406844106464,1.520912547528517,1.1406844106463878,1.1406844106463878,1.1406844106463878,0,0,0,0,0,0,0,0.38022813688212925,34.98098859315589,26.23574144486692,4.942965779467681,3.4220532319391634,0.38022813688212925,0
E00053356,244,148,145,123,33,90,3,0,3,19,5,14,3,4,4,4,3,1,0,0,0,0,0,0,0,92,60,4,19,3,6,60.65573770491803,59.42622950819673,50.409836065573764,13.524590163934427,36.885245901639344,1.2295081967213115,0,1.2295081967213115,7.786885245901639,2.0491803278688523,5.737704918032787,1.2295081967213115,1.639344262295082,1.639344262295082,1.639344262295082,1.2295081967213115,0.4098360655737705,0,0,0,0,0,0,0,37.704918032786885,24.59016393442623,1.639344262295082,7.786885245901639,1.2295081967213115,2.459016393442623
E00053357,283,153,153,132,37,95,5,0,5,16,6,10,0,7,7,7,7,0,0,0,0,0,0,0,0,123,95,17,7,4,0,54.06360424028268,54.06360424028268,46.64310954063604,13.074204946996467,33.56890459363957,1.76678445229682,0,1.76678445229682,5.6537102473498235,2.1201413427561837,3.53356890459364,0,2.4734982332155475,2.4734982332155475,2.4734982332155475,2.4734982332155475,0,0,0,0,0,0,0,0,43.46289752650176,33.56890459363957,6.007067137809187,2.4734982332155475,1.4134275618374559,0
E00053358,297,202,190,152,36,116,7,1,6,31,14,17,12,4,1,1,1,0,0,0,0,0,0,0,3,91,60,9,7,5,10,68.01346801346801,63.97306397306397,51.178451178451176,12.121212121212121,39.05723905723906,2.356902356902357,0.33670033670033667,2.0202020202020203,10.437710437710438,4.713804713804714,5.723905723905724,4.040404040404041,1.3468013468013467,0.33670033670033667,0.33670033670033667,0.33670033670033667,0,0,0,0,0,0,0,1.0101010101010102,30.63973063973064,20.2020202020202,3.0303030303030303,2.356902356902357,1.6835016835016834,3.3670033670033668
E00053359,225,118,107,94,21,73,3,1,2,10,8,2,11,1,0,0,0,0,0,0,0,0,0,0,1,106,90,5,0,8,3,52.44444444444445,47.55555555555556,41.77777777777778,9.333333333333334,32.44444444444444,1.3333333333333335,0.4444444444444444,0.8888888888888888,4.444444444444445,3.5555555555555554,0.8888888888888888,4.888888888888889,0.4444444444444444,0,0,0,0,0,0,0,0,0,0,0.4444444444444444,47.11111111111111,40,2.2222222222222223,0,3.5555555555555554,1.3333333333333335
E00053360,268,140,133,114,32,82,2,0,2,17,10,7,7,8,7,7,5,2,0,0,0,0,0,0,1,120,83,9,8,16,4,52.23880597014925,49.62686567164179,42.53731343283582,11.940298507462686,30.597014925373134,0.7462686567164178,0,0.7462686567164178,6.343283582089552,3.731343283582089,2.6119402985074625,2.6119402985074625,2.9850746268656714,2.6119402985074625,2.6119402985074625,1.8656716417910446,0.7462686567164178,0,0,0,0,0,0,0.3731343283582089,44.776119402985074,30.970149253731343,3.3582089552238807,2.9850746268656714,5.970149253731343,1.4925373134328357
E00053361,282,143,143,116,29,87,4,0,4,23,10,13,0,3,0,0,0,0,0,0,0,0,0,0,3,136,116,6,9,5,0,50.70921985815603,50.70921985815603,41.13475177304964,10.28368794326241,30.851063829787233,1.4184397163120568,0,1.4184397163120568,8.156028368794328,3.546099290780142,4.609929078014184,0,1.0638297872340425,0,0,0,0,0,0,0,0,0,0,1.0638297872340425,48.226950354609926,41.13475177304964,2.127659574468085,3.1914893617021276,1.773049645390071,0
E00053362,271,122,121,95,26,69,7,3,4,19,12,7,1,2,1,1,0,1,0,0,0,0,0,0,1,147,126,4,6,3,8,45.018450184501845,44.64944649446495,35.05535055350554,9.59409594095941,25.461254612546124,2.5830258302583027,1.107011070110701,1.4760147601476015,7.011070110701106,4.428044280442804,2.5830258302583027,0.36900369003690037,0.7380073800738007,0.36900369003690037,0.36900369003690037,0,0.36900369003690037,0,0,0,0,0,0,0.36900369003690037,54.24354243542435,46.494464944649444,1.4760147601476015,2.214022140221402,1.107011070110701,2.952029520295203
