OA,ts007a0001,ts007a0002,ts007a0003,ts007a0004,ts007a0005,ts007a0006,ts007a0007,ts007a0008,ts007a0009,ts007a0010,ts007a0011,ts007a0012,ts007a0013,ts007a0014,ts007a0015,ts007a0016,ts007a0017,ts007a0018,ts007a0019,ts007a0002_PCT,ts007a0003_PCT,ts007a0004_PCT,ts007a0005_PCT,ts007a0006_PCT,ts007a0007_PCT,ts007a0008_PCT,ts007a0009_PCT,ts007a0010_PCT,ts007a0011_PCT,ts007a0012_PCT,ts007a0013_PCT,ts007a0014_PCT,ts007a0015_PCT,ts007a0016_PCT,ts007a0017_PCT,ts007a0018_PCT,ts007a0019_PCT
E00098751,419,15,10,11,8,15,16,23,20,14,12,36,43,44,40,33,35,24,20,3.579952267303103,2.386634844868735,2.6252983293556085,1.9093078758949882,3.579952267303103,3.8186157517899764,5.4892601431980905,4.77326968973747,3.341288782816229,2.863961813842482,8.591885441527445,10.26252983293556,10.501193317422434,9.54653937947494,7.875894988066825,8.353221957040573,5.727923627684964,4.77326968973747
E00098752,288,11,25,18,14,12,14,22,14,11,15,23,26,20,21,15,18,7,2,3.8194444444444446,8.680555555555555,6.25,4.861111111111112,4.166666666666666,4.861111111111112,7.638888888888889,4.861111111111112,3.8194444444444446,5.208333333333334,7.986111111111111,9.027777777777777,6.944444444444445,7.291666666666667,5.208333333333334,6.25,2.430555555555556,0.6944444444444444
E00098753,250,12,12,8,14,24,17,18,20,9,20,23,22,7,17,11,11,3,2,4.8,4.8,3.2,5.6000000000000005,9.6,6.800000000000001,7.199999999999999,8,3.5999999999999996,8,9.2,8.799999999999999,2.8000000000000003,6.800000000000001,4.3999999999999995,4.3999999999999995,1.2,0.8
E00098754,246,12,13,18,7,12,24,22,11,15,13,19,18,7,13,19,4,10,9,4.878048780487805,5.284552845528456,7.317073170731707,2.8455284552845526,4.878048780487805,9.75609756097561,8.94308943089431,4.471544715447155,6.097560975609756,5.284552845528456,7.723577235772358,7.317073170731707,2.8455284552845526,5.284552845528456,7.723577235772358,1.6260162601626018,4.0650406504065035,3.6585365853658534
E00098755,229,11,12,7,6,13,18,36,10,18,14,16,16,16,17,9,5,3,2,4.8034934497816595,5.240174672489083,3.056768558951965,2.6200873362445414,5.676855895196507,7.860262008733625,15.72052401746725,4.366812227074235,7.860262008733625,6.11353711790393,6.986899563318777,6.986899563318777,6.986899563318777,7.423580786026202,3.9301310043668125,2.1834061135371177,1.3100436681222707,0.8733624454148471
E00098756,212,3,4,7,2,8,7,5,3,9,14,19,21,31,16,27,18,7,11,1.4150943396226416,1.8867924528301887,3.30188679245283,0.9433962264150944,3.7735849056603774,3.30188679245283,2.358490566037736,1.4150943396226416,4.245283018867925,6.60377358490566,8.962264150943396,9.90566037735849,14.622641509433961,7.547169811320755,12.735849056603774,8.49056603773585,3.30188679245283,5.188679245283019
E00098757,154,0,2,1,6,5,13,7,4,2,6,10,19,22,13,16,11,8,9,0,1.2987012987012987,0.6493506493506493,3.896103896103896,3.2467532467532463,8.441558441558442,4.545454545454546,2.5974025974025974,1.2987012987012987,3.896103896103896,6.493506493506493,12.337662337662337,14.285714285714285,8.441558441558442,10.38961038961039,7.142857142857142,5.194805194805195,5.844155844155844
E00098758,231,6,8,9,14,5,10,4,3,14,12,19,28,26,20,17,15,10,11,2.5974025974025974,3.463203463203463,3.896103896103896,6.0606060606060606,2.1645021645021645,4.329004329004329,1.7316017316017316,1.2987012987012987,6.0606060606060606,5.194805194805195,8.225108225108226,12.121212121212121,11.255411255411255,8.658008658008658,7.35930735930736,6.493506493506493,4.329004329004329,4.761904761904762
E00098759,333,14,14,17,22,16,15,22,19,20,22,39,32,16,17,15,15,12,6,4.2042042042042045,4.2042042042042045,5.105105105105105,6.606606606606606,4.804804804804805,4.504504504504505,6.606606606606606,5.7057057057057055,6.006006006006006,6.606606606606606,11.711711711711711,9.60960960960961,4.804804804804805,5.105105105105105,4.504504504504505,4.504504504504505,3.6036036036036037,1.8018018018018018
E00098760,126,4,3,3,1,14,7,8,8,8,12,17,10,8,8,9,0,4,2,3.1746031746031744,2.380952380952381,2.380952380952381,0.7936507936507936,11.11111111111111,5.555555555555555,6.349206349206349,6.349206349206349,6.349206349206349,9.523809523809524,13.492063492063492,7.936507936507936,6.349206349206349,6.349206349206349,7.142857142857142,0,3.1746031746031744,1.5873015873015872
