OA,ts0020001,ts0020002,ts0020003,ts0020004,ts0020005,ts0020006,ts0020007,ts0020008,ts0020009,ts0020010,ts0020011,ts0020012,ts0020013,ts0020014,ts0020015,ts0020016,ts0020017,ts0020018,ts0020002_PCT,ts0020003_PCT,ts0020004_PCT,ts0020005_PCT,ts0020006_PCT,ts0020007_PCT,ts0020008_PCT,ts0020009_PCT,ts0020010_PCT,ts0020011_PCT,ts0020012_PCT,ts0020013_PCT,ts0020014_PCT,ts0020015_PCT,ts0020016_PCT,ts0020017_PCT,ts0020018_PCT
E00111449,323,115,142,142,142,0,0,0,0,4,4,0,34,34,0,28,28,0,35.60371517027864,43.962848297213625,43.962848297213625,43.962848297213625,0,0,0,0,1.238390092879257,1.238390092879257,0,10.526315789473683,10.526315789473683,0,8.6687306501548,8.6687306501548,0
E00111450,295,74,174,174,174,0,0,0,0,5,5,0,22,22,0,20,20,0,25.08474576271186,58.98305084745763,58.98305084745763,58.98305084745763,0,0,0,0,1.694915254237288,1.694915254237288,0,7.457627118644068,7.457627118644068,0,6.779661016949152,6.779661016949152,0
E00111454,304,45,195,191,191,0,4,0,4,5,5,0,31,31,0,28,28,0,14.802631578947366,64.14473684210526,62.82894736842105,62.82894736842105,0,1.3157894736842104,0,1.3157894736842104,1.644736842105263,1.644736842105263,0,10.197368421052632,10.197368421052632,0,9.210526315789473,9.210526315789473,0
E00111455,199,19,93,93,93,0,0,0,0,1,1,0,50,50,0,36,36,0,9.547738693467336,46.733668341708544,46.733668341708544,46.733668341708544,0,0,0,0,0.5025125628140703,0.5025125628140703,0,25.125628140703515,25.125628140703515,0,18.090452261306535,18.090452261306535,0
E00111456,214,26,106,104,103,1,2,2,0,11,11,0,43,43,0,28,28,0,12.149532710280374,49.532710280373834,48.598130841121495,48.13084112149533,0.46728971962616817,0.9345794392523363,0.9345794392523363,0,5.14018691588785,5.14018691588785,0,20.093457943925234,20.093457943925234,0,13.084112149532709,13.084112149532709,0
E00111462,203,25,86,86,82,4,0,0,0,8,8,0,57,57,0,27,27,0,12.31527093596059,42.364532019704434,42.364532019704434,40.39408866995074,1.9704433497536946,0,0,0,3.9408866995073892,3.9408866995073892,0,28.078817733990146,28.078817733990146,0,13.30049261083744,13.30049261083744,0
E00111457,252,64,149,149,149,0,0,0,0,3,3,0,17,17,0,19,19,0,25.396825396825395,59.12698412698413,59.12698412698413,59.12698412698413,0,0,0,0,1.1904761904761905,1.1904761904761905,0,6.746031746031746,6.746031746031746,0,7.5396825396825395,7.5396825396825395,0
E00111458,113,20,48,48,48,0,0,0,0,1,1,0,21,21,0,23,23,0,17.699115044247787,42.47787610619469,42.47787610619469,42.47787610619469,0,0,0,0,0.8849557522123894,0.8849557522123894,0,18.58407079646018,18.58407079646018,0,20.353982300884958,20.353982300884958,0
E00111459,287,67,177,177,177,0,0,0,0,3,3,0,15,15,0,25,25,0,23.34494773519164,61.672473867595826,61.672473867595826,61.672473867595826,0,0,0,0,1.0452961672473868,1.0452961672473868,0,5.2264808362369335,5.2264808362369335,0,8.710801393728223,8.710801393728223,0
E00111460,234,55,139,139,137,2,0,0,0,3,2,1,15,15,0,22,22,0,23.504273504273502,59.401709401709404,59.401709401709404,58.54700854700855,0.8547008547008548,0,0,0,1.282051282051282,0.8547008547008548,0.4273504273504274,6.41025641025641,6.41025641025641,0,9.401709401709402,9.401709401709402,0
E00111461,232,53,147,147,147,0,0,0,0,5,5,0,9,9,0,18,18,0,22.844827586206897,63.36206896551724,63.36206896551724,63.36206896551724,0,0,0,0,2.1551724137931036,2.1551724137931036,0,3.8793103448275863,3.8793103448275863,0,7.758620689655173,7.758620689655173,0
E00111464,301,88,161,161,161,0,0,0,0,7,7,0,27,27,0,18,18,0,29.2358803986711,53.48837209302325,53.48837209302325,53.48837209302325,0,0,0,0,2.3255813953488373,2.3255813953488373,0,8.970099667774086,8.970099667774086,0,5.980066445182724,5.980066445182724,0
E00111452,303,83,170,167,167,0,3,0,3,4,4,0,27,27,0,19,19,0,27.39273927392739,56.10561056105611,55.115511551155116,55.115511551155116,0,0.9900990099009901,0,0.9900990099009901,1.3201320132013201,1.3201320132013201,0,8.91089108910891,8.91089108910891,0,6.270627062706271,6.270627062706271,0
E00111453,286,76,164,164,163,1,0,0,0,6,6,0,22,22,0,18,18,0,26.573426573426573,57.34265734265735,57.34265734265735,56.993006993006986,0.34965034965034963,0,0,0,2.097902097902098,2.097902097902098,0,7.6923076923076925,7.6923076923076925,0,6.293706293706294,6.293706293706294,0
E00111465,280,98,135,135,135,0,0,0,0,5,5,0,21,21,0,21,21,0,35,48.214285714285715,48.214285714285715,48.214285714285715,0,0,0,0,1.7857142857142856,1.7857142857142856,0,7.5,7.5,0,7.5,7.5,0
E00111467,252,67,148,148,148,0,0,0,0,2,2,0,18,18,0,17,17,0,26.58730158730159,58.730158730158735,58.730158730158735,58.730158730158735,0,0,0,0,0.7936507936507936,0.7936507936507936,0,7.142857142857142,7.142857142857142,0,6.746031746031746,6.746031746031746,0
