OA,ts0440001,ts0440002,ts0440003,ts0440004,ts0440005,ts0440006,ts0440007,ts0440008,ts0440009,ts0440002_PCT,ts0440003_PCT,ts0440004_PCT,ts0440005_PCT,ts0440006_PCT,ts0440007_PCT,ts0440008_PCT,ts0440009_PCT
E00023412,100,8,13,18,53,8,0,0,0,8,13,18,53,8,0,0,0
E00023413,164,14,26,10,74,40,0,0,0,8.536585365853659,15.853658536585366,6.097560975609756,45.1219512195122,24.390243902439025,0,0,0
E00023414,97,0,0,1,95,0,1,0,0,0,0,1.0309278350515463,97.9381443298969,0,1.0309278350515463,0,0
E00023415,139,10,20,4,71,34,0,0,0,7.1942446043165464,14.388489208633093,2.877697841726619,51.07913669064749,24.46043165467626,0,0,0
E00023416,195,0,0,0,195,0,0,0,0,0,0,0,100,0,0,0,0
E00023418,105,0,0,0,105,0,0,0,0,0,0,0,100,0,0,0,0
E00023419,167,1,7,35,55,66,3,0,0,0.5988023952095809,4.191616766467066,20.958083832335326,32.93413173652694,39.52095808383233,1.7964071856287425,0,0
E00023421,158,0,0,0,144,13,0,0,1,0,0,0,91.13924050632912,8.227848101265822,0,0,0.6329113924050633
E00023422,177,14,21,14,69,53,3,3,0,7.909604519774012,11.864406779661017,7.909604519774012,38.983050847457626,29.943502824858758,1.694915254237288,1.694915254237288,0
E00023423,155,0,0,0,147,0,8,0,0,0,0,0,94.83870967741936,0,5.161290322580645,0,0
E00023424,126,3,1,1,115,6,0,0,0,2.380952380952381,0.7936507936507936,0.7936507936507936,91.26984126984127,4.761904761904762,0,0,0
E00023425,91,13,7,1,66,3,1,0,0,14.285714285714285,7.6923076923076925,1.098901098901099,72.52747252747253,3.296703296703297,1.098901098901099,0,0
E00023426,139,1,4,50,20,61,2,1,0,0.7194244604316548,2.877697841726619,35.97122302158273,14.388489208633093,43.884892086330936,1.4388489208633095,0.7194244604316548,0
E00023427,97,0,1,1,91,4,0,0,0,0,1.0309278350515463,1.0309278350515463,93.81443298969072,4.123711340206185,0,0,0
E00023428,104,1,0,0,102,1,0,0,0,0.9615384615384616,0,0,98.07692307692307,0.9615384615384616,0,0,0
E00023429,184,1,1,3,172,5,2,0,0,0.5434782608695652,0.5434782608695652,1.6304347826086956,93.47826086956522,2.717391304347826,1.0869565217391304,0,0
E00023430,133,0,2,4,125,1,0,1,0,0,1.5037593984962405,3.007518796992481,93.98496240601504,0.7518796992481203,0,0.7518796992481203,0
E00023431,141,12,5,3,75,46,0,0,0,8.51063829787234,3.546099290780142,2.127659574468085,53.191489361702125,32.62411347517731,0,0,0
E00023432,94,7,8,19,59,0,0,1,0,7.446808510638298,8.51063829787234,20.212765957446805,62.76595744680851,0,0,1.0638297872340425,0
E00023433,100,0,19,25,49,6,0,1,0,0,19,25,49,6,0,1,0
E00023434,144,1,0,0,142,1,0,0,0,0.6944444444444444,0,0,98.61111111111111,0.6944444444444444,0,0,0
E00023435,113,37,66,2,2,5,0,1,0,32.743362831858406,58.4070796460177,1.7699115044247788,1.7699115044247788,4.424778761061947,0,0.8849557522123894,0
E00023436,99,30,42,14,8,4,1,0,0,30.303030303030305,42.42424242424242,14.14141414141414,8.080808080808081,4.040404040404041,1.0101010101010102,0,0
E00023437,50,6,2,9,28,2,1,2,0,12,4,18,56.00000000000001,4,2,4,0
E00023438,102,9,17,11,45,19,0,1,0,8.823529411764707,16.666666666666664,10.784313725490197,44.11764705882353,18.627450980392158,0,0.9803921568627451,0
E00023439,195,3,1,9,97,71,0,14,0,1.5384615384615385,0.5128205128205128,4.615384615384616,49.743589743589745,36.41025641025641,0,7.179487179487179,0
E00023440,106,3,7,36,47,12,0,1,0,2.8301886792452833,6.60377358490566,33.9622641509434,44.339622641509436,11.320754716981133,0,0.9433962264150944,0
E00023441,120,28,25,12,16,39,0,0,0,23.333333333333332,20.833333333333336,10,13.333333333333334,32.5,0,0,0
E00023442,92,2,12,25,40,8,0,5,0,2.1739130434782608,13.043478260869565,27.173913043478258,43.47826086956522,8.695652173913043,0,5.434782608695652,0
E00023443,99,1,1,2,93,2,0,0,0,1.0101010101010102,1.0101010101010102,2.0202020202020203,93.93939393939394,2.0202020202020203,0,0,0
E00023444,127,0,0,0,122,4,1,0,0,0,0,0,96.06299212598425,3.149606299212598,0.7874015748031495,0,0
E00023445,162,83,14,15,48,2,0,0,0,51.23456790123457,8.641975308641975,9.25925925925926,29.629629629629626,1.2345679012345678,0,0,0
E00023446,118,0,0,0,117,0,0,1,0,0,0,0,99.15254237288136,0,0,0.847457627118644,0
E00023447,158,24,20,8,45,57,3,1,0,15.18987341772152,12.658227848101266,5.063291139240507,28.48101265822785,36.075949367088604,1.89873417721519,0.6329113924050633,0
E00023448,190,1,9,64,88,23,1,4,0,0.5263157894736842,4.736842105263158,33.68421052631579,46.31578947368421,12.105263157894736,0.5263157894736842,2.1052631578947367,0
E00023449,116,1,3,14,94,4,0,0,0,0.8620689655172413,2.586206896551724,12.068965517241379,81.03448275862068,3.4482758620689653,0,0,0
E00023450,133,0,6,22,71,30,3,1,0,0,4.511278195488721,16.541353383458645,53.383458646616546,22.55639097744361,2.2556390977443606,0.7518796992481203,0
E00023451,199,1,1,18,111,63,1,4,0,0.5025125628140703,0.5025125628140703,9.045226130653267,55.778894472361806,31.65829145728643,0.5025125628140703,2.0100502512562812,0
E00023452,187,0,0,7,173,3,0,4,0,0,0,3.7433155080213902,92.51336898395722,1.6042780748663104,0,2.13903743315508,0
E00023453,117,0,0,0,108,2,2,4,1,0,0,0,92.3076923076923,1.7094017094017095,1.7094017094017095,3.418803418803419,0.8547008547008548
E00023454,142,0,1,2,131,6,2,0,0,0,0.7042253521126761,1.4084507042253522,92.25352112676056,4.225352112676056,1.4084507042253522,0,0
E00023455,110,0,0,19,46,45,0,0,0,0,0,17.272727272727273,41.81818181818181,40.909090909090914,0,0,0
E00023456,127,0,0,5,75,46,1,0,0,0,0,3.937007874015748,59.055118110236215,36.22047244094488,0.7874015748031495,0,0
E00023458,113,1,1,7,27,75,2,0,0,0.8849557522123894,0.8849557522123894,6.1946902654867255,23.893805309734514,66.3716814159292,1.7699115044247788,0,0
E00023459,121,3,22,10,69,11,1,4,1,2.479338842975207,18.181818181818183,8.264462809917356,57.02479338842975,9.090909090909092,0.8264462809917356,3.3057851239669422,0.8264462809917356
E00023460,99,1,0,2,51,44,1,0,0,1.0101010101010102,0,2.0202020202020203,51.515151515151516,44.44444444444444,1.0101010101010102,0,0
E00023461,183,0,0,4,116,63,0,0,0,0,0,2.185792349726776,63.387978142076506,34.42622950819672,0,0,0
E00023462,145,0,0,0,98,45,1,1,0,0,0,0,67.58620689655173,31.03448275862069,0.6896551724137931,0.6896551724137931,0
E00023463,103,0,1,1,80,20,1,0,0,0,0.9708737864077669,0.9708737864077669,77.66990291262135,19.41747572815534,0.9708737864077669,0,0
E00023464,107,2,1,9,53,41,1,0,0,1.8691588785046727,0.9345794392523363,8.411214953271028,49.532710280373834,38.31775700934579,0.9345794392523363,0,0
E00023465,97,1,12,5,25,54,0,0,0,1.0309278350515463,12.371134020618557,5.154639175257731,25.773195876288657,55.670103092783506,0,0,0
E00023466,133,1,0,42,42,48,0,0,0,0.7518796992481203,0,31.57894736842105,31.57894736842105,36.09022556390977,0,0,0
E00023467,153,0,1,25,41,82,4,0,0,0,0.6535947712418301,16.33986928104575,26.797385620915033,53.59477124183007,2.6143790849673203,0,0
E00023468,121,0,10,26,35,46,0,3,1,0,8.264462809917356,21.487603305785125,28.92561983471074,38.01652892561984,0,2.479338842975207,0.8264462809917356
E00023469,185,0,0,0,183,1,1,0,0,0,0,0,98.91891891891892,0.5405405405405406,0.5405405405405406,0,0
E00023470,103,2,9,51,8,33,0,0,0,1.9417475728155338,8.737864077669903,49.51456310679612,7.766990291262135,32.038834951456316,0,0,0
E00023471,114,1,1,11,34,65,1,1,0,0.8771929824561403,0.8771929824561403,9.649122807017543,29.82456140350877,57.01754385964912,0.8771929824561403,0.8771929824561403,0
E00023472,116,26,0,13,20,52,5,0,0,22.413793103448278,0,11.206896551724139,17.24137931034483,44.827586206896555,4.310344827586207,0,0
E00023473,140,1,1,1,97,32,3,5,0,0.7142857142857143,0.7142857142857143,0.7142857142857143,69.28571428571428,22.857142857142858,2.142857142857143,3.571428571428571,0
E00023474,119,0,0,0,119,0,0,0,0,0,0,0,100,0,0,0,0
E00023475,84,4,0,41,9,28,1,1,0,4.761904761904762,0,48.80952380952381,10.714285714285714,33.33333333333333,1.1904761904761905,1.1904761904761905,0
E00023476,220,3,16,4,103,59,6,29,0,1.3636363636363635,7.2727272727272725,1.8181818181818181,46.81818181818182,26.81818181818182,2.727272727272727,13.18181818181818,0
E00023477,204,3,6,5,126,58,3,3,0,1.4705882352941175,2.941176470588235,2.450980392156863,61.76470588235294,28.431372549019606,1.4705882352941175,1.4705882352941175,0
E00023478,170,1,0,26,101,37,1,4,0,0.5882352941176471,0,15.294117647058824,59.411764705882355,21.764705882352942,0.5882352941176471,2.3529411764705883,0
E00023479,178,2,3,16,126,18,9,4,0,1.1235955056179776,1.6853932584269662,8.98876404494382,70.78651685393258,10.112359550561797,5.056179775280898,2.247191011235955,0
E00023480,129,0,0,2,59,64,3,1,0,0,0,1.550387596899225,45.73643410852713,49.6124031007752,2.3255813953488373,0.7751937984496124,0
E00023481,89,2,4,23,35,10,8,7,0,2.247191011235955,4.49438202247191,25.842696629213485,39.325842696629216,11.235955056179774,8.98876404494382,7.865168539325842,0
E00023482,111,0,0,22,69,19,1,0,0,0,0,19.81981981981982,62.16216216216216,17.117117117117118,0.9009009009009009,0,0
E00023483,193,0,0,1,112,75,2,2,1,0,0,0.5181347150259068,58.03108808290155,38.860103626943,1.0362694300518136,1.0362694300518136,0.5181347150259068
E00023484,118,0,9,8,40,55,3,3,0,0,7.627118644067797,6.779661016949152,33.89830508474576,46.61016949152542,2.5423728813559325,2.5423728813559325,0
E00023485,67,0,2,0,61,4,0,0,0,0,2.9850746268656714,0,91.04477611940298,5.970149253731343,0,0,0
E00023486,122,0,2,0,77,41,0,2,0,0,1.639344262295082,0,63.114754098360656,33.60655737704918,0,1.639344262295082,0
E00023487,90,0,0,1,86,3,0,0,0,0,0,1.1111111111111112,95.55555555555556,3.3333333333333335,0,0,0
E00023488,138,10,1,20,47,58,2,0,0,7.246376811594203,0.7246376811594203,14.492753623188406,34.05797101449276,42.028985507246375,1.4492753623188406,0,0
E00023489,181,1,1,7,157,9,1,5,0,0.5524861878453038,0.5524861878453038,3.867403314917127,86.74033149171271,4.972375690607735,0.5524861878453038,2.7624309392265194,0
E00023490,227,0,1,28,153,28,3,14,0,0,0.4405286343612335,12.334801762114537,67.40088105726872,12.334801762114537,1.3215859030837005,6.167400881057269,0
E00023491,172,0,0,2,158,4,7,1,0,0,0,1.1627906976744187,91.86046511627907,2.3255813953488373,4.069767441860465,0.5813953488372093,0
E00023492,94,0,1,3,77,11,1,1,0,0,1.0638297872340425,3.1914893617021276,81.91489361702128,11.702127659574469,1.0638297872340425,1.0638297872340425,0
E00023493,104,1,0,0,97,4,0,2,0,0.9615384615384616,0,0,93.26923076923077,3.8461538461538463,0,1.9230769230769231,0
