OA,ts0550001,ts0550002,ts0550003,ts0550004,ts0550005,ts0550006,ts0550007,ts0550008,ts0550009,ts0550010,ts0550002_PCT,ts0550003_PCT,ts0550004_PCT,ts0550005_PCT,ts0550006_PCT,ts0550007_PCT,ts0550008_PCT,ts0550009_PCT,ts0550010_PCT
E00144833,24,0,2,8,0,0,3,5,6,0,0,8.333333333333332,33.33333333333333,0,0,12.5,20.833333333333336,25,0
E00144834,22,0,1,7,0,0,4,3,7,0,0,4.545454545454546,31.818181818181817,0,0,18.181818181818183,13.636363636363635,31.818181818181817,0
E00144835,23,0,4,8,0,0,9,1,1,0,0,17.391304347826086,34.78260869565217,0,0,39.130434782608695,4.3478260869565215,4.3478260869565215,0
E00144836,18,0,2,4,0,0,7,5,0,0,0,11.11111111111111,22.22222222222222,0,0,38.88888888888889,27.77777777777778,0,0
E00144837,14,1,1,2,0,0,10,0,0,0,7.142857142857142,7.142857142857142,14.285714285714285,0,0,71.42857142857143,0,0,0
E00144838,28,0,1,5,0,0,12,1,9,0,0,3.571428571428571,17.857142857142858,0,0,42.857142857142854,3.571428571428571,32.142857142857146,0
E00144839,17,0,1,4,0,1,3,2,6,0,0,5.88235294117647,23.52941176470588,0,5.88235294117647,17.647058823529413,11.76470588235294,35.294117647058826,0
E00144840,18,0,1,7,0,0,5,1,4,0,0,5.555555555555555,38.88888888888889,0,0,27.77777777777778,5.555555555555555,22.22222222222222,0
E00144841,12,0,2,4,0,0,0,1,5,0,0,16.666666666666664,33.33333333333333,0,0,0,8.333333333333332,41.66666666666667,0
E00144843,21,1,1,0,0,1,11,0,7,0,4.761904761904762,4.761904761904762,0,0,4.761904761904762,52.38095238095239,0,33.33333333333333,0
E00144844,30,1,3,0,0,0,12,3,11,0,3.3333333333333335,10,0,0,0,40,10,36.666666666666664,0
E00144845,7,0,2,0,0,0,3,2,0,0,0,28.57142857142857,0,0,0,42.857142857142854,28.57142857142857,0,0
E00144848,116,0,0,7,0,95,12,1,1,0,0,0,6.0344827586206895,0,81.89655172413794,10.344827586206897,0.8620689655172413,0.8620689655172413,0
E00144849,24,0,6,4,0,0,8,0,6,0,0,25,16.666666666666664,0,0,33.33333333333333,0,25,0
E00144850,29,0,4,14,0,0,9,0,2,0,0,13.793103448275861,48.275862068965516,0,0,31.03448275862069,0,6.896551724137931,0
E00144851,14,0,0,2,0,4,5,1,2,0,0,0,14.285714285714285,0,28.57142857142857,35.714285714285715,7.142857142857142,14.285714285714285,0
E00144852,12,1,0,1,0,0,6,1,3,0,8.333333333333332,0,8.333333333333332,0,0,50,8.333333333333332,25,0
E00144853,19,0,1,8,0,0,2,5,3,0,0,5.263157894736842,42.10526315789473,0,0,10.526315789473683,26.31578947368421,15.789473684210526,0
E00144854,12,1,0,0,0,1,8,1,1,0,8.333333333333332,0,0,0,8.333333333333332,66.66666666666666,8.333333333333332,8.333333333333332,0
E00144855,13,0,3,0,0,0,3,2,5,0,0,23.076923076923077,0,0,0,23.076923076923077,15.384615384615385,38.46153846153847,0
E00144856,9,0,1,0,0,0,7,1,0,0,0,11.11111111111111,0,0,0,77.77777777777779,11.11111111111111,0,0
E00144857,14,0,0,4,0,2,3,3,2,0,0,0,28.57142857142857,0,14.285714285714285,21.428571428571427,21.428571428571427,14.285714285714285,0
E00144858,7,1,0,1,1,0,1,2,1,0,14.285714285714285,0,14.285714285714285,14.285714285714285,0,14.285714285714285,28.57142857142857,14.285714285714285,0
E00144859,6,0,0,2,0,0,2,2,0,0,0,0,33.33333333333333,0,0,33.33333333333333,33.33333333333333,0,0
E00144860,10,1,2,0,0,0,3,0,4,0,10,20,0,0,0,30,0,40,0
E00144861,9,0,0,0,0,0,7,1,1,0,0,0,0,0,0,77.77777777777779,11.11111111111111,11.11111111111111,0
E00144863,14,0,0,0,1,1,9,1,2,0,0,0,0,7.142857142857142,7.142857142857142,64.28571428571429,7.142857142857142,14.285714285714285,0
E00144864,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,100,0,0,0
E00144865,7,0,0,1,0,3,0,2,1,0,0,0,14.285714285714285,0,42.857142857142854,0,28.57142857142857,14.285714285714285,0
E00144866,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,33.33333333333333,33.33333333333333,33.33333333333333,0
E00144867,9,0,0,5,0,0,3,1,0,0,0,0,55.55555555555556,0,0,33.33333333333333,11.11111111111111,0,0
E00144868,25,0,5,1,1,2,12,4,0,0,0,20,4,4,8,48,16,0,0
E00144869,14,0,2,8,0,0,0,2,2,0,0,14.285714285714285,57.14285714285714,0,0,0,14.285714285714285,14.285714285714285,0
E00144870,9,1,2,0,0,0,3,1,2,0,11.11111111111111,22.22222222222222,0,0,0,33.33333333333333,11.11111111111111,22.22222222222222,0
E00144871,12,0,1,1,0,0,6,1,3,0,0,8.333333333333332,8.333333333333332,0,0,50,8.333333333333332,25,0
E00144872,5,0,0,2,0,0,2,1,0,0,0,0,40,0,0,40,20,0,0
E00144873,5,0,1,0,0,0,1,1,2,0,0,20,0,0,0,20,20,40,0
E00144874,4,0,0,0,0,0,2,0,2,0,0,0,0,0,0,50,0,50,0
E00144876,7,0,0,0,0,0,2,2,3,0,0,0,0,0,0,28.57142857142857,28.57142857142857,42.857142857142854,0
E00144877,21,0,1,0,0,0,5,8,7,0,0,4.761904761904762,0,0,0,23.809523809523807,38.095238095238095,33.33333333333333,0
E00144878,26,0,3,11,0,1,5,1,5,0,0,11.538461538461538,42.30769230769231,0,3.8461538461538463,19.230769230769234,3.8461538461538463,19.230769230769234,0
E00144879,15,0,2,8,0,0,1,4,0,0,0,13.333333333333334,53.333333333333336,0,0,6.666666666666667,26.666666666666668,0,0
E00144880,9,0,1,7,0,0,0,1,0,0,0,11.11111111111111,77.77777777777779,0,0,0,11.11111111111111,0,0
E00144881,7,0,1,0,0,0,1,0,5,0,0,14.285714285714285,0,0,0,14.285714285714285,0,71.42857142857143,0
E00144882,14,0,3,7,0,0,1,2,1,0,0,21.428571428571427,50,0,0,7.142857142857142,14.285714285714285,7.142857142857142,0
E00144883,6,0,0,3,0,0,0,0,3,0,0,0,50,0,0,0,0,50,0
E00144884,11,1,0,0,0,0,4,2,4,0,9.090909090909092,0,0,0,0,36.36363636363637,18.181818181818183,36.36363636363637,0
E00144885,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,33.33333333333333,66.66666666666666,0
E00144886,11,0,0,2,0,0,1,6,2,0,0,0,18.181818181818183,0,0,9.090909090909092,54.54545454545454,18.181818181818183,0
E00144887,9,0,0,5,1,1,1,1,0,0,0,0,55.55555555555556,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,0,0
E00144888,14,0,0,3,0,2,5,3,1,0,0,0,21.428571428571427,0,14.285714285714285,35.714285714285715,21.428571428571427,7.142857142857142,0
E00144889,15,0,1,0,0,1,9,1,3,0,0,6.666666666666667,0,0,6.666666666666667,60,6.666666666666667,20,0
E00144891,11,0,0,1,0,0,8,2,0,0,0,0,9.090909090909092,0,0,72.72727272727273,18.181818181818183,0,0
E00144892,31,1,3,10,1,0,11,1,4,0,3.225806451612903,9.67741935483871,32.25806451612903,3.225806451612903,0,35.483870967741936,3.225806451612903,12.903225806451612,0
E00144894,16,0,1,0,0,1,9,1,4,0,0,6.25,0,0,6.25,56.25,6.25,25,0
E00144895,6,0,0,4,0,0,1,1,0,0,0,0,66.66666666666666,0,0,16.666666666666664,16.666666666666664,0,0
E00144896,6,0,0,2,0,1,3,0,0,0,0,0,33.33333333333333,0,16.666666666666664,50,0,0,0
E00144897,13,0,1,2,0,0,9,0,1,0,0,7.6923076923076925,15.384615384615385,0,0,69.23076923076923,0,7.6923076923076925,0
E00144899,33,1,0,7,0,2,14,5,4,0,3.0303030303030303,0,21.21212121212121,0,6.0606060606060606,42.42424242424242,15.151515151515152,12.121212121212121,0
E00144901,8,0,1,0,0,0,6,1,0,0,0,12.5,0,0,0,75,12.5,0,0
E00144902,9,1,1,0,0,0,4,1,2,0,11.11111111111111,11.11111111111111,0,0,0,44.44444444444444,11.11111111111111,22.22222222222222,0
E00144903,10,0,0,1,0,0,2,5,2,0,0,0,10,0,0,20,50,20,0
E00144904,6,0,0,0,0,0,2,1,3,0,0,0,0,0,0,33.33333333333333,16.666666666666664,50,0
E00144905,5,0,0,0,0,0,2,2,1,0,0,0,0,0,0,40,40,20,0
E00144906,9,0,2,1,0,2,1,1,2,0,0,22.22222222222222,11.11111111111111,0,22.22222222222222,11.11111111111111,11.11111111111111,22.22222222222222,0
E00144907,8,0,1,0,0,0,1,0,6,0,0,12.5,0,0,0,12.5,0,75,0
E00144908,9,0,0,4,0,0,1,0,4,0,0,0,44.44444444444444,0,0,11.11111111111111,0,44.44444444444444,0
E00144909,8,0,0,3,0,0,2,2,1,0,0,0,37.5,0,0,25,25,12.5,0
E00144910,9,0,1,2,0,0,4,0,2,0,0,11.11111111111111,22.22222222222222,0,0,44.44444444444444,0,22.22222222222222,0
E00144911,21,0,2,4,1,0,3,1,10,0,0,9.523809523809524,19.047619047619047,4.761904761904762,0,14.285714285714285,4.761904761904762,47.61904761904761,0
E00144912,5,0,0,0,0,0,3,1,1,0,0,0,0,0,0,60,20,20,0
