OA,ts0380001,ts0380002,ts0380003,ts0380004,ts0380005,ts0380006,ts0380007,ts0380002_PCT,ts0380003_PCT,ts0380004_PCT,ts0380005_PCT,ts0380006_PCT,ts0380007_PCT
W00001017,212,56,25,31,156,13,143,26.41509433962264,11.79245283018868,14.622641509433961,73.58490566037736,6.132075471698113,67.45283018867924
W00001018,277,31,19,12,246,18,228,11.191335740072201,6.859205776173286,4.332129963898916,88.8086642599278,6.4981949458483745,82.31046931407943
W00001019,188,39,21,18,149,14,135,20.74468085106383,11.170212765957446,9.574468085106384,79.25531914893617,7.446808510638298,71.80851063829788
W00001020,266,62,30,32,204,21,183,23.308270676691727,11.278195488721805,12.030075187969924,76.69172932330827,7.894736842105263,68.796992481203
W00001021,223,52,21,31,171,18,153,23.318385650224215,9.417040358744394,13.901345291479823,76.68161434977578,8.071748878923767,68.60986547085201
W00001022,187,57,27,30,130,16,114,30.481283422459892,14.43850267379679,16.042780748663102,69.5187165775401,8.55614973262032,60.962566844919785
W00001023,122,32,15,17,90,11,79,26.229508196721312,12.295081967213115,13.934426229508196,73.77049180327869,9.01639344262295,64.75409836065575
W00001024,268,70,26,44,198,22,176,26.119402985074625,9.701492537313433,16.417910447761194,73.88059701492537,8.208955223880597,65.67164179104478
W00001025,350,18,6,12,332,17,315,5.142857142857142,1.7142857142857144,3.428571428571429,94.85714285714286,4.857142857142857,90
W00001026,232,35,14,21,197,16,181,15.086206896551724,6.0344827586206895,9.051724137931034,84.91379310344827,6.896551724137931,78.01724137931035
W00001027,282,67,37,30,215,14,201,23.75886524822695,13.120567375886525,10.638297872340425,76.24113475177306,4.964539007092199,71.27659574468085
W00001028,312,72,34,38,240,23,217,23.076923076923077,10.897435897435898,12.179487179487179,76.92307692307693,7.371794871794872,69.55128205128204
W00001029,205,45,19,26,160,14,146,21.951219512195124,9.268292682926829,12.682926829268293,78.04878048780488,6.829268292682928,71.21951219512195
W00001030,226,35,16,19,191,12,179,15.486725663716813,7.079646017699115,8.4070796460177,84.51327433628319,5.3097345132743365,79.20353982300885
W00001031,301,68,39,29,233,15,218,22.591362126245848,12.956810631229235,9.634551495016613,77.40863787375415,4.983388704318937,72.42524916943522
W00001032,301,50,24,26,251,19,232,16.611295681063122,7.973421926910299,8.637873754152823,83.38870431893687,6.312292358803987,77.0764119601329
W00001033,387,77,25,52,310,29,281,19.896640826873384,6.459948320413436,13.436692506459949,80.10335917312662,7.493540051679587,72.60981912144703
W00001034,242,46,17,29,196,25,171,19.00826446280992,7.024793388429752,11.983471074380166,80.99173553719008,10.330578512396695,70.66115702479338
W00001035,269,53,22,31,216,12,204,19.702602230483272,8.178438661710038,11.524163568773234,80.29739776951673,4.4609665427509295,75.8364312267658
W00001036,258,50,22,28,208,16,192,19.379844961240313,8.527131782945736,10.852713178294573,80.62015503875969,6.2015503875969,74.4186046511628
W00001037,220,63,25,38,157,29,128,28.636363636363637,11.363636363636363,17.272727272727273,71.36363636363636,13.18181818181818,58.18181818181818
