OA,ts0540001,ts0540002,ts0540003,ts0540004,ts0540005,ts0540006,ts0540007,ts0540008,ts0540009,ts0540010,ts0540011,ts0540012,ts0540013,ts0540002_PCT,ts0540003_PCT,ts0540004_PCT,ts0540005_PCT,ts0540006_PCT,ts0540007_PCT,ts0540008_PCT,ts0540009_PCT,ts0540010_PCT,ts0540011_PCT,ts0540012_PCT,ts0540013_PCT
W00001832,118,73,34,39,0,0,34,31,3,10,10,0,1,61.86440677966102,28.8135593220339,33.05084745762712,0,0,28.8135593220339,26.27118644067797,2.5423728813559325,8.47457627118644,8.47457627118644,0,0.847457627118644
W00001833,108,36,11,25,0,0,51,48,3,20,19,1,1,33.33333333333333,10.185185185185185,23.14814814814815,0,0,47.22222222222222,44.44444444444444,2.7777777777777777,18.51851851851852,17.59259259259259,0.9259259259259258,0.9259259259259258
W00001834,114,58,28,30,0,0,37,36,1,19,16,3,0,50.877192982456144,24.561403508771928,26.31578947368421,0,0,32.45614035087719,31.57894736842105,0.8771929824561403,16.666666666666664,14.035087719298245,2.631578947368421,0
W00001835,127,83,45,38,0,0,28,27,1,14,14,0,2,65.35433070866141,35.43307086614173,29.92125984251969,0,0,22.04724409448819,21.25984251968504,0.7874015748031495,11.023622047244094,11.023622047244094,0,1.574803149606299
W00001836,122,64,28,36,0,0,42,42,0,16,14,2,0,52.459016393442624,22.950819672131146,29.508196721311474,0,0,34.42622950819672,34.42622950819672,0,13.114754098360656,11.475409836065573,1.639344262295082,0
W00001837,167,139,85,54,0,0,5,3,2,23,18,5,0,83.23353293413174,50.898203592814376,32.33532934131736,0,0,2.9940119760479043,1.7964071856287425,1.1976047904191618,13.77245508982036,10.778443113772456,2.9940119760479043,0
W00001838,108,52,29,23,1,1,30,28,2,25,22,3,0,48.148148148148145,26.851851851851855,21.296296296296298,0.9259259259259258,0.9259259259259258,27.77777777777778,25.925925925925924,1.8518518518518516,23.14814814814815,20.37037037037037,2.7777777777777777,0
W00001839,130,68,26,42,1,1,44,42,2,16,15,1,1,52.307692307692314,20,32.30769230769231,0.7692307692307693,0.7692307692307693,33.84615384615385,32.30769230769231,1.5384615384615385,12.307692307692308,11.538461538461538,0.7692307692307693,0.7692307692307693
W00001840,132,76,29,47,0,0,25,23,2,29,26,3,2,57.57575757575758,21.96969696969697,35.60606060606061,0,0,18.939393939393938,17.424242424242426,1.5151515151515151,21.96969696969697,19.696969696969695,2.272727272727273,1.5151515151515151
W00001841,117,57,39,18,1,1,44,40,4,15,14,1,0,48.717948717948715,33.33333333333333,15.384615384615385,0.8547008547008548,0.8547008547008548,37.60683760683761,34.18803418803419,3.418803418803419,12.82051282051282,11.965811965811966,0.8547008547008548,0
W00001842,121,43,18,25,0,0,54,51,3,21,18,3,3,35.53719008264463,14.87603305785124,20.66115702479339,0,0,44.62809917355372,42.14876033057851,2.479338842975207,17.355371900826448,14.87603305785124,2.479338842975207,2.479338842975207
W00001843,113,103,63,40,0,0,1,1,0,9,7,2,0,91.1504424778761,55.75221238938053,35.39823008849557,0,0,0.8849557522123894,0.8849557522123894,0,7.964601769911504,6.1946902654867255,1.7699115044247788,0
W00001844,127,115,81,34,0,0,2,2,0,10,8,2,0,90.5511811023622,63.77952755905512,26.77165354330709,0,0,1.574803149606299,1.574803149606299,0,7.874015748031496,6.299212598425196,1.574803149606299,0
W00001845,108,103,73,30,0,0,1,1,0,4,4,0,0,95.37037037037037,67.5925925925926,27.77777777777778,0,0,0.9259259259259258,0.9259259259259258,0,3.7037037037037033,3.7037037037037033,0,0
W00001846,123,111,83,28,0,0,3,3,0,9,7,2,0,90.2439024390244,67.47967479674797,22.76422764227642,0,0,2.4390243902439024,2.4390243902439024,0,7.317073170731707,5.691056910569105,1.6260162601626018,0
W00001847,112,105,65,40,2,2,0,0,0,5,4,1,0,93.75,58.03571428571429,35.714285714285715,1.7857142857142856,1.7857142857142856,0,0,0,4.464285714285714,3.571428571428571,0.8928571428571428,0
W00001848,110,100,69,31,0,0,3,3,0,7,5,2,0,90.9090909090909,62.727272727272734,28.18181818181818,0,0,2.727272727272727,2.727272727272727,0,6.363636363636363,4.545454545454546,1.8181818181818181,0
W00001849,119,109,76,33,0,0,2,2,0,8,4,4,0,91.59663865546219,63.86554621848739,27.73109243697479,0,0,1.680672268907563,1.680672268907563,0,6.722689075630252,3.361344537815126,3.361344537815126,0
W00001850,128,118,70,48,0,0,2,2,0,8,7,1,0,92.1875,54.6875,37.5,0,0,1.5625,1.5625,0,6.25,5.46875,0.78125,0
W00001851,107,93,71,22,0,0,2,2,0,12,5,7,0,86.91588785046729,66.35514018691589,20.5607476635514,0,0,1.8691588785046727,1.8691588785046727,0,11.214953271028037,4.672897196261682,6.5420560747663545,0
W00001852,121,73,40,33,2,2,24,22,2,21,17,4,1,60.33057851239669,33.057851239669425,27.27272727272727,1.6528925619834711,1.6528925619834711,19.834710743801654,18.181818181818183,1.6528925619834711,17.355371900826448,14.049586776859504,3.3057851239669422,0.8264462809917356
W00001853,147,124,93,31,0,0,1,1,0,21,16,5,1,84.35374149659864,63.26530612244898,21.08843537414966,0,0,0.6802721088435374,0.6802721088435374,0,14.285714285714285,10.884353741496598,3.4013605442176873,0.6802721088435374
W00001854,118,100,64,36,0,0,1,1,0,17,16,1,0,84.7457627118644,54.23728813559322,30.508474576271187,0,0,0.847457627118644,0.847457627118644,0,14.40677966101695,13.559322033898304,0.847457627118644,0
W00001855,121,107,87,20,0,0,3,3,0,11,5,6,0,88.42975206611571,71.900826446281,16.528925619834713,0,0,2.479338842975207,2.479338842975207,0,9.090909090909092,4.132231404958678,4.958677685950414,0
W00001856,133,118,80,38,0,0,7,7,0,8,6,2,0,88.7218045112782,60.150375939849624,28.57142857142857,0,0,5.263157894736842,5.263157894736842,0,6.015037593984962,4.511278195488721,1.5037593984962405,0
W00001857,107,68,42,26,0,0,10,10,0,29,27,2,0,63.55140186915887,39.25233644859813,24.299065420560748,0,0,9.345794392523365,9.345794392523365,0,27.102803738317753,25.233644859813083,1.8691588785046727,0
W00001858,122,103,72,31,0,0,0,0,0,19,18,1,0,84.42622950819673,59.01639344262295,25.40983606557377,0,0,0,0,0,15.573770491803279,14.754098360655737,0.819672131147541,0
W00001859,115,92,59,33,1,1,0,0,0,22,18,4,0,80,51.30434782608696,28.695652173913043,0.8695652173913043,0.8695652173913043,0,0,0,19.130434782608695,15.65217391304348,3.4782608695652173,0
W00001860,147,120,72,48,0,0,15,15,0,12,10,2,0,81.63265306122449,48.97959183673469,32.6530612244898,0,0,10.204081632653061,10.204081632653061,0,8.16326530612245,6.802721088435375,1.3605442176870748,0
