OA,ts0620001,ts0620002,ts0620003,ts0620004,ts0620005,ts0620006,ts0620007,ts0620008,ts0620009,ts0620010,ts0620002_PCT,ts0620003_PCT,ts0620004_PCT,ts0620005_PCT,ts0620006_PCT,ts0620007_PCT,ts0620008_PCT,ts0620009_PCT,ts0620010_PCT
W00002704,204,24,61,19,36,10,20,11,9,14,11.76470588235294,29.901960784313726,9.313725490196079,17.647058823529413,4.901960784313726,9.803921568627452,5.392156862745098,4.411764705882353,6.862745098039216
W00002705,207,28,51,30,28,9,21,17,20,3,13.526570048309178,24.637681159420293,14.492753623188406,13.526570048309178,4.3478260869565215,10.144927536231885,8.212560386473431,9.66183574879227,1.4492753623188406
W00002706,198,19,47,15,45,17,18,20,8,9,9.595959595959595,23.737373737373737,7.575757575757576,22.727272727272727,8.585858585858585,9.090909090909092,10.1010101010101,4.040404040404041,4.545454545454546
W00002707,153,28,35,13,19,12,13,13,14,6,18.30065359477124,22.875816993464053,8.49673202614379,12.418300653594772,7.8431372549019605,8.49673202614379,8.49673202614379,9.15032679738562,3.9215686274509802
W00002708,171,16,35,16,29,14,24,16,12,9,9.35672514619883,20.46783625730994,9.35672514619883,16.95906432748538,8.187134502923977,14.035087719298245,9.35672514619883,7.017543859649122,5.263157894736842
W00002709,182,17,36,13,17,11,25,32,22,9,9.340659340659341,19.78021978021978,7.142857142857142,9.340659340659341,6.043956043956044,13.736263736263737,17.582417582417584,12.087912087912088,4.945054945054945
W00002710,143,19,30,19,33,4,14,13,7,4,13.286713286713287,20.97902097902098,13.286713286713287,23.076923076923077,2.797202797202797,9.79020979020979,9.090909090909092,4.895104895104895,2.797202797202797
W00002711,342,39,80,37,68,21,37,37,14,9,11.403508771929824,23.391812865497073,10.818713450292398,19.883040935672515,6.140350877192982,10.818713450292398,10.818713450292398,4.093567251461988,2.631578947368421
W00002712,143,21,38,17,25,3,16,8,4,11,14.685314685314685,26.573426573426573,11.888111888111888,17.482517482517483,2.097902097902098,11.188811188811188,5.594405594405594,2.797202797202797,7.6923076923076925
W00002713,195,11,21,23,22,14,41,35,20,8,5.641025641025641,10.76923076923077,11.794871794871794,11.282051282051283,7.179487179487179,21.025641025641026,17.94871794871795,10.256410256410255,4.102564102564102
W00002714,233,45,59,25,38,8,23,21,9,5,19.313304721030043,25.321888412017167,10.72961373390558,16.30901287553648,3.4334763948497855,9.871244635193133,9.012875536480687,3.862660944206009,2.1459227467811157
W00002715,204,22,48,16,60,5,20,22,6,5,10.784313725490197,23.52941176470588,7.8431372549019605,29.411764705882355,2.450980392156863,9.803921568627452,10.784313725490197,2.941176470588235,2.450980392156863
W00002716,301,19,72,27,65,21,35,29,13,20,6.312292358803987,23.920265780730897,8.970099667774086,21.59468438538206,6.976744186046512,11.627906976744185,9.634551495016613,4.318936877076411,6.64451827242525
W00002717,106,4,30,7,22,5,17,11,5,5,3.7735849056603774,28.30188679245283,6.60377358490566,20.754716981132077,4.716981132075472,16.037735849056602,10.377358490566039,4.716981132075472,4.716981132075472
W00002718,174,6,33,24,21,9,23,34,15,9,3.4482758620689653,18.96551724137931,13.793103448275861,12.068965517241379,5.172413793103448,13.218390804597702,19.54022988505747,8.620689655172415,5.172413793103448
W00002719,411,51,116,49,64,14,42,28,27,20,12.408759124087592,28.223844282238442,11.922141119221411,15.571776155717762,3.40632603406326,10.218978102189782,6.81265206812652,6.569343065693431,4.866180048661801
W00002720,188,9,48,28,32,6,24,20,14,7,4.787234042553192,25.53191489361702,14.893617021276595,17.02127659574468,3.1914893617021276,12.76595744680851,10.638297872340425,7.446808510638298,3.723404255319149
W00002721,201,10,35,14,19,16,41,33,17,16,4.975124378109453,17.412935323383085,6.965174129353234,9.45273631840796,7.960199004975125,20.398009950248756,16.417910447761194,8.45771144278607,7.960199004975125
W00002722,233,21,43,26,38,12,32,30,20,11,9.012875536480687,18.4549356223176,11.158798283261802,16.30901287553648,5.150214592274678,13.733905579399142,12.875536480686694,8.583690987124463,4.721030042918455
W00002723,202,26,40,21,27,6,24,26,15,17,12.871287128712872,19.801980198019802,10.396039603960396,13.366336633663368,2.9702970297029703,11.881188118811881,12.871287128712872,7.425742574257425,8.415841584158416
W00002724,174,14,34,25,28,10,31,18,9,5,8.045977011494253,19.54022988505747,14.367816091954023,16.091954022988507,5.747126436781609,17.81609195402299,10.344827586206897,5.172413793103448,2.8735632183908044
W00002725,159,6,20,13,28,8,31,35,9,9,3.7735849056603774,12.578616352201259,8.176100628930817,17.61006289308176,5.031446540880504,19.49685534591195,22.0125786163522,5.660377358490567,5.660377358490567
W00002726,193,8,33,25,27,12,27,33,15,13,4.145077720207254,17.098445595854923,12.953367875647666,13.989637305699482,6.217616580310881,13.989637305699482,17.098445595854923,7.772020725388601,6.7357512953367875
W00002727,188,18,32,19,16,8,40,21,18,16,9.574468085106384,17.02127659574468,10.106382978723403,8.51063829787234,4.25531914893617,21.27659574468085,11.170212765957446,9.574468085106384,8.51063829787234
W00002728,239,14,37,26,37,16,32,43,21,13,5.857740585774058,15.481171548117153,10.87866108786611,15.481171548117153,6.694560669456067,13.389121338912133,17.99163179916318,8.786610878661087,5.439330543933055
W00002729,161,7,22,12,30,6,25,36,17,6,4.3478260869565215,13.664596273291925,7.453416149068323,18.633540372670808,3.7267080745341614,15.527950310559005,22.36024844720497,10.559006211180124,3.7267080745341614
W00002730,209,13,28,16,29,15,26,46,28,8,6.220095693779904,13.397129186602871,7.655502392344498,13.875598086124402,7.177033492822966,12.440191387559809,22.00956937799043,13.397129186602871,3.827751196172249
W00002731,317,13,31,19,37,11,52,77,44,33,4.100946372239748,9.779179810725552,5.993690851735016,11.67192429022082,3.4700315457413247,16.40378548895899,24.290220820189273,13.880126182965299,10.410094637223976
W00002732,222,15,23,14,35,15,32,44,28,16,6.756756756756757,10.36036036036036,6.306306306306306,15.765765765765765,6.756756756756757,14.414414414414415,19.81981981981982,12.612612612612612,7.207207207207207
W00002733,176,11,23,12,23,9,31,21,34,12,6.25,13.068181818181818,6.8181818181818175,13.068181818181818,5.113636363636364,17.613636363636363,11.931818181818182,19.318181818181817,6.8181818181818175
W00002734,214,21,43,14,40,14,25,29,18,10,9.813084112149532,20.093457943925234,6.5420560747663545,18.69158878504673,6.5420560747663545,11.682242990654206,13.551401869158877,8.411214953271028,4.672897196261682
W00002736,336,81,94,33,20,10,17,13,12,56,24.107142857142858,27.976190476190478,9.821428571428571,5.952380952380952,2.976190476190476,5.059523809523809,3.869047619047619,3.571428571428571,16.666666666666664
W00002737,237,28,52,14,15,6,19,16,11,76,11.814345991561181,21.940928270042196,5.9071729957805905,6.329113924050633,2.5316455696202533,8.016877637130802,6.751054852320674,4.641350210970464,32.06751054852321
W00002738,235,38,38,19,17,5,11,14,6,87,16.170212765957448,16.170212765957448,8.085106382978724,7.234042553191489,2.127659574468085,4.680851063829787,5.957446808510639,2.553191489361702,37.02127659574468
W00002739,259,14,26,16,15,6,19,28,16,119,5.405405405405405,10.038610038610038,6.177606177606178,5.7915057915057915,2.3166023166023164,7.335907335907336,10.81081081081081,6.177606177606178,45.94594594594595
W00002740,249,16,27,17,11,5,20,13,12,128,6.425702811244979,10.843373493975903,6.827309236947792,4.417670682730924,2.0080321285140563,8.032128514056225,5.220883534136546,4.819277108433735,51.40562248995983
W00002741,232,20,21,7,14,4,15,19,10,122,8.620689655172415,9.051724137931034,3.0172413793103448,6.0344827586206895,1.7241379310344827,6.4655172413793105,8.189655172413794,4.310344827586207,52.58620689655172
W00002742,301,19,20,24,14,10,28,22,10,154,6.312292358803987,6.64451827242525,7.973421926910299,4.651162790697675,3.322259136212625,9.30232558139535,7.308970099667775,3.322259136212625,51.162790697674424
W00002743,281,24,36,12,9,8,29,13,6,144,8.540925266903916,12.811387900355871,4.270462633451958,3.202846975088968,2.8469750889679712,10.320284697508896,4.6263345195729535,2.135231316725979,51.245551601423486
W00002744,246,14,14,13,5,3,15,16,3,163,5.691056910569105,5.691056910569105,5.284552845528456,2.0325203252032518,1.2195121951219512,6.097560975609756,6.504065040650407,1.2195121951219512,66.26016260162602
W00002745,186,17,17,11,6,4,13,20,16,82,9.13978494623656,9.13978494623656,5.913978494623656,3.225806451612903,2.1505376344086025,6.989247311827956,10.75268817204301,8.60215053763441,44.086021505376344
W00002746,228,18,28,15,12,9,31,17,9,89,7.894736842105263,12.280701754385964,6.578947368421052,5.263157894736842,3.9473684210526314,13.596491228070176,7.456140350877193,3.9473684210526314,39.03508771929825
W00002747,191,38,49,14,22,7,15,10,8,28,19.895287958115183,25.654450261780106,7.329842931937172,11.518324607329843,3.664921465968586,7.853403141361256,5.2356020942408374,4.18848167539267,14.659685863874344
W00002748,303,39,37,25,18,9,20,18,17,120,12.871287128712872,12.211221122112212,8.25082508250825,5.9405940594059405,2.9702970297029703,6.6006600660066,5.9405940594059405,5.6105610561056105,39.603960396039604
W00002751,213,11,13,10,14,8,13,9,6,129,5.164319248826291,6.103286384976526,4.694835680751173,6.572769953051644,3.755868544600939,6.103286384976526,4.225352112676056,2.8169014084507045,60.56338028169014
W00002752,294,33,47,16,15,9,13,15,9,137,11.224489795918368,15.98639455782313,5.442176870748299,5.1020408163265305,3.061224489795918,4.421768707482993,5.1020408163265305,3.061224489795918,46.59863945578231
W00002753,278,12,48,33,31,23,49,38,19,25,4.316546762589928,17.26618705035971,11.870503597122301,11.151079136690647,8.273381294964029,17.62589928057554,13.66906474820144,6.83453237410072,8.992805755395683
W00002754,213,13,51,37,22,15,26,21,14,14,6.103286384976526,23.943661971830984,17.370892018779344,10.328638497652582,7.042253521126761,12.206572769953052,9.859154929577464,6.572769953051644,6.572769953051644
W00002755,236,7,32,27,25,20,37,47,19,22,2.9661016949152543,13.559322033898304,11.440677966101696,10.59322033898305,8.47457627118644,15.677966101694915,19.915254237288135,8.050847457627118,9.322033898305085
W00002756,315,47,83,30,32,22,32,40,8,21,14.920634920634921,26.34920634920635,9.523809523809524,10.158730158730158,6.984126984126984,10.158730158730158,12.698412698412698,2.5396825396825395,6.666666666666667
W00002757,164,16,44,15,17,9,32,19,7,5,9.75609756097561,26.82926829268293,9.146341463414634,10.365853658536585,5.487804878048781,19.51219512195122,11.585365853658537,4.2682926829268295,3.048780487804878
W00002758,195,12,35,21,26,15,32,27,14,13,6.153846153846154,17.94871794871795,10.76923076923077,13.333333333333334,7.6923076923076925,16.41025641025641,13.846153846153847,7.179487179487179,6.666666666666667
W00002759,223,7,29,27,17,16,42,44,25,16,3.1390134529147984,13.004484304932735,12.10762331838565,7.623318385650224,7.174887892376682,18.83408071748879,19.730941704035875,11.210762331838566,7.174887892376682
W00002760,203,11,33,19,24,14,35,33,17,17,5.41871921182266,16.25615763546798,9.35960591133005,11.822660098522167,6.896551724137931,17.24137931034483,16.25615763546798,8.374384236453201,8.374384236453201
W00002761,216,7,28,24,14,21,51,33,20,18,3.2407407407407405,12.962962962962962,11.11111111111111,6.481481481481481,9.722222222222223,23.61111111111111,15.277777777777779,9.25925925925926,8.333333333333332
W00002762,260,14,40,22,30,19,43,48,27,17,5.384615384615385,15.384615384615385,8.461538461538462,11.538461538461538,7.307692307692308,16.538461538461537,18.461538461538463,10.384615384615385,6.538461538461539
W00002763,260,15,37,15,17,10,34,34,12,86,5.769230769230769,14.23076923076923,5.769230769230769,6.538461538461539,3.8461538461538463,13.076923076923078,13.076923076923078,4.615384615384616,33.07692307692307
W00002764,219,17,25,11,9,2,19,21,20,95,7.76255707762557,11.415525114155251,5.0228310502283104,4.10958904109589,0.91324200913242,8.67579908675799,9.58904109589041,9.1324200913242,43.37899543378995
W00002765,208,15,19,19,10,8,26,20,14,77,7.211538461538461,9.134615384615383,9.134615384615383,4.807692307692308,3.8461538461538463,12.5,9.615384615384617,6.730769230769231,37.019230769230774
W00002766,265,21,40,26,15,11,29,24,17,82,7.9245283018867925,15.09433962264151,9.811320754716983,5.660377358490567,4.150943396226415,10.943396226415095,9.056603773584905,6.415094339622642,30.943396226415093
W00002767,172,5,32,21,15,7,33,24,8,27,2.9069767441860463,18.6046511627907,12.209302325581394,8.720930232558139,4.069767441860465,19.186046511627907,13.953488372093023,4.651162790697675,15.69767441860465
W00002768,123,16,30,12,11,10,21,12,10,1,13.008130081300814,24.390243902439025,9.75609756097561,8.94308943089431,8.130081300813007,17.073170731707318,9.75609756097561,8.130081300813007,0.8130081300813009
W00002769,133,36,26,9,10,5,9,7,3,28,27.06766917293233,19.548872180451127,6.7669172932330826,7.518796992481203,3.7593984962406015,6.7669172932330826,5.263157894736842,2.2556390977443606,21.052631578947366
W00002770,264,38,73,28,28,11,14,37,17,18,14.393939393939394,27.65151515151515,10.606060606060606,10.606060606060606,4.166666666666666,5.303030303030303,14.015151515151514,6.4393939393939394,6.8181818181818175
W00002771,347,29,41,14,26,13,25,24,16,159,8.357348703170029,11.815561959654179,4.034582132564841,7.492795389048991,3.7463976945244957,7.204610951008646,6.9164265129683,4.610951008645533,45.821325648414984
W00002772,271,20,55,25,72,15,24,30,16,14,7.380073800738007,20.29520295202952,9.22509225092251,26.56826568265683,5.535055350553505,8.856088560885608,11.07011070110701,5.904059040590406,5.166051660516605
W00002773,231,21,60,20,64,7,27,22,4,6,9.090909090909092,25.97402597402597,8.658008658008658,27.705627705627705,3.0303030303030303,11.688311688311687,9.523809523809524,1.7316017316017316,2.5974025974025974
W00002774,253,19,42,26,51,12,38,30,24,11,7.5098814229249005,16.600790513833992,10.276679841897234,20.158102766798418,4.743083003952568,15.019762845849801,11.857707509881422,9.486166007905137,4.3478260869565215
W00002775,224,19,62,19,55,8,15,22,12,12,8.482142857142858,27.67857142857143,8.482142857142858,24.553571428571427,3.571428571428571,6.696428571428571,9.821428571428571,5.357142857142857,5.357142857142857
W00002776,252,36,48,24,78,10,23,9,13,11,14.285714285714285,19.047619047619047,9.523809523809524,30.952380952380953,3.968253968253968,9.126984126984127,3.571428571428571,5.158730158730158,4.365079365079365
W00002777,264,24,58,26,66,11,25,25,18,11,9.090909090909092,21.96969696969697,9.848484848484848,25,4.166666666666666,9.469696969696969,9.469696969696969,6.8181818181818175,4.166666666666666
W00002778,188,20,31,17,35,14,29,19,15,8,10.638297872340425,16.48936170212766,9.042553191489363,18.617021276595743,7.446808510638298,15.425531914893616,10.106382978723403,7.9787234042553195,4.25531914893617
W00002779,155,15,27,16,29,11,21,17,12,7,9.67741935483871,17.419354838709676,10.32258064516129,18.70967741935484,7.096774193548387,13.548387096774196,10.967741935483872,7.741935483870968,4.516129032258064
W00002780,157,12,26,11,38,10,23,18,9,10,7.643312101910828,16.560509554140125,7.006369426751593,24.203821656050955,6.369426751592357,14.64968152866242,11.464968152866243,5.7324840764331215,6.369426751592357
W00002781,254,43,71,27,30,11,31,23,6,12,16.92913385826772,27.95275590551181,10.62992125984252,11.811023622047244,4.330708661417323,12.204724409448819,9.05511811023622,2.3622047244094486,4.724409448818897
W00002782,219,14,53,21,32,14,31,27,23,4,6.392694063926941,24.200913242009133,9.58904109589041,14.61187214611872,6.392694063926941,14.15525114155251,12.32876712328767,10.50228310502283,1.82648401826484
W00002783,114,20,33,8,16,4,12,10,3,8,17.543859649122805,28.947368421052634,7.017543859649122,14.035087719298245,3.508771929824561,10.526315789473683,8.771929824561402,2.631578947368421,7.017543859649122
W00002784,293,67,73,34,44,6,19,18,12,20,22.866894197952217,24.914675767918087,11.604095563139932,15.017064846416384,2.04778156996587,6.484641638225256,6.143344709897611,4.09556313993174,6.825938566552901
W00002785,296,31,80,34,66,14,20,20,13,18,10.472972972972974,27.027027027027028,11.486486486486488,22.2972972972973,4.72972972972973,6.756756756756757,6.756756756756757,4.391891891891892,6.081081081081082
W00002786,233,25,38,17,53,12,26,39,13,10,10.72961373390558,16.30901287553648,7.296137339055794,22.746781115879827,5.150214592274678,11.158798283261802,16.738197424892704,5.579399141630901,4.291845493562231
W00002787,216,25,38,12,64,14,24,16,13,10,11.574074074074074,17.59259259259259,5.555555555555555,29.629629629629626,6.481481481481481,11.11111111111111,7.4074074074074066,6.018518518518518,4.62962962962963
W00002788,242,23,44,20,66,17,27,24,12,9,9.50413223140496,18.181818181818183,8.264462809917356,27.27272727272727,7.024793388429752,11.15702479338843,9.917355371900827,4.958677685950414,3.71900826446281
W00002789,206,20,30,16,54,13,20,33,15,5,9.70873786407767,14.563106796116504,7.766990291262135,26.21359223300971,6.310679611650485,9.70873786407767,16.019417475728158,7.281553398058252,2.4271844660194173
W00002790,189,22,30,15,64,11,20,9,7,11,11.64021164021164,15.873015873015872,7.936507936507936,33.86243386243386,5.82010582010582,10.582010582010582,4.761904761904762,3.7037037037037033,5.82010582010582
W00002791,295,58,75,19,74,16,13,20,7,13,19.661016949152543,25.423728813559322,6.440677966101695,25.08474576271186,5.423728813559322,4.406779661016949,6.779661016949152,2.3728813559322033,4.406779661016949
W00002792,252,36,56,25,38,13,36,22,15,11,14.285714285714285,22.22222222222222,9.920634920634921,15.079365079365079,5.158730158730158,14.285714285714285,8.73015873015873,5.952380952380952,4.365079365079365
W00002793,278,26,54,33,38,19,44,35,10,19,9.352517985611511,19.424460431654676,11.870503597122301,13.66906474820144,6.83453237410072,15.827338129496402,12.589928057553957,3.5971223021582732,6.83453237410072
W00002794,228,29,52,30,37,18,27,14,9,12,12.719298245614036,22.807017543859647,13.157894736842104,16.228070175438596,7.894736842105263,11.842105263157894,6.140350877192982,3.9473684210526314,5.263157894736842
W00002795,264,35,60,28,48,22,22,19,16,14,13.257575757575758,22.727272727272727,10.606060606060606,18.181818181818183,8.333333333333332,8.333333333333332,7.196969696969697,6.0606060606060606,5.303030303030303
W00002796,257,42,57,23,57,17,18,14,16,13,16.342412451361866,22.17898832684825,8.949416342412452,22.17898832684825,6.614785992217899,7.003891050583658,5.447470817120623,6.22568093385214,5.058365758754864
W00002797,289,36,55,28,58,20,31,31,15,15,12.45674740484429,19.031141868512112,9.688581314878892,20.069204152249135,6.920415224913495,10.726643598615917,10.726643598615917,5.190311418685121,5.190311418685121
W00002798,228,22,43,15,64,9,27,15,15,18,9.649122807017543,18.859649122807017,6.578947368421052,28.07017543859649,3.9473684210526314,11.842105263157894,6.578947368421052,6.578947368421052,7.894736842105263
W00002799,225,21,37,25,65,12,22,19,14,10,9.333333333333334,16.444444444444446,11.11111111111111,28.888888888888886,5.333333333333334,9.777777777777779,8.444444444444445,6.222222222222222,4.444444444444445
W00002800,175,22,37,25,37,10,18,12,4,10,12.571428571428573,21.142857142857142,14.285714285714285,21.142857142857142,5.714285714285714,10.285714285714285,6.857142857142858,2.2857142857142856,5.714285714285714
W00002801,258,21,64,30,37,12,35,26,17,16,8.13953488372093,24.8062015503876,11.627906976744185,14.34108527131783,4.651162790697675,13.565891472868216,10.077519379844961,6.5891472868217065,6.2015503875969
W00002802,252,18,40,29,59,19,27,30,13,17,7.142857142857142,15.873015873015872,11.507936507936508,23.41269841269841,7.5396825396825395,10.714285714285714,11.904761904761903,5.158730158730158,6.746031746031746
W00002803,226,25,44,26,63,13,16,12,17,10,11.061946902654867,19.469026548672566,11.504424778761061,27.876106194690266,5.752212389380531,7.079646017699115,5.3097345132743365,7.52212389380531,4.424778761061947
W00002805,216,38,62,29,12,4,16,15,9,31,17.59259259259259,28.703703703703702,13.425925925925927,5.555555555555555,1.8518518518518516,7.4074074074074066,6.944444444444445,4.166666666666666,14.351851851851851
W00002806,300,52,96,36,34,12,27,27,8,8,17.333333333333336,32,12,11.333333333333332,4,9,9,2.666666666666667,2.666666666666667
W00002807,232,37,55,33,17,8,13,17,9,43,15.948275862068966,23.70689655172414,14.224137931034484,7.327586206896551,3.4482758620689653,5.603448275862069,7.327586206896551,3.8793103448275863,18.53448275862069
W00002808,310,66,83,36,40,6,23,29,8,19,21.29032258064516,26.7741935483871,11.612903225806452,12.903225806451612,1.935483870967742,7.419354838709677,9.35483870967742,2.5806451612903225,6.129032258064516
W00002809,208,10,39,15,32,15,37,31,17,12,4.807692307692308,18.75,7.211538461538461,15.384615384615385,7.211538461538461,17.78846153846154,14.903846153846153,8.173076923076923,5.769230769230769
W00002811,217,28,50,17,46,8,26,25,8,9,12.903225806451612,23.04147465437788,7.834101382488479,21.19815668202765,3.686635944700461,11.981566820276496,11.52073732718894,3.686635944700461,4.147465437788019
W00002812,237,16,31,22,39,12,26,36,27,28,6.751054852320674,13.080168776371309,9.282700421940929,16.455696202531644,5.063291139240507,10.970464135021098,15.18987341772152,11.39240506329114,11.814345991561181
W00002813,169,8,27,22,18,16,13,30,10,25,4.733727810650888,15.976331360946746,13.017751479289942,10.650887573964498,9.467455621301776,7.6923076923076925,17.75147928994083,5.9171597633136095,14.792899408284024
W00002814,305,24,63,23,51,17,35,56,23,13,7.868852459016394,20.655737704918035,7.540983606557377,16.721311475409838,5.573770491803279,11.475409836065573,18.360655737704917,7.540983606557377,4.2622950819672125
W00002815,210,7,26,18,14,9,44,56,23,13,3.3333333333333335,12.380952380952381,8.571428571428571,6.666666666666667,4.285714285714286,20.952380952380953,26.666666666666668,10.952380952380953,6.190476190476191
W00002816,221,13,44,25,36,9,20,40,21,13,5.88235294117647,19.90950226244344,11.312217194570136,16.289592760180994,4.072398190045249,9.049773755656108,18.099547511312217,9.502262443438914,5.88235294117647
W00002818,149,9,20,12,15,9,16,31,19,18,6.0402684563758395,13.422818791946309,8.053691275167784,10.06711409395973,6.0402684563758395,10.738255033557047,20.80536912751678,12.751677852348994,12.080536912751679
W00002819,183,12,23,13,23,12,25,40,18,17,6.557377049180328,12.568306010928962,7.103825136612022,12.568306010928962,6.557377049180328,13.661202185792352,21.85792349726776,9.836065573770492,9.289617486338798
W00002820,410,42,72,34,118,24,31,40,34,15,10.24390243902439,17.560975609756095,8.292682926829269,28.780487804878046,5.853658536585367,7.560975609756097,9.75609756097561,8.292682926829269,3.6585365853658534
W00002821,252,25,50,30,57,15,27,25,17,6,9.920634920634921,19.841269841269842,11.904761904761903,22.61904761904762,5.952380952380952,10.714285714285714,9.920634920634921,6.746031746031746,2.380952380952381
W00002822,216,19,46,18,42,16,24,26,18,7,8.796296296296296,21.296296296296298,8.333333333333332,19.444444444444446,7.4074074074074066,11.11111111111111,12.037037037037036,8.333333333333332,3.2407407407407405
W00002823,286,23,60,25,69,22,29,31,15,12,8.041958041958042,20.97902097902098,8.741258741258742,24.125874125874127,7.6923076923076925,10.13986013986014,10.839160839160838,5.244755244755245,4.195804195804196
W00002824,125,8,21,7,19,2,14,34,16,4,6.4,16.8,5.6000000000000005,15.2,1.6,11.200000000000001,27.200000000000003,12.8,3.2
W00002825,204,20,32,16,24,12,28,39,14,19,9.803921568627452,15.686274509803921,7.8431372549019605,11.76470588235294,5.88235294117647,13.725490196078432,19.11764705882353,6.862745098039216,9.313725490196079
W00002826,148,24,38,12,24,10,9,9,20,2,16.216216216216218,25.675675675675674,8.108108108108109,16.216216216216218,6.756756756756757,6.081081081081082,6.081081081081082,13.513513513513514,1.3513513513513513
W00002827,201,25,39,21,25,10,28,24,1,28,12.437810945273633,19.402985074626866,10.44776119402985,12.437810945273633,4.975124378109453,13.930348258706468,11.940298507462686,0.4975124378109453,13.930348258706468
W00002828,275,70,72,29,22,7,9,17,6,43,25.454545454545453,26.181818181818183,10.545454545454545,8,2.5454545454545454,3.272727272727273,6.181818181818182,2.181818181818182,15.636363636363637
W00002829,159,14,32,25,18,7,15,18,8,22,8.80503144654088,20.125786163522015,15.723270440251572,11.320754716981133,4.40251572327044,9.433962264150944,11.320754716981133,5.031446540880504,13.836477987421384
W00002831,682,50,50,19,13,4,10,9,10,517,7.331378299120235,7.331378299120235,2.785923753665689,1.906158357771261,0.5865102639296188,1.466275659824047,1.3196480938416422,1.466275659824047,75.80645161290323
W00002832,234,23,44,18,55,13,36,21,14,10,9.82905982905983,18.803418803418804,7.6923076923076925,23.504273504273502,5.555555555555555,15.384615384615385,8.974358974358974,5.982905982905983,4.273504273504273
W00002833,197,26,42,15,56,8,23,7,12,8,13.19796954314721,21.31979695431472,7.614213197969544,28.426395939086298,4.060913705583756,11.6751269035533,3.5532994923857872,6.091370558375635,4.060913705583756
W00002834,418,48,93,49,99,13,40,44,22,10,11.483253588516746,22.248803827751196,11.722488038277511,23.684210526315788,3.110047846889952,9.569377990430622,10.526315789473683,5.263157894736842,2.3923444976076556
W00002835,120,5,20,6,12,9,29,26,10,3,4.166666666666666,16.666666666666664,5,10,7.5,24.166666666666668,21.666666666666668,8.333333333333332,2.5
W00002836,241,23,50,19,42,17,28,27,18,17,9.54356846473029,20.74688796680498,7.883817427385892,17.42738589211618,7.053941908713693,11.618257261410788,11.20331950207469,7.468879668049793,7.053941908713693
W00002837,314,32,75,28,51,16,42,39,21,10,10.191082802547772,23.88535031847134,8.9171974522293,16.24203821656051,5.095541401273886,13.375796178343949,12.420382165605096,6.687898089171974,3.1847133757961785
W00002838,250,21,43,32,75,12,21,24,11,11,8.4,17.2,12.8,30,4.8,8.4,9.6,4.3999999999999995,4.3999999999999995
W00002839,188,39,44,15,40,8,12,18,7,5,20.74468085106383,23.404255319148938,7.9787234042553195,21.27659574468085,4.25531914893617,6.382978723404255,9.574468085106384,3.723404255319149,2.6595744680851063
W00002840,203,28,35,15,58,6,17,22,14,8,13.793103448275861,17.24137931034483,7.389162561576355,28.57142857142857,2.955665024630542,8.374384236453201,10.83743842364532,6.896551724137931,3.9408866995073892
W00002841,241,22,42,20,79,14,20,23,10,11,9.12863070539419,17.42738589211618,8.29875518672199,32.780082987551864,5.809128630705394,8.29875518672199,9.54356846473029,4.149377593360995,4.564315352697095
W00002842,359,48,69,41,79,20,45,26,30,1,13.370473537604457,19.220055710306408,11.420612813370473,22.00557103064067,5.571030640668524,12.534818941504177,7.242339832869081,8.356545961002785,0.2785515320334262
W00002843,269,33,45,33,51,20,29,29,21,8,12.267657992565056,16.728624535315987,12.267657992565056,18.95910780669145,7.434944237918216,10.780669144981413,10.780669144981413,7.806691449814126,2.973977695167286
W00002844,136,15,32,14,28,5,11,12,9,10,11.029411764705882,23.52941176470588,10.294117647058822,20.588235294117645,3.6764705882352944,8.088235294117647,8.823529411764707,6.61764705882353,7.352941176470589
W00002845,246,40,63,28,32,10,26,25,11,11,16.260162601626014,25.609756097560975,11.38211382113821,13.008130081300814,4.0650406504065035,10.569105691056912,10.16260162601626,4.471544715447155,4.471544715447155
W00002846,200,21,31,20,35,5,33,30,9,16,10.5,15.5,10,17.5,2.5,16.5,15,4.5,8
W00002847,183,21,40,17,24,6,23,27,17,8,11.475409836065573,21.85792349726776,9.289617486338798,13.114754098360656,3.278688524590164,12.568306010928962,14.754098360655737,9.289617486338798,4.371584699453552
W00002848,173,17,43,15,37,11,17,18,11,4,9.826589595375722,24.85549132947977,8.670520231213873,21.38728323699422,6.358381502890173,9.826589595375722,10.404624277456648,6.358381502890173,2.312138728323699
W00002849,187,12,25,18,25,13,44,27,14,9,6.417112299465241,13.368983957219251,9.62566844919786,13.368983957219251,6.951871657754011,23.52941176470588,14.43850267379679,7.4866310160427805,4.81283422459893
W00002850,146,7,26,17,20,13,17,15,24,7,4.794520547945205,17.80821917808219,11.643835616438356,13.698630136986301,8.904109589041095,11.643835616438356,10.273972602739725,16.43835616438356,4.794520547945205
W00002851,340,59,98,51,50,12,24,14,13,19,17.352941176470587,28.823529411764703,15,14.705882352941178,3.5294117647058822,7.0588235294117645,4.117647058823529,3.823529411764706,5.588235294117648
W00002852,246,31,64,26,50,14,21,13,11,16,12.601626016260163,26.01626016260163,10.569105691056912,20.32520325203252,5.691056910569105,8.536585365853659,5.284552845528456,4.471544715447155,6.504065040650407
