OA,ts0390001,ts0390002,ts0390003,ts0390004,ts0390005,ts0390006,ts0390007,ts0390008,ts0390009,ts0390002_PCT,ts0390003_PCT,ts0390004_PCT,ts0390005_PCT,ts0390006_PCT,ts0390007_PCT,ts0390008_PCT,ts0390009_PCT
W00005172,217,199,2,2,0,5,2,3,11,91.70506912442397,0.9216589861751152,0.9216589861751152,0,2.3041474654377883,0.9216589861751152,1.3824884792626728,5.0691244239631335
W00005173,242,196,18,12,6,15,9,6,13,80.99173553719008,7.43801652892562,4.958677685950414,2.479338842975207,6.198347107438017,3.71900826446281,2.479338842975207,5.371900826446281
W00005174,305,280,12,11,1,9,5,4,4,91.80327868852459,3.934426229508197,3.606557377049181,0.32786885245901637,2.9508196721311477,1.639344262295082,1.3114754098360655,1.3114754098360655
W00005176,290,263,12,8,4,6,2,4,9,90.6896551724138,4.137931034482759,2.7586206896551726,1.3793103448275863,2.0689655172413794,0.6896551724137931,1.3793103448275863,3.103448275862069
W00005177,294,255,17,12,5,13,4,9,9,86.73469387755102,5.782312925170068,4.081632653061225,1.7006802721088436,4.421768707482993,1.3605442176870748,3.061224489795918,3.061224489795918
W00005178,271,241,13,10,3,8,1,7,9,88.92988929889299,4.797047970479705,3.6900369003690034,1.107011070110701,2.952029520295203,0.36900369003690037,2.5830258302583027,3.3210332103321036
W00005179,270,226,17,14,3,10,6,4,17,83.7037037037037,6.296296296296296,5.185185185185185,1.1111111111111112,3.7037037037037033,2.2222222222222223,1.4814814814814816,6.296296296296296
W00005180,412,360,10,8,2,12,3,9,30,87.37864077669903,2.4271844660194173,1.9417475728155338,0.48543689320388345,2.912621359223301,0.7281553398058253,2.1844660194174756,7.281553398058252
W00005181,387,324,8,6,2,18,11,7,37,83.72093023255815,2.0671834625323,1.550387596899225,0.516795865633075,4.651162790697675,2.842377260981912,1.8087855297157622,9.560723514211885
W00005182,313,275,11,8,3,6,3,3,21,87.8594249201278,3.5143769968051117,2.5559105431309903,0.9584664536741214,1.9169329073482428,0.9584664536741214,0.9584664536741214,6.7092651757188495
W00005183,380,324,13,8,5,17,6,11,26,85.26315789473684,3.421052631578948,2.1052631578947367,1.3157894736842104,4.473684210526316,1.5789473684210527,2.8947368421052633,6.842105263157896
W00005184,349,298,12,9,3,21,7,14,18,85.38681948424069,3.4383954154727796,2.5787965616045847,0.8595988538681949,6.017191977077363,2.005730659025788,4.011461318051576,5.157593123209169
W00005185,306,266,19,12,7,9,0,9,12,86.9281045751634,6.209150326797386,3.9215686274509802,2.287581699346405,2.941176470588235,0,2.941176470588235,3.9215686274509802
W00005186,255,230,10,7,3,4,2,2,11,90.19607843137256,3.9215686274509802,2.7450980392156863,1.1764705882352942,1.5686274509803921,0.7843137254901961,0.7843137254901961,4.313725490196078
W00005187,495,429,15,8,7,12,2,10,39,86.66666666666667,3.0303030303030303,1.6161616161616161,1.4141414141414141,2.4242424242424243,0.40404040404040403,2.0202020202020203,7.878787878787878
W00005188,378,334,22,13,9,8,3,5,14,88.35978835978835,5.82010582010582,3.439153439153439,2.380952380952381,2.1164021164021163,0.7936507936507936,1.3227513227513228,3.7037037037037033
W00005189,118,103,5,3,2,5,4,1,5,87.28813559322035,4.23728813559322,2.5423728813559325,1.694915254237288,4.23728813559322,3.389830508474576,0.847457627118644,4.23728813559322
W00005190,225,195,10,7,3,7,5,2,13,86.66666666666667,4.444444444444445,3.111111111111111,1.3333333333333335,3.111111111111111,2.2222222222222223,0.8888888888888888,5.777777777777778
W00005191,271,234,3,3,0,18,5,13,16,86.34686346863468,1.107011070110701,1.107011070110701,0,6.642066420664207,1.8450184501845017,4.797047970479705,5.904059040590406
W00005192,342,305,12,6,6,15,6,9,10,89.18128654970761,3.508771929824561,1.7543859649122806,1.7543859649122806,4.385964912280701,1.7543859649122806,2.631578947368421,2.923976608187134
W00005193,303,255,17,11,6,9,4,5,22,84.15841584158416,5.6105610561056105,3.6303630363036308,1.9801980198019802,2.9702970297029703,1.3201320132013201,1.65016501650165,7.2607260726072615
W00005194,310,269,16,9,7,7,3,4,18,86.7741935483871,5.161290322580645,2.903225806451613,2.258064516129032,2.258064516129032,0.967741935483871,1.2903225806451613,5.806451612903226
W00005195,259,218,22,8,14,10,6,4,9,84.16988416988417,8.494208494208493,3.088803088803089,5.405405405405405,3.861003861003861,2.3166023166023164,1.5444015444015444,3.474903474903475
W00005196,299,249,16,10,6,17,10,7,17,83.27759197324414,5.351170568561873,3.3444816053511706,2.0066889632107023,5.68561872909699,3.3444816053511706,2.341137123745819,5.68561872909699
W00005197,234,218,7,0,7,2,0,2,7,93.16239316239316,2.9914529914529915,0,2.9914529914529915,0.8547008547008548,0,0.8547008547008548,2.9914529914529915
W00005198,278,243,12,5,7,6,3,3,17,87.41007194244604,4.316546762589928,1.7985611510791366,2.5179856115107913,2.158273381294964,1.079136690647482,1.079136690647482,6.115107913669065
W00005199,303,268,18,11,7,4,3,1,13,88.44884488448845,5.9405940594059405,3.6303630363036308,2.31023102310231,1.3201320132013201,0.9900990099009901,0.33003300330033003,4.29042904290429
W00005202,427,387,19,11,8,7,3,4,14,90.63231850117096,4.449648711943794,2.576112412177986,1.873536299765808,1.639344262295082,0.702576112412178,0.936768149882904,3.278688524590164
W00005203,313,275,7,3,4,9,7,2,22,87.8594249201278,2.2364217252396164,0.9584664536741214,1.2779552715654952,2.8753993610223643,2.2364217252396164,0.6389776357827476,7.0287539936102235
W00005204,315,286,22,18,4,4,2,2,3,90.7936507936508,6.984126984126984,5.714285714285714,1.2698412698412698,1.2698412698412698,0.6349206349206349,0.6349206349206349,0.9523809523809524
W00005205,251,232,4,3,1,5,1,4,10,92.43027888446214,1.593625498007968,1.1952191235059761,0.398406374501992,1.9920318725099602,0.398406374501992,1.593625498007968,3.9840637450199203
W00005206,240,215,13,9,4,3,3,0,9,89.58333333333334,5.416666666666667,3.75,1.6666666666666667,1.25,1.25,0,3.75
