OA,ts0270001,ts0270002,ts0270003,ts0270004,ts0270005,ts0270006,ts0270007,ts0270008,ts0270009,ts0270010,ts0270011,ts0270012,ts0270013,ts0270014,ts0270015,ts0270016,ts0270017,ts0270018,ts0270019,ts0270020,ts0270002_PCT,ts0270003_PCT,ts0270004_PCT,ts0270005_PCT,ts0270006_PCT,ts0270007_PCT,ts0270008_PCT,ts0270009_PCT,ts0270010_PCT,ts0270011_PCT,ts0270012_PCT,ts0270013_PCT,ts0270014_PCT,ts0270015_PCT,ts0270016_PCT,ts0270017_PCT,ts0270018_PCT,ts0270019_PCT,ts0270020_PCT
W00005608,368,97,19,3,204,27,7,1,0,0,0,0,0,6,0,0,6,5,6,5,26.358695652173914,5.163043478260869,0.8152173913043478,55.434782608695656,7.336956521739131,1.9021739130434785,0.2717391304347826,0,0,0,0,0,1.6304347826086956,0,0,1.6304347826086956,1.358695652173913,1.6304347826086956,1.358695652173913
W00005609,227,54,14,3,130,20,2,0,0,0,0,0,0,2,0,0,1,3,1,3,23.788546255506606,6.167400881057269,1.3215859030837005,57.268722466960355,8.81057268722467,0.881057268722467,0,0,0,0,0,0,0.881057268722467,0,0,0.4405286343612335,1.3215859030837005,0.4405286343612335,1.3215859030837005
W00005610,256,56,14,1,159,12,6,2,0,0,0,1,0,3,0,0,6,2,6,2,21.875,5.46875,0.390625,62.109375,4.6875,2.34375,0.78125,0,0,0,0.390625,0,1.171875,0,0,2.34375,0.78125,2.34375,0.78125
W00005611,303,58,31,6,167,28,4,0,0,1,1,1,0,1,1,0,5,3,6,3,19.141914191419144,10.231023102310232,1.9801980198019802,55.115511551155116,9.24092409240924,1.3201320132013201,0,0,0.33003300330033003,0.33003300330033003,0.33003300330033003,0,0.33003300330033003,0.33003300330033003,0,1.65016501650165,0.9900990099009901,1.9801980198019802,0.9900990099009901
W00005613,258,60,7,3,156,25,1,0,0,0,0,0,0,1,2,0,2,2,4,2,23.25581395348837,2.7131782945736433,1.1627906976744187,60.46511627906976,9.689922480620156,0.3875968992248062,0,0,0,0,0,0,0.3875968992248062,0.7751937984496124,0,0.7751937984496124,0.7751937984496124,1.550387596899225,0.7751937984496124
W00005614,208,38,10,3,134,17,3,0,0,0,0,0,0,3,0,0,1,2,1,2,18.269230769230766,4.807692307692308,1.4423076923076923,64.42307692307693,8.173076923076923,1.4423076923076923,0,0,0,0,0,0,1.4423076923076923,0,0,0.4807692307692308,0.9615384615384616,0.4807692307692308,0.9615384615384616
W00005615,407,67,24,7,233,38,8,4,2,1,1,0,0,0,3,0,20,7,23,7,16.461916461916463,5.896805896805897,1.71990171990172,57.24815724815725,9.336609336609335,1.9656019656019657,0.9828009828009828,0.4914004914004914,0.2457002457002457,0.2457002457002457,0,0,0,0.7371007371007371,0,4.914004914004914,1.71990171990172,5.651105651105651,1.71990171990172
W00005616,339,69,18,1,220,11,7,3,0,1,0,0,0,3,1,0,8,4,9,4,20.353982300884958,5.3097345132743365,0.2949852507374631,64.89675516224189,3.2448377581120944,2.0648967551622417,0.8849557522123894,0,0.2949852507374631,0,0,0,0.8849557522123894,0.2949852507374631,0,2.359882005899705,1.1799410029498525,2.6548672566371683,1.1799410029498525
W00005617,310,81,11,2,170,34,4,2,0,1,0,0,0,1,0,0,3,5,3,5,26.129032258064516,3.5483870967741935,0.6451612903225806,54.83870967741935,10.967741935483872,1.2903225806451613,0.6451612903225806,0,0.3225806451612903,0,0,0,0.3225806451612903,0,0,0.967741935483871,1.6129032258064515,0.967741935483871,1.6129032258064515
W00005618,308,58,9,0,190,40,6,1,1,1,0,0,0,3,0,0,3,2,3,2,18.83116883116883,2.922077922077922,0,61.68831168831169,12.987012987012985,1.948051948051948,0.3246753246753247,0.3246753246753247,0.3246753246753247,0,0,0,0.974025974025974,0,0,0.974025974025974,0.6493506493506493,0.974025974025974,0.6493506493506493
W00005619,273,35,8,4,179,37,1,1,0,0,0,0,0,0,1,0,6,2,7,2,12.82051282051282,2.93040293040293,1.465201465201465,65.56776556776556,13.553113553113553,0.3663003663003663,0.3663003663003663,0,0,0,0,0,0,0.3663003663003663,0,2.197802197802198,0.7326007326007326,2.564102564102564,0.7326007326007326
W00005620,272,55,14,5,150,25,11,3,1,2,0,0,0,5,2,0,6,4,8,4,20.22058823529412,5.147058823529411,1.8382352941176472,55.14705882352941,9.191176470588236,4.044117647058823,1.1029411764705883,0.3676470588235294,0.7352941176470588,0,0,0,1.8382352941176472,0.7352941176470588,0,2.2058823529411766,1.4705882352941175,2.941176470588235,1.4705882352941175
W00005621,300,49,14,7,165,55,2,0,0,1,0,0,0,1,0,0,3,5,3,5,16.333333333333332,4.666666666666667,2.3333333333333335,55.00000000000001,18.333333333333332,0.6666666666666667,0,0,0.33333333333333337,0,0,0,0.33333333333333337,0,0,1,1.6666666666666667,1,1.6666666666666667
W00005622,259,69,18,2,138,18,2,1,0,0,0,0,0,1,1,0,8,3,9,3,26.640926640926644,6.94980694980695,0.7722007722007722,53.28185328185329,6.94980694980695,0.7722007722007722,0.3861003861003861,0,0,0,0,0,0.3861003861003861,0.3861003861003861,0,3.088803088803089,1.1583011583011582,3.474903474903475,1.1583011583011582
W00005623,264,46,10,5,159,41,1,1,0,0,0,0,0,0,0,0,1,1,1,1,17.424242424242426,3.787878787878788,1.893939393939394,60.22727272727273,15.530303030303031,0.3787878787878788,0.3787878787878788,0,0,0,0,0,0,0,0,0.3787878787878788,0.3787878787878788,0.3787878787878788,0.3787878787878788
W00005624,342,58,11,2,209,40,6,2,0,1,0,0,0,3,1,0,9,6,10,6,16.95906432748538,3.216374269005848,0.5847953216374269,61.111111111111114,11.695906432748536,1.7543859649122806,0.5847953216374269,0,0.29239766081871343,0,0,0,0.8771929824561403,0.29239766081871343,0,2.631578947368421,1.7543859649122806,2.923976608187134,1.7543859649122806
W00005625,266,51,22,2,153,21,8,4,0,0,0,0,0,4,1,0,4,4,5,4,19.172932330827066,8.270676691729323,0.7518796992481203,57.5187969924812,7.894736842105263,3.007518796992481,1.5037593984962405,0,0,0,0,0,1.5037593984962405,0.37593984962406013,0,1.5037593984962405,1.5037593984962405,1.8796992481203008,1.5037593984962405
