OA,ts0210001,ts0210002,ts0210003,ts0210004,ts0210005,ts0210006,ts0210007,ts0210008,ts0210009,ts0210010,ts0210011,ts0210012,ts0210013,ts0210014,ts0210015,ts0210016,ts0210017,ts0210018,ts0210019,ts0210020,ts0210021,ts0210022,ts0210023,ts0210024,ts0210025,ts0210002_PCT,ts0210003_PCT,ts0210004_PCT,ts0210005_PCT,ts0210006_PCT,ts0210007_PCT,ts0210008_PCT,ts0210009_PCT,ts0210010_PCT,ts0210011_PCT,ts0210012_PCT,ts0210013_PCT,ts0210014_PCT,ts0210015_PCT,ts0210016_PCT,ts0210017_PCT,ts0210018_PCT,ts0210019_PCT,ts0210020_PCT,ts0210021_PCT,ts0210022_PCT,ts0210023_PCT,ts0210024_PCT,ts0210025_PCT
W00006943,244,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,241,240,1,0,0,0,0,0,0,0,0,0,0,0,0,0.819672131147541,0.4098360655737705,0.4098360655737705,0,0.4098360655737705,0.4098360655737705,0,0,0,98.77049180327869,98.36065573770492,0.4098360655737705,0,0,0,0,0,0
W00006944,452,3,0,0,0,0,3,1,0,1,0,4,2,0,1,1,442,442,0,0,0,0,2,1,1,0.6637168141592921,0,0,0,0,0.6637168141592921,0.22123893805309736,0,0.22123893805309736,0,0.8849557522123894,0.4424778761061947,0,0.22123893805309736,0.22123893805309736,97.78761061946902,97.78761061946902,0,0,0,0,0.4424778761061947,0.22123893805309736,0.22123893805309736
W00006945,278,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,275,274,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.079136690647482,0,0,1.079136690647482,0,98.92086330935251,98.56115107913669,0.3597122302158274,0,0,0,0,0,0
W00006946,341,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,337,333,2,0,0,2,2,0,2,0.5865102639296188,0,0.5865102639296188,0,0,0,0,0,0,0,0,0,0,0,0,98.82697947214076,97.65395894428153,0.5865102639296188,0,0,0.5865102639296188,0.5865102639296188,0,0.5865102639296188
W00006947,248,9,4,0,5,0,0,1,0,1,0,1,0,0,1,0,237,235,1,0,0,1,0,0,0,3.6290322580645165,1.6129032258064515,0,2.0161290322580645,0,0,0.4032258064516129,0,0.4032258064516129,0,0.4032258064516129,0,0,0.4032258064516129,0,95.56451612903226,94.75806451612904,0.4032258064516129,0,0,0.4032258064516129,0,0,0
W00006948,316,8,0,4,3,0,1,0,0,0,0,3,1,1,1,0,305,297,0,0,0,8,0,0,0,2.5316455696202533,0,1.2658227848101267,0.949367088607595,0,0.31645569620253167,0,0,0,0,0.949367088607595,0.31645569620253167,0.31645569620253167,0.31645569620253167,0,96.51898734177216,93.9873417721519,0,0,0,2.5316455696202533,0,0,0
W00006949,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,397,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,99.49874686716792,0,0,0,0.5012531328320802,0,0,0
W00006950,291,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,287,286,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3745704467353952,0,0,0.6872852233676976,0.6872852233676976,98.62542955326461,98.28178694158075,0,0,0,0.3436426116838488,0,0,0
W00006951,362,2,0,0,0,0,2,2,1,1,0,4,1,0,2,1,354,353,1,0,0,0,0,0,0,0.5524861878453038,0,0,0,0,0.5524861878453038,0.5524861878453038,0.2762430939226519,0.2762430939226519,0,1.1049723756906076,0.2762430939226519,0,0.5524861878453038,0.2762430939226519,97.79005524861878,97.51381215469614,0.2762430939226519,0,0,0,0,0,0
W00006952,308,1,0,0,0,0,1,0,0,0,0,2,2,0,0,0,304,304,0,0,0,0,1,1,0,0.3246753246753247,0,0,0,0,0.3246753246753247,0,0,0,0,0.6493506493506493,0.6493506493506493,0,0,0,98.7012987012987,98.7012987012987,0,0,0,0,0.3246753246753247,0.3246753246753247,0
