OA,ts0400001,ts0400002,ts0400003,ts0400004,ts0400002_PCT,ts0400003_PCT,ts0400004_PCT
W00006943,115,48,50,17,41.73913043478261,43.47826086956522,14.782608695652174
W00006944,176,120,38,18,68.18181818181817,21.59090909090909,10.227272727272728
W00006945,120,61,49,10,50.83333333333333,40.833333333333336,8.333333333333332
W00006946,147,64,66,17,43.53741496598639,44.89795918367347,11.564625850340136
W00006947,114,66,38,10,57.89473684210527,33.33333333333333,8.771929824561402
W00006948,127,68,46,13,53.54330708661418,36.22047244094488,10.236220472440944
W00006949,183,108,57,18,59.01639344262295,31.147540983606557,9.836065573770492
W00006950,116,49,50,17,42.241379310344826,43.103448275862064,14.655172413793101
W00006951,132,65,47,20,49.24242424242424,35.60606060606061,15.151515151515152
W00006952,123,62,42,19,50.40650406504065,34.146341463414636,15.447154471544716
W00006953,125,67,47,11,53.6,37.6,8.799999999999999
W00006954,143,68,53,22,47.55244755244755,37.06293706293706,15.384615384615385
W00006955,126,67,48,11,53.17460317460318,38.095238095238095,8.73015873015873
W00006956,141,73,66,2,51.77304964539007,46.808510638297875,1.4184397163120568
W00006957,118,60,42,16,50.847457627118644,35.59322033898305,13.559322033898304
W00006958,133,83,39,11,62.40601503759399,29.32330827067669,8.270676691729323
W00006959,136,75,43,18,55.14705882352941,31.61764705882353,13.23529411764706
W00006960,139,89,37,13,64.02877697841727,26.618705035971225,9.352517985611511
W00006961,126,71,38,17,56.34920634920635,30.158730158730158,13.492063492063492
W00006962,112,60,40,12,53.57142857142857,35.714285714285715,10.714285714285714
W00006963,145,89,41,15,61.37931034482759,28.27586206896552,10.344827586206897
W00006964,126,77,40,9,61.111111111111114,31.746031746031743,7.142857142857142
W00006965,118,70,43,5,59.32203389830508,36.440677966101696,4.23728813559322
W00006966,132,82,40,10,62.121212121212125,30.303030303030305,7.575757575757576
W00006968,129,72,46,11,55.81395348837209,35.65891472868217,8.527131782945736
W00006969,145,80,56,9,55.172413793103445,38.62068965517241,6.206896551724138
W00006970,215,149,46,20,69.30232558139535,21.3953488372093,9.30232558139535
W00006971,90,59,22,9,65.55555555555556,24.444444444444443,10
W00006972,146,94,38,14,64.38356164383562,26.027397260273972,9.58904109589041
W00006973,145,87,44,14,60,30.344827586206897,9.655172413793103
W00006974,117,80,27,10,68.37606837606837,23.076923076923077,8.547008547008547
W00006975,155,96,46,13,61.935483870967744,29.677419354838708,8.38709677419355
W00006976,131,73,37,21,55.72519083969466,28.24427480916031,16.030534351145036
W00006977,154,105,37,12,68.18181818181817,24.025974025974026,7.792207792207792
W00006978,136,90,36,10,66.17647058823529,26.47058823529412,7.352941176470589
W00006979,131,61,59,11,46.56488549618321,45.038167938931295,8.396946564885496
W00006980,115,62,36,17,53.91304347826087,31.30434782608696,14.782608695652174
W00006981,122,73,35,14,59.83606557377049,28.688524590163933,11.475409836065573
W00006982,115,64,35,16,55.65217391304348,30.434782608695656,13.91304347826087
W00006983,150,84,50,16,56.00000000000001,33.33333333333333,10.666666666666668
W00006984,136,80,36,20,58.82352941176471,26.47058823529412,14.705882352941178
W00006985,121,62,50,9,51.2396694214876,41.32231404958678,7.43801652892562
W00006986,133,79,41,13,59.3984962406015,30.82706766917293,9.774436090225564
W00006987,136,82,51,3,60.29411764705882,37.5,2.2058823529411766
W00006988,162,75,61,26,46.2962962962963,37.65432098765432,16.049382716049383
W00006989,125,64,45,16,51.2,36,12.8
W00006990,118,87,16,15,73.72881355932203,13.559322033898304,12.711864406779661
W00006991,138,78,45,15,56.52173913043478,32.608695652173914,10.869565217391305
W00006992,128,75,43,10,58.59375,33.59375,7.8125
W00006993,185,111,54,20,60,29.18918918918919,10.81081081081081
W00006994,171,104,50,17,60.81871345029239,29.239766081871345,9.941520467836257
W00006995,174,100,56,18,57.47126436781609,32.18390804597701,10.344827586206897
W00006996,109,60,39,10,55.04587155963303,35.77981651376147,9.174311926605505
W00006997,119,64,41,14,53.78151260504202,34.45378151260504,11.76470588235294
W00006998,118,50,47,21,42.3728813559322,39.83050847457627,17.796610169491526
W00006999,119,65,32,22,54.621848739495796,26.89075630252101,18.487394957983195
W00007000,119,61,45,13,51.26050420168067,37.81512605042017,10.92436974789916
W00007001,111,59,40,12,53.153153153153156,36.03603603603604,10.81081081081081
W00007002,140,86,42,12,61.42857142857143,30,8.571428571428571
W00007003,143,77,51,15,53.84615384615385,35.66433566433567,10.48951048951049
W00007004,136,77,51,8,56.61764705882353,37.5,5.88235294117647
W00007005,122,54,51,17,44.26229508196721,41.80327868852459,13.934426229508196
W00007006,125,66,51,8,52.800000000000004,40.8,6.4
W00007007,125,84,29,12,67.2,23.200000000000003,9.6
W00007008,136,73,47,16,53.67647058823529,34.55882352941176,11.76470588235294
W00007009,122,73,37,12,59.83606557377049,30.327868852459016,9.836065573770492
W00007010,114,48,47,19,42.10526315789473,41.228070175438596,16.666666666666664
W00007011,139,81,49,9,58.27338129496403,35.25179856115108,6.474820143884892
W00007012,122,62,43,17,50.81967213114754,35.24590163934426,13.934426229508196
W00007013,129,75,39,15,58.139534883720934,30.23255813953488,11.627906976744185
W00007014,110,41,54,15,37.27272727272727,49.09090909090909,13.636363636363635
W00007015,154,82,63,9,53.246753246753244,40.909090909090914,5.844155844155844
W00007016,122,68,36,18,55.73770491803278,29.508196721311474,14.754098360655737
W00007017,120,49,54,17,40.833333333333336,45,14.166666666666666
W00007018,109,59,40,10,54.12844036697248,36.69724770642202,9.174311926605505
W00007019,130,63,48,19,48.46153846153846,36.92307692307693,14.615384615384617
W00007020,142,92,41,9,64.7887323943662,28.87323943661972,6.338028169014084
W00007021,136,79,45,12,58.08823529411765,33.088235294117645,8.823529411764707
W00007022,125,69,41,15,55.2,32.800000000000004,12
W00007023,133,92,31,10,69.17293233082707,23.308270676691727,7.518796992481203
W00007024,175,104,49,22,59.42857142857143,28.000000000000004,12.571428571428573
W00007025,133,88,32,13,66.16541353383458,24.06015037593985,9.774436090225564
W00007026,159,114,36,9,71.69811320754717,22.641509433962266,5.660377358490567
W00007027,113,77,23,13,68.14159292035397,20.353982300884958,11.504424778761061
W00007028,154,93,51,10,60.3896103896104,33.116883116883116,6.493506493506493
W00007029,116,77,31,8,66.37931034482759,26.72413793103448,6.896551724137931
W00007030,130,71,48,11,54.61538461538461,36.92307692307693,8.461538461538462
W00007031,124,67,33,24,54.03225806451613,26.61290322580645,19.35483870967742
W00007032,158,90,59,9,56.9620253164557,37.34177215189873,5.69620253164557
W00007033,123,81,29,13,65.85365853658537,23.577235772357724,10.569105691056912
W00007034,139,65,59,15,46.76258992805755,42.44604316546763,10.79136690647482
W00007035,203,152,32,19,74.8768472906404,15.763546798029557,9.35960591133005
W00007036,123,71,41,11,57.72357723577236,33.33333333333333,8.94308943089431
W00007037,124,63,40,21,50.806451612903224,32.25806451612903,16.93548387096774
W00007038,130,87,34,9,66.92307692307692,26.153846153846157,6.923076923076923
W00007039,125,75,36,14,60,28.799999999999997,11.200000000000001
W00007040,116,59,41,16,50.86206896551724,35.3448275862069,13.793103448275861
W00007041,117,54,42,21,46.15384615384615,35.8974358974359,17.94871794871795
W00007042,130,92,28,10,70.76923076923077,21.53846153846154,7.6923076923076925
W00007043,107,66,35,6,61.6822429906542,32.71028037383177,5.607476635514018
W00007044,125,64,53,8,51.2,42.4,6.4
W00007045,127,78,40,9,61.417322834645674,31.496062992125985,7.086614173228346
W00007046,133,95,32,6,71.42857142857143,24.06015037593985,4.511278195488721
W00007047,114,57,44,13,50,38.59649122807017,11.403508771929824
W00007048,129,75,45,9,58.139534883720934,34.883720930232556,6.976744186046512
W00007049,130,78,41,11,60,31.538461538461537,8.461538461538462
W00007050,120,51,58,11,42.5,48.333333333333336,9.166666666666666
W00007051,111,57,34,20,51.35135135135135,30.630630630630627,18.01801801801802
W00007052,126,67,48,11,53.17460317460318,38.095238095238095,8.73015873015873
W00007053,141,90,43,8,63.829787234042556,30.49645390070922,5.673758865248227
W00007054,134,56,54,24,41.7910447761194,40.298507462686565,17.91044776119403
W00007055,167,110,43,14,65.86826347305389,25.748502994011975,8.383233532934131
W00007056,129,67,38,24,51.93798449612403,29.457364341085274,18.6046511627907
W00007057,128,84,35,9,65.625,27.34375,7.03125
W00007058,153,107,37,9,69.93464052287581,24.183006535947712,5.88235294117647
W00007059,125,55,48,22,44,38.4,17.599999999999998
W00007060,198,95,77,26,47.97979797979798,38.88888888888889,13.131313131313133
W00007061,119,81,27,11,68.0672268907563,22.689075630252102,9.243697478991598
W00007062,127,89,27,11,70.07874015748031,21.25984251968504,8.661417322834646
W00007063,125,81,30,14,64.8,24,11.200000000000001
W00007064,130,76,41,13,58.46153846153847,31.538461538461537,10
W00007065,118,66,45,7,55.932203389830505,38.13559322033898,5.932203389830509
W00007066,142,81,48,13,57.04225352112676,33.80281690140845,9.15492957746479
W00007067,173,129,31,13,74.56647398843931,17.91907514450867,7.514450867052023
W00007068,115,76,29,10,66.08695652173913,25.217391304347824,8.695652173913043
W00007069,133,79,41,13,59.3984962406015,30.82706766917293,9.774436090225564
W00007070,126,79,38,9,62.698412698412696,30.158730158730158,7.142857142857142
W00007071,125,72,40,13,57.599999999999994,32,10.4
W00007072,110,67,30,13,60.909090909090914,27.27272727272727,11.818181818181818
W00007073,133,83,35,15,62.40601503759399,26.31578947368421,11.278195488721805
W00007074,110,76,25,9,69.0909090909091,22.727272727272727,8.181818181818182
W00007075,140,76,46,18,54.285714285714285,32.857142857142854,12.857142857142856
W00007076,123,65,41,17,52.84552845528455,33.33333333333333,13.821138211382115
W00007077,120,68,40,12,56.666666666666664,33.33333333333333,10
W00007078,122,65,42,15,53.278688524590166,34.42622950819672,12.295081967213115
W00007079,157,89,54,14,56.68789808917197,34.394904458598724,8.9171974522293
W00007080,133,81,39,13,60.902255639097746,29.32330827067669,9.774436090225564
W00007081,121,56,48,17,46.28099173553719,39.66942148760331,14.049586776859504
W00007082,124,82,34,8,66.12903225806451,27.419354838709676,6.451612903225806
W00007083,143,66,51,26,46.15384615384615,35.66433566433567,18.181818181818183
W00007084,111,54,39,18,48.64864864864865,35.13513513513514,16.216216216216218
W00007085,115,63,43,9,54.78260869565217,37.391304347826086,7.82608695652174
W00007086,112,52,43,17,46.42857142857143,38.392857142857146,15.178571428571427
W00007087,120,53,48,19,44.166666666666664,40,15.833333333333332
W00007088,141,70,51,20,49.645390070921984,36.17021276595745,14.184397163120568
W00007089,124,68,36,20,54.83870967741935,29.03225806451613,16.129032258064516
W00007090,126,55,50,21,43.65079365079365,39.682539682539684,16.666666666666664
W00007091,138,60,62,16,43.47826086956522,44.927536231884055,11.594202898550725
W00007092,114,45,59,10,39.473684210526315,51.75438596491229,8.771929824561402
W00007093,139,84,43,12,60.431654676258994,30.935251798561154,8.633093525179856
W00007094,133,73,51,9,54.88721804511278,38.34586466165413,6.7669172932330826
W00007095,142,92,37,13,64.7887323943662,26.056338028169012,9.15492957746479
W00007096,130,61,47,22,46.92307692307692,36.15384615384615,16.923076923076923
W00007097,133,78,49,6,58.64661654135338,36.84210526315789,4.511278195488721
W00007098,146,87,48,11,59.589041095890416,32.87671232876712,7.534246575342466
W00007099,92,44,37,11,47.82608695652174,40.21739130434783,11.956521739130435
W00007100,154,92,45,17,59.74025974025974,29.22077922077922,11.03896103896104
W00007101,174,122,35,17,70.11494252873564,20.114942528735632,9.770114942528735
W00007102,132,82,38,12,62.121212121212125,28.78787878787879,9.090909090909092
W00007103,101,56,38,7,55.44554455445545,37.62376237623762,6.9306930693069315
W00007104,117,67,38,12,57.26495726495726,32.47863247863248,10.256410256410255
W00007105,124,59,53,12,47.58064516129033,42.74193548387097,9.67741935483871
W00007106,131,86,29,16,65.64885496183206,22.137404580152673,12.213740458015266
W00007108,106,70,31,5,66.0377358490566,29.245283018867923,4.716981132075472
W00007109,154,107,31,16,69.48051948051948,20.12987012987013,10.38961038961039
W00007110,123,91,24,8,73.98373983739837,19.51219512195122,6.504065040650407
W00007111,131,89,30,12,67.93893129770993,22.900763358778626,9.16030534351145
W00007112,129,89,31,9,68.9922480620155,24.031007751937985,6.976744186046512
W00007113,116,67,34,15,57.758620689655174,29.310344827586203,12.931034482758621
W00007114,126,74,43,9,58.730158730158735,34.12698412698413,7.142857142857142
W00007115,156,102,44,10,65.38461538461539,28.205128205128204,6.41025641025641
W00007116,109,67,36,6,61.46788990825688,33.02752293577982,5.5045871559633035
W00007117,114,69,28,17,60.526315789473685,24.561403508771928,14.912280701754385
W00007118,132,68,54,10,51.515151515151516,40.909090909090914,7.575757575757576
W00007119,69,45,15,9,65.21739130434783,21.73913043478261,13.043478260869565
W00007120,137,82,39,16,59.854014598540154,28.467153284671532,11.678832116788321
W00007121,109,57,38,14,52.293577981651374,34.862385321100916,12.844036697247708
W00007122,121,58,43,20,47.93388429752066,35.53719008264463,16.528925619834713
W00007123,135,77,45,13,57.03703703703704,33.33333333333333,9.62962962962963
W00007124,115,53,46,16,46.08695652173913,40,13.91304347826087
W00007125,123,51,53,19,41.46341463414634,43.08943089430895,15.447154471544716
W00007126,125,67,42,16,53.6,33.6,12.8
W00007127,123,57,49,17,46.34146341463415,39.83739837398374,13.821138211382115
W00007128,135,76,43,16,56.2962962962963,31.851851851851855,11.851851851851853
W00007129,153,91,41,21,59.47712418300654,26.797385620915033,13.725490196078432
W00007130,138,92,37,9,66.66666666666666,26.811594202898554,6.521739130434782
W00007131,130,57,49,24,43.84615384615385,37.69230769230769,18.461538461538463
W00007132,124,61,46,17,49.193548387096776,37.096774193548384,13.709677419354838
W00007133,143,75,57,11,52.44755244755245,39.86013986013986,7.6923076923076925
W00007134,139,79,50,10,56.83453237410072,35.97122302158273,7.1942446043165464
W00007135,123,75,33,15,60.97560975609756,26.82926829268293,12.195121951219512
W00007136,119,56,47,16,47.05882352941176,39.49579831932773,13.445378151260504
W00007137,120,71,36,13,59.166666666666664,30,10.833333333333334
W00007138,135,86,28,21,63.70370370370371,20.74074074074074,15.555555555555555
W00007139,127,68,46,13,53.54330708661418,36.22047244094488,10.236220472440944
W00007140,151,54,70,27,35.76158940397351,46.35761589403973,17.880794701986755
W00007141,125,66,43,16,52.800000000000004,34.4,12.8
W00007142,107,46,48,13,42.99065420560748,44.85981308411215,12.149532710280374
W00007143,147,103,36,8,70.06802721088435,24.489795918367346,5.442176870748299
W00007144,124,70,36,18,56.451612903225815,29.03225806451613,14.516129032258066
W00007145,145,83,42,20,57.24137931034483,28.965517241379313,13.793103448275861
W00007147,173,104,52,17,60.115606936416185,30.057803468208093,9.826589595375722
W00007148,128,58,55,15,45.3125,42.96875,11.71875
W00007149,115,52,47,16,45.21739130434783,40.869565217391305,13.91304347826087
W00007150,123,61,37,25,49.59349593495935,30.081300813008134,20.32520325203252
W00007151,159,92,48,19,57.861635220125784,30.18867924528302,11.949685534591195
W00007152,184,125,39,20,67.93478260869566,21.195652173913043,10.869565217391305
W00007153,118,71,35,12,60.16949152542372,29.66101694915254,10.16949152542373
W00007154,121,65,43,13,53.71900826446281,35.53719008264463,10.743801652892563
W00007155,142,91,41,10,64.08450704225352,28.87323943661972,7.042253521126761
W00007156,121,59,45,17,48.760330578512395,37.1900826446281,14.049586776859504
W00007157,200,113,70,17,56.49999999999999,35,8.5
W00007158,124,65,44,15,52.41935483870967,35.483870967741936,12.096774193548388
W00007159,139,89,39,11,64.02877697841727,28.05755395683453,7.913669064748201
W00007160,123,81,36,6,65.85365853658537,29.268292682926827,4.878048780487805
W00007161,134,76,47,11,56.71641791044776,35.07462686567165,8.208955223880597
W00007162,106,63,34,9,59.43396226415094,32.075471698113205,8.49056603773585
W00007163,122,60,46,16,49.18032786885246,37.704918032786885,13.114754098360656
W00007164,148,92,43,13,62.16216216216216,29.054054054054053,8.783783783783784
W00007165,139,81,45,13,58.27338129496403,32.37410071942446,9.352517985611511
W00007166,139,75,50,14,53.956834532374096,35.97122302158273,10.071942446043165
W00007167,126,56,56,14,44.44444444444444,44.44444444444444,11.11111111111111
W00007168,170,103,45,22,60.588235294117645,26.47058823529412,12.941176470588237
W00007169,125,81,38,6,64.8,30.4,4.8
W00007171,120,71,37,12,59.166666666666664,30.833333333333336,10
W00007172,124,73,35,16,58.87096774193549,28.225806451612907,12.903225806451612
W00007173,129,65,51,13,50.3875968992248,39.53488372093023,10.077519379844961
W00007174,132,81,33,18,61.36363636363637,25,13.636363636363635
W00007175,120,59,41,20,49.166666666666664,34.166666666666664,16.666666666666664
W00007176,115,64,34,17,55.65217391304348,29.565217391304348,14.782608695652174
W00007177,140,82,43,15,58.57142857142858,30.714285714285715,10.714285714285714
W00007178,127,63,48,16,49.60629921259843,37.79527559055118,12.598425196850393
W00007179,116,68,39,9,58.620689655172406,33.62068965517241,7.758620689655173
W00007181,131,73,47,11,55.72519083969466,35.87786259541985,8.396946564885496
W00007182,122,86,33,3,70.49180327868852,27.049180327868854,2.459016393442623
W00007183,115,72,29,14,62.60869565217392,25.217391304347824,12.173913043478262
W00007184,133,54,61,18,40.6015037593985,45.86466165413533,13.533834586466165
W00007185,127,75,40,12,59.055118110236215,31.496062992125985,9.448818897637794
W00007186,130,84,38,8,64.61538461538461,29.230769230769234,6.153846153846154
W00007187,215,131,64,20,60.93023255813953,29.767441860465116,9.30232558139535
W00007188,124,61,44,19,49.193548387096776,35.483870967741936,15.32258064516129
W00007190,139,87,42,10,62.589928057553955,30.215827338129497,7.1942446043165464
W00007191,125,74,34,17,59.199999999999996,27.200000000000003,13.600000000000001
W00007192,211,122,66,23,57.81990521327014,31.27962085308057,10.90047393364929
W00007193,131,79,35,17,60.30534351145038,26.717557251908396,12.977099236641221
W00007194,123,68,35,20,55.28455284552846,28.455284552845526,16.260162601626014
W00007195,159,97,45,17,61.0062893081761,28.30188679245283,10.69182389937107
W00007196,116,77,34,5,66.37931034482759,29.310344827586203,4.310344827586207
W00007197,163,80,62,21,49.079754601226995,38.036809815950924,12.883435582822086
W00007198,128,72,49,7,56.25,38.28125,5.46875
W00007199,131,90,29,12,68.70229007633588,22.137404580152673,9.16030534351145
W00007200,114,48,50,16,42.10526315789473,43.859649122807014,14.035087719298245
W00007201,113,58,44,11,51.32743362831859,38.93805309734513,9.734513274336283
W00007202,124,65,40,19,52.41935483870967,32.25806451612903,15.32258064516129
W00007203,113,64,37,12,56.63716814159292,32.743362831858406,10.619469026548673
W00007204,122,62,45,15,50.81967213114754,36.885245901639344,12.295081967213115
W00007205,123,55,54,14,44.71544715447154,43.90243902439025,11.38211382113821
W00007206,132,80,38,14,60.60606060606061,28.78787878787879,10.606060606060606
W00007207,113,50,47,16,44.24778761061947,41.5929203539823,14.15929203539823
W00007208,128,64,39,25,50,30.46875,19.53125
W00007209,108,61,35,12,56.481481481481474,32.407407407407405,11.11111111111111
W00007210,114,65,38,11,57.01754385964912,33.33333333333333,9.649122807017543
W00007211,130,83,37,10,63.84615384615384,28.46153846153846,7.6923076923076925
W00007212,105,49,45,11,46.666666666666664,42.857142857142854,10.476190476190476
W00007213,147,106,31,10,72.10884353741497,21.08843537414966,6.802721088435375
W00007214,188,103,63,22,54.78723404255319,33.51063829787234,11.702127659574469
W00007215,133,74,46,13,55.639097744360896,34.58646616541353,9.774436090225564
W00007216,157,90,48,19,57.324840764331206,30.573248407643312,12.101910828025478
W00007217,91,38,44,9,41.75824175824176,48.35164835164835,9.89010989010989
W00007218,110,67,31,12,60.909090909090914,28.18181818181818,10.909090909090908
W00007219,118,70,39,9,59.32203389830508,33.05084745762712,7.627118644067797
W00007220,92,60,27,5,65.21739130434783,29.347826086956523,5.434782608695652
W00007221,109,63,28,18,57.798165137614674,25.688073394495415,16.51376146788991
W00007222,108,65,26,17,60.18518518518518,24.074074074074073,15.74074074074074
W00007223,130,55,63,12,42.30769230769231,48.46153846153846,9.230769230769232
W00007224,129,84,35,10,65.11627906976744,27.131782945736433,7.751937984496124
W00007225,129,83,30,16,64.34108527131784,23.25581395348837,12.4031007751938
W00007226,118,68,44,6,57.6271186440678,37.28813559322034,5.084745762711865
W00007227,98,50,35,13,51.02040816326531,35.714285714285715,13.26530612244898
W00007228,136,79,47,10,58.08823529411765,34.55882352941176,7.352941176470589
W00007229,120,62,41,17,51.66666666666667,34.166666666666664,14.166666666666666
W00007230,122,67,40,15,54.91803278688525,32.78688524590164,12.295081967213115
W00007231,234,147,66,21,62.82051282051282,28.205128205128204,8.974358974358974
W00007232,133,79,40,14,59.3984962406015,30.075187969924812,10.526315789473683
W00007233,113,72,30,11,63.716814159292035,26.548672566371685,9.734513274336283
W00007234,110,55,36,19,50,32.72727272727273,17.272727272727273
W00007235,144,66,61,17,45.83333333333333,42.36111111111111,11.805555555555555
W00007236,140,93,37,10,66.42857142857143,26.42857142857143,7.142857142857142
W00007237,130,62,43,25,47.69230769230769,33.07692307692307,19.230769230769234
W00007238,128,77,41,10,60.15625,32.03125,7.8125
W00007239,111,51,45,15,45.94594594594595,40.54054054054054,13.513513513513514
