OA,ts0160001,ts0160002,ts0160003,ts0160004,ts0160005,ts0160006,ts0160002_PCT,ts0160003_PCT,ts0160004_PCT,ts0160005_PCT,ts0160006_PCT
W00007530,283,282,1,0,0,0,99.64664310954063,0.35335689045936397,0,0,0
W00007531,240,234,3,1,0,2,97.5,1.25,0.4166666666666667,0,0.8333333333333334
W00007532,283,278,0,5,0,0,98.23321554770318,0,1.76678445229682,0,0
W00007535,288,284,4,0,0,0,98.61111111111111,1.3888888888888888,0,0,0
W00007537,249,245,4,0,0,0,98.39357429718876,1.6064257028112447,0,0,0
W00007528,296,283,7,6,0,0,95.6081081081081,2.364864864864865,2.027027027027027,0,0
W00007533,286,275,8,2,1,0,96.15384615384616,2.797202797202797,0.6993006993006993,0.34965034965034963,0
W00007534,312,304,3,2,1,2,97.43589743589743,0.9615384615384616,0.641025641025641,0.3205128205128205,0.641025641025641
W00007536,283,278,4,1,0,0,98.23321554770318,1.4134275618374559,0.35335689045936397,0,0
W00007527,313,305,7,0,1,0,97.44408945686901,2.2364217252396164,0,0.3194888178913738,0
W00007529,281,274,7,0,0,0,97.50889679715303,2.491103202846975,0,0,0
W00007538,258,256,0,0,2,0,99.2248062015504,0,0,0.7751937984496124,0
W00007539,239,231,3,4,1,0,96.65271966527197,1.2552301255230125,1.6736401673640167,0.41841004184100417,0
W00007679,285,275,9,0,0,1,96.49122807017544,3.1578947368421053,0,0,0.3508771929824561
W00007680,260,255,5,0,0,0,98.07692307692307,1.9230769230769231,0,0,0
W00007681,297,297,0,0,0,0,100,0,0,0,0
W00007684,275,264,8,0,2,1,96,2.909090909090909,0,0.7272727272727273,0.36363636363636365
W00007686,286,272,13,0,1,0,95.1048951048951,4.545454545454546,0,0.34965034965034963,0
W00007682,381,365,8,5,3,0,95.8005249343832,2.099737532808399,1.3123359580052494,0.7874015748031495,0
W00007683,292,290,2,0,0,0,99.31506849315068,0.684931506849315,0,0,0
W00007685,230,215,9,6,0,0,93.47826086956522,3.91304347826087,2.608695652173913,0,0
W00007687,240,238,2,0,0,0,99.16666666666667,0.8333333333333334,0,0,0
W00007688,255,250,2,2,1,0,98.0392156862745,0.7843137254901961,0.7843137254901961,0.39215686274509803,0
W00007689,209,207,2,0,0,0,99.04306220095694,0.9569377990430622,0,0,0
W00007556,391,384,6,1,0,0,98.20971867007673,1.5345268542199488,0.2557544757033248,0,0
W00007564,308,302,4,1,1,0,98.05194805194806,1.2987012987012987,0.3246753246753247,0.3246753246753247,0
