OA,ts0670001,ts0670002,ts0670003,ts0670004,ts0670005,ts0670006,ts0670007,ts0670008,ts0670002_PCT,ts0670003_PCT,ts0670004_PCT,ts0670005_PCT,ts0670006_PCT,ts0670007_PCT,ts0670008_PCT
W00007742,273,74,17,55,14,49,57,7,27.106227106227106,6.227106227106227,20.146520146520146,5.128205128205128,17.94871794871795,20.87912087912088,2.564102564102564
W00007743,253,55,37,44,13,38,61,5,21.73913043478261,14.624505928853754,17.391304347826086,5.138339920948617,15.019762845849801,24.110671936758894,1.9762845849802373
W00007744,296,82,29,49,18,58,56,4,27.7027027027027,9.797297297297296,16.554054054054053,6.081081081081082,19.594594594594593,18.91891891891892,1.3513513513513513
W00007745,231,81,28,37,8,21,47,9,35.064935064935064,12.121212121212121,16.017316017316016,3.463203463203463,9.090909090909092,20.346320346320347,3.896103896103896
W00007746,262,38,25,39,20,52,83,5,14.50381679389313,9.541984732824428,14.885496183206106,7.633587786259542,19.84732824427481,31.679389312977097,1.9083969465648856
W00007747,267,55,34,50,16,51,54,7,20.59925093632959,12.734082397003746,18.726591760299627,5.992509363295881,19.101123595505616,20.224719101123593,2.6217228464419478
W00007748,263,50,19,29,20,59,77,9,19.011406844106464,7.224334600760455,11.02661596958175,7.604562737642586,22.433460076045627,29.277566539923956,3.4220532319391634
W00007749,244,88,27,36,14,33,41,5,36.0655737704918,11.065573770491802,14.754098360655737,5.737704918032787,13.524590163934427,16.80327868852459,2.0491803278688523
W00007750,209,62,21,31,15,41,35,4,29.665071770334926,10.047846889952153,14.832535885167463,7.177033492822966,19.617224880382775,16.74641148325359,1.9138755980861244
W00007751,316,60,32,54,25,56,80,9,18.9873417721519,10.126582278481013,17.088607594936708,7.9113924050632916,17.72151898734177,25.31645569620253,2.848101265822785
W00007752,222,60,19,30,14,45,51,3,27.027027027027028,8.558558558558559,13.513513513513514,6.306306306306306,20.27027027027027,22.972972972972975,1.3513513513513513
W00007753,225,38,22,30,21,52,57,5,16.88888888888889,9.777777777777779,13.333333333333334,9.333333333333334,23.11111111111111,25.333333333333336,2.2222222222222223
W00007754,209,49,23,32,6,35,58,6,23.444976076555022,11.004784688995215,15.311004784688995,2.8708133971291865,16.74641148325359,27.751196172248804,2.8708133971291865
W00007755,272,50,24,46,19,42,82,9,18.38235294117647,8.823529411764707,16.911764705882355,6.985294117647059,15.441176470588236,30.14705882352941,3.308823529411765
W00007756,208,44,15,34,13,33,63,6,21.153846153846153,7.211538461538461,16.346153846153847,6.25,15.865384615384615,30.288461538461537,2.8846153846153846
