OA,ts0500001,ts0500002,ts0500003,ts0500004,ts0500005,ts0500002_PCT,ts0500003_PCT,ts0500004_PCT,ts0500005_PCT
W00008044,132,2,16,48,66,1.5151515151515151,12.121212121212121,36.36363636363637,50
W00008045,141,17,25,25,74,12.056737588652481,17.73049645390071,17.73049645390071,52.4822695035461
W00008046,128,2,14,50,62,1.5625,10.9375,39.0625,48.4375
W00008047,151,0,12,37,102,0,7.9470198675496695,24.503311258278146,67.54966887417218
W00008049,158,2,9,65,82,1.2658227848101267,5.69620253164557,41.139240506329116,51.89873417721519
W00008050,110,44,16,21,29,40,14.545454545454545,19.090909090909093,26.36363636363636
W00008051,129,0,28,58,43,0,21.705426356589147,44.96124031007752,33.33333333333333
W00008052,107,1,6,72,28,0.9345794392523363,5.607476635514018,67.28971962616822,26.168224299065418
W00008053,133,17,22,65,29,12.781954887218044,16.541353383458645,48.87218045112782,21.804511278195488
W00008055,119,0,6,9,104,0,5.042016806722689,7.563025210084033,87.39495798319328
W00008056,99,5,37,42,15,5.05050505050505,37.37373737373738,42.42424242424242,15.151515151515152
W00008057,149,13,10,34,92,8.724832214765101,6.7114093959731544,22.818791946308725,61.74496644295302
W00008058,123,38,36,39,10,30.89430894308943,29.268292682926827,31.70731707317073,8.130081300813007
W00008059,149,7,30,95,17,4.697986577181208,20.13422818791946,63.758389261744966,11.409395973154362
W00008060,133,3,19,67,44,2.2556390977443606,14.285714285714285,50.37593984962406,33.08270676691729
W00008061,130,3,21,60,46,2.307692307692308,16.153846153846153,46.15384615384615,35.38461538461539
W00008062,153,22,45,49,37,14.37908496732026,29.411764705882355,32.02614379084967,24.183006535947712
W00008063,133,16,21,42,54,12.030075187969924,15.789473684210526,31.57894736842105,40.6015037593985
W00008064,143,4,43,69,27,2.797202797202797,30.069930069930066,48.25174825174825,18.88111888111888
W00008065,128,5,21,49,53,3.90625,16.40625,38.28125,41.40625
W00008066,125,2,47,65,11,1.6,37.6,52,8.799999999999999
