OA,ts007a0001,ts007a0002,ts007a0003,ts007a0004,ts007a0005,ts007a0006,ts007a0007,ts007a0008,ts007a0009,ts007a0010,ts007a0011,ts007a0012,ts007a0013,ts007a0014,ts007a0015,ts007a0016,ts007a0017,ts007a0018,ts007a0019,ts007a0002_PCT,ts007a0003_PCT,ts007a0004_PCT,ts007a0005_PCT,ts007a0006_PCT,ts007a0007_PCT,ts007a0008_PCT,ts007a0009_PCT,ts007a0010_PCT,ts007a0011_PCT,ts007a0012_PCT,ts007a0013_PCT,ts007a0014_PCT,ts007a0015_PCT,ts007a0016_PCT,ts007a0017_PCT,ts007a0018_PCT,ts007a0019_PCT
W00008328,274,22,26,23,14,16,26,25,16,16,19,24,24,14,4,4,1,0,0,8.02919708029197,9.48905109489051,8.394160583941606,5.109489051094891,5.839416058394161,9.48905109489051,9.124087591240876,5.839416058394161,5.839416058394161,6.934306569343065,8.75912408759124,8.75912408759124,5.109489051094891,1.4598540145985401,1.4598540145985401,0.36496350364963503,0,0
W00008329,376,14,15,19,13,13,60,42,40,24,19,14,41,30,5,8,10,3,6,3.723404255319149,3.9893617021276597,5.053191489361701,3.4574468085106385,3.4574468085106385,15.957446808510639,11.170212765957446,10.638297872340425,6.382978723404255,5.053191489361701,3.723404255319149,10.904255319148938,7.9787234042553195,1.3297872340425532,2.127659574468085,2.6595744680851063,0.7978723404255319,1.5957446808510638
W00008330,270,16,16,20,18,14,12,15,19,15,22,21,17,12,13,9,7,9,15,5.9259259259259265,5.9259259259259265,7.4074074074074066,6.666666666666667,5.185185185185185,4.444444444444445,5.555555555555555,7.037037037037037,5.555555555555555,8.148148148148149,7.777777777777778,6.296296296296296,4.444444444444445,4.814814814814815,3.3333333333333335,2.5925925925925926,3.3333333333333335,5.555555555555555
W00008331,226,7,5,11,7,13,8,17,10,10,13,9,11,10,12,7,17,14,45,3.0973451327433628,2.2123893805309733,4.867256637168142,3.0973451327433628,5.752212389380531,3.5398230088495577,7.52212389380531,4.424778761061947,4.424778761061947,5.752212389380531,3.982300884955752,4.867256637168142,4.424778761061947,5.3097345132743365,3.0973451327433628,7.52212389380531,6.1946902654867255,19.911504424778762
W00008332,280,9,13,9,25,19,5,14,17,15,18,20,14,23,24,10,21,8,16,3.214285714285714,4.642857142857143,3.214285714285714,8.928571428571429,6.785714285714286,1.7857142857142856,5,6.071428571428571,5.357142857142857,6.428571428571428,7.142857142857142,5,8.214285714285714,8.571428571428571,3.571428571428571,7.5,2.857142857142857,5.714285714285714
W00008333,286,23,10,17,13,16,18,21,18,11,21,27,19,14,24,17,6,9,2,8.041958041958042,3.4965034965034967,5.944055944055944,4.545454545454546,5.594405594405594,6.293706293706294,7.3426573426573425,6.293706293706294,3.8461538461538463,7.3426573426573425,9.44055944055944,6.643356643356643,4.895104895104895,8.391608391608392,5.944055944055944,2.097902097902098,3.146853146853147,0.6993006993006993
W00008334,190,8,9,6,4,4,13,16,19,14,7,12,14,10,8,16,8,9,13,4.2105263157894735,4.736842105263158,3.1578947368421053,2.1052631578947367,2.1052631578947367,6.842105263157896,8.421052631578947,10,7.368421052631578,3.684210526315789,6.315789473684211,7.368421052631578,5.263157894736842,4.2105263157894735,8.421052631578947,4.2105263157894735,4.736842105263158,6.842105263157896
W00008335,298,13,10,17,21,15,6,8,17,23,17,28,19,26,14,20,17,18,9,4.3624161073825505,3.3557046979865772,5.704697986577181,7.046979865771812,5.033557046979865,2.013422818791946,2.684563758389262,5.704697986577181,7.718120805369128,5.704697986577181,9.395973154362416,6.375838926174497,8.724832214765101,4.697986577181208,6.7114093959731544,5.704697986577181,6.0402684563758395,3.0201342281879198
W00008336,406,13,19,24,21,26,23,20,38,30,26,30,23,23,20,22,15,9,24,3.201970443349754,4.679802955665025,5.911330049261084,5.172413793103448,6.403940886699508,5.665024630541872,4.926108374384237,9.35960591133005,7.389162561576355,6.403940886699508,7.389162561576355,5.665024630541872,5.665024630541872,4.926108374384237,5.41871921182266,3.6945812807881775,2.2167487684729066,5.911330049261084
W00008337,313,15,23,16,15,12,9,21,16,22,17,36,27,14,16,21,12,11,10,4.792332268370607,7.348242811501597,5.111821086261981,4.792332268370607,3.8338658146964857,2.8753993610223643,6.7092651757188495,5.111821086261981,7.0287539936102235,5.431309904153355,11.501597444089457,8.626198083067091,4.472843450479233,5.111821086261981,6.7092651757188495,3.8338658146964857,3.5143769968051117,3.1948881789137378
W00008338,303,14,23,21,17,18,13,15,20,27,18,20,20,19,17,8,17,4,12,4.62046204620462,7.590759075907591,6.9306930693069315,5.6105610561056105,5.9405940594059405,4.29042904290429,4.9504950495049505,6.6006600660066,8.91089108910891,5.9405940594059405,6.6006600660066,6.6006600660066,6.270627062706271,5.6105610561056105,2.6402640264026402,5.6105610561056105,1.3201320132013201,3.9603960396039604
W00008339,287,14,24,11,11,11,11,15,17,20,12,25,20,20,22,17,13,13,11,4.878048780487805,8.362369337979095,3.8327526132404177,3.8327526132404177,3.8327526132404177,3.8327526132404177,5.2264808362369335,5.923344947735192,6.968641114982578,4.181184668989547,8.710801393728223,6.968641114982578,6.968641114982578,7.665505226480835,5.923344947735192,4.529616724738676,4.529616724738676,3.8327526132404177
W00008340,411,19,57,43,56,11,21,21,46,34,17,12,14,11,20,12,11,0,6,4.622871046228711,13.86861313868613,10.46228710462287,13.62530413625304,2.67639902676399,5.109489051094891,5.109489051094891,11.19221411192214,8.27250608272506,4.13625304136253,2.9197080291970803,3.40632603406326,2.67639902676399,4.866180048661801,2.9197080291970803,2.67639902676399,0,1.4598540145985401
W00008341,289,21,26,19,16,17,21,23,21,16,16,12,16,20,24,9,5,3,4,7.26643598615917,8.996539792387544,6.5743944636678195,5.536332179930796,5.88235294117647,7.26643598615917,7.958477508650519,7.26643598615917,5.536332179930796,5.536332179930796,4.1522491349480966,5.536332179930796,6.920415224913495,8.304498269896193,3.1141868512110724,1.7301038062283738,1.0380622837370241,1.384083044982699
W00008342,280,15,7,14,11,20,18,15,14,22,32,20,13,16,13,16,21,9,4,5.357142857142857,2.5,5,3.9285714285714284,7.142857142857142,6.428571428571428,5.357142857142857,5,7.857142857142857,11.428571428571429,7.142857142857142,4.642857142857143,5.714285714285714,4.642857142857143,5.714285714285714,7.5,3.214285714285714,1.4285714285714286
W00008343,318,14,11,15,17,13,9,7,23,18,24,23,24,25,26,27,20,15,7,4.40251572327044,3.459119496855346,4.716981132075472,5.345911949685535,4.088050314465408,2.8301886792452833,2.20125786163522,7.232704402515723,5.660377358490567,7.547169811320755,7.232704402515723,7.547169811320755,7.861635220125786,8.176100628930817,8.49056603773585,6.289308176100629,4.716981132075472,2.20125786163522
W00008344,314,22,20,19,12,9,12,23,41,17,26,24,22,14,6,21,9,11,6,7.006369426751593,6.369426751592357,6.050955414012739,3.821656050955414,2.8662420382165608,3.821656050955414,7.32484076433121,13.05732484076433,5.414012738853503,8.280254777070063,7.643312101910828,7.006369426751593,4.45859872611465,1.910828025477707,6.687898089171974,2.8662420382165608,3.5031847133757963,1.910828025477707
W00008345,304,14,16,18,20,19,31,23,24,19,18,20,15,27,19,8,8,3,2,4.605263157894736,5.263157894736842,5.921052631578947,6.578947368421052,6.25,10.197368421052632,7.565789473684211,7.894736842105263,6.25,5.921052631578947,6.578947368421052,4.934210526315789,8.881578947368421,6.25,2.631578947368421,2.631578947368421,0.9868421052631579,0.6578947368421052
W00008346,505,34,28,20,27,20,18,41,44,30,44,33,37,32,25,18,24,18,12,6.732673267326733,5.544554455445545,3.9603960396039604,5.346534653465347,3.9603960396039604,3.564356435643564,8.118811881188119,8.712871287128712,5.9405940594059405,8.712871287128712,6.534653465346535,7.326732673267326,6.336633663366337,4.9504950495049505,3.564356435643564,4.752475247524752,3.564356435643564,2.376237623762376
W00008347,275,15,18,21,17,14,14,22,18,14,18,25,16,16,11,15,9,5,7,5.454545454545454,6.545454545454546,7.636363636363637,6.181818181818182,5.090909090909091,5.090909090909091,8,6.545454545454546,5.090909090909091,6.545454545454546,9.090909090909092,5.818181818181818,5.818181818181818,4,5.454545454545454,3.272727272727273,1.8181818181818181,2.5454545454545454
W00008348,396,27,23,7,11,12,24,26,33,27,16,32,26,20,30,21,21,14,26,6.8181818181818175,5.808080808080808,1.7676767676767675,2.7777777777777777,3.0303030303030303,6.0606060606060606,6.565656565656567,8.333333333333332,6.8181818181818175,4.040404040404041,8.080808080808081,6.565656565656567,5.05050505050505,7.575757575757576,5.303030303030303,5.303030303030303,3.535353535353535,6.565656565656567
W00008349,464,14,15,23,17,36,63,32,39,23,39,35,20,24,8,26,14,11,25,3.0172413793103448,3.2327586206896552,4.956896551724138,3.6637931034482754,7.758620689655173,13.577586206896552,6.896551724137931,8.405172413793103,4.956896551724138,8.405172413793103,7.543103448275862,4.310344827586207,5.172413793103448,1.7241379310344827,5.603448275862069,3.0172413793103448,2.3706896551724137,5.387931034482758
W00008350,373,13,21,39,20,22,14,16,29,24,26,36,31,26,15,16,12,5,8,3.485254691689008,5.630026809651475,10.455764075067025,5.361930294906166,5.898123324396782,3.753351206434316,4.289544235924933,7.774798927613941,6.434316353887399,6.970509383378016,9.651474530831099,8.310991957104557,6.970509383378016,4.021447721179625,4.289544235924933,3.2171581769436997,1.3404825737265416,2.1447721179624666
W00008351,313,8,11,11,10,9,6,14,10,9,18,20,14,19,27,42,40,23,22,2.5559105431309903,3.5143769968051117,3.5143769968051117,3.1948881789137378,2.8753993610223643,1.9169329073482428,4.472843450479233,3.1948881789137378,2.8753993610223643,5.7507987220447285,6.3897763578274756,4.472843450479233,6.070287539936102,8.626198083067091,13.418530351437699,12.779552715654951,7.348242811501597,7.0287539936102235
W00008352,442,23,16,16,8,32,29,51,38,16,24,35,33,43,18,23,17,15,5,5.203619909502263,3.619909502262444,3.619909502262444,1.809954751131222,7.239819004524888,6.561085972850679,11.538461538461538,8.597285067873303,3.619909502262444,5.429864253393665,7.918552036199094,7.46606334841629,9.728506787330318,4.072398190045249,5.203619909502263,3.8461538461538463,3.3936651583710407,1.1312217194570136
W00008353,268,15,10,12,14,6,15,10,10,22,18,17,26,24,13,15,18,13,10,5.597014925373134,3.731343283582089,4.477611940298507,5.223880597014925,2.2388059701492535,5.597014925373134,3.731343283582089,3.731343283582089,8.208955223880597,6.7164179104477615,6.343283582089552,9.701492537313433,8.955223880597014,4.850746268656716,5.597014925373134,6.7164179104477615,4.850746268656716,3.731343283582089
W00008354,346,17,20,23,28,15,17,6,17,37,29,33,22,14,9,23,17,10,9,4.913294797687861,5.780346820809249,6.6473988439306355,8.092485549132949,4.335260115606936,4.913294797687861,1.7341040462427744,4.913294797687861,10.69364161849711,8.38150289017341,9.53757225433526,6.358381502890173,4.046242774566474,2.601156069364162,6.6473988439306355,4.913294797687861,2.8901734104046244,2.601156069364162
W00008355,368,17,28,28,14,41,37,28,44,23,23,23,19,13,11,10,5,3,1,4.619565217391304,7.608695652173914,7.608695652173914,3.804347826086957,11.141304347826086,10.054347826086957,7.608695652173914,11.956521739130435,6.25,6.25,6.25,5.163043478260869,3.532608695652174,2.989130434782609,2.717391304347826,1.358695652173913,0.8152173913043478,0.2717391304347826
W00008356,323,26,28,18,6,8,9,23,32,28,12,23,14,16,24,16,23,8,9,8.04953560371517,8.6687306501548,5.572755417956656,1.8575851393188854,2.476780185758514,2.786377708978328,7.120743034055728,9.907120743034056,8.6687306501548,3.7151702786377707,7.120743034055728,4.3343653250774,4.953560371517028,7.430340557275541,4.953560371517028,7.120743034055728,2.476780185758514,2.786377708978328
W00008357,336,21,36,24,18,23,43,18,30,25,17,19,12,16,10,10,5,6,3,6.25,10.714285714285714,7.142857142857142,5.357142857142857,6.845238095238096,12.797619047619047,5.357142857142857,8.928571428571429,7.440476190476191,5.059523809523809,5.654761904761905,3.571428571428571,4.761904761904762,2.976190476190476,2.976190476190476,1.488095238095238,1.7857142857142856,0.8928571428571428
W00008358,301,13,15,15,16,19,20,20,17,9,18,28,35,16,15,11,17,10,7,4.318936877076411,4.983388704318937,4.983388704318937,5.3156146179401995,6.312292358803987,6.64451827242525,6.64451827242525,5.647840531561462,2.990033222591362,5.980066445182724,9.30232558139535,11.627906976744185,5.3156146179401995,4.983388704318937,3.6544850498338874,5.647840531561462,3.322259136212625,2.3255813953488373
W00008359,255,8,16,18,19,12,13,18,17,18,27,23,22,14,4,7,6,9,4,3.1372549019607843,6.2745098039215685,7.0588235294117645,7.450980392156863,4.705882352941177,5.098039215686274,7.0588235294117645,6.666666666666667,7.0588235294117645,10.588235294117647,9.019607843137255,8.627450980392156,5.490196078431373,1.5686274509803921,2.7450980392156863,2.3529411764705883,3.5294117647058822,1.5686274509803921
W00008360,264,9,4,12,14,10,18,17,19,12,10,16,21,27,12,28,20,11,4,3.4090909090909087,1.5151515151515151,4.545454545454546,5.303030303030303,3.787878787878788,6.8181818181818175,6.4393939393939394,7.196969696969697,4.545454545454546,3.787878787878788,6.0606060606060606,7.954545454545454,10.227272727272728,4.545454545454546,10.606060606060606,7.575757575757576,4.166666666666666,1.5151515151515151
W00008361,346,20,23,22,14,19,20,32,28,17,20,27,34,23,8,12,6,8,13,5.780346820809249,6.6473988439306355,6.358381502890173,4.046242774566474,5.491329479768786,5.780346820809249,9.248554913294797,8.092485549132949,4.913294797687861,5.780346820809249,7.803468208092486,9.826589595375722,6.6473988439306355,2.312138728323699,3.4682080924855487,1.7341040462427744,2.312138728323699,3.7572254335260116
