OA,ts0040001,ts0040002,ts0040003,ts0040004,ts0040005,ts0040006,ts0040007,ts0040008,ts0040009,ts0040010,ts0040011,ts0040012,ts0040013,ts0040014,ts0040015,ts0040002_PCT,ts0040003_PCT,ts0040004_PCT,ts0040005_PCT,ts0040006_PCT,ts0040007_PCT,ts0040008_PCT,ts0040009_PCT,ts0040010_PCT,ts0040011_PCT,ts0040012_PCT,ts0040013_PCT,ts0040014_PCT,ts0040015_PCT
W00006788,257,242,220,22,6,14,2,0,0,0,0,11,4,0,0,94.16342412451361,85.60311284046692,8.560311284046692,2.3346303501945527,5.447470817120623,0.7782101167315175,0,0,0,0,4.280155642023346,1.556420233463035,0,0
W00006792,293,291,266,25,6,19,0,0,0,0,2,0,0,0,0,99.31740614334471,90.78498293515358,8.532423208191126,2.04778156996587,6.484641638225256,0,0,0,0,0.6825938566552902,0,0,0,0
W00006801,268,267,264,3,0,3,0,0,0,0,1,0,0,0,0,99.6268656716418,98.50746268656717,1.1194029850746268,0,1.1194029850746268,0,0,0,0,0.3731343283582089,0,0,0,0
W00006805,187,183,178,5,1,4,0,0,0,0,1,1,2,0,0,97.86096256684492,95.18716577540107,2.6737967914438503,0.53475935828877,2.13903743315508,0,0,0,0,0.53475935828877,0.53475935828877,1.06951871657754,0,0
W00006807,270,270,270,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0
W00006809,233,230,226,4,0,4,0,0,0,0,1,2,0,0,0,98.71244635193133,96.99570815450643,1.7167381974248928,0,1.7167381974248928,0,0,0,0,0.4291845493562232,0.8583690987124464,0,0,0
W00006802,291,289,284,4,1,2,1,0,1,1,0,2,0,0,0,99.3127147766323,97.59450171821305,1.3745704467353952,0.3436426116838488,0.6872852233676976,0.3436426116838488,0,0.3436426116838488,0.3436426116838488,0,0.6872852233676976,0,0,0
W00006803,310,310,308,2,2,0,0,0,0,0,0,0,0,0,0,100,99.35483870967742,0.6451612903225806,0.6451612903225806,0,0,0,0,0,0,0,0,0,0
W00006804,332,332,327,5,0,5,0,0,0,0,0,0,0,0,0,100,98.49397590361446,1.5060240963855422,0,1.5060240963855422,0,0,0,0,0,0,0,0,0
W00006806,302,295,284,8,4,2,2,0,3,3,3,2,2,0,0,97.68211920529801,94.03973509933775,2.6490066225165565,1.3245033112582782,0.6622516556291391,0.6622516556291391,0,0.9933774834437087,0.9933774834437087,0.9933774834437087,0.6622516556291391,0.6622516556291391,0,0
