OA,ts0580001,ts0580002,ts0580003,ts0580004,ts0580005,ts0580006,ts0580007,ts0580008,ts0580009,ts0580010,ts0580011,ts0580002_PCT,ts0580003_PCT,ts0580004_PCT,ts0580005_PCT,ts0580006_PCT,ts0580007_PCT,ts0580008_PCT,ts0580009_PCT,ts0580010_PCT,ts0580011_PCT
W00006756,162,17,15,22,34,18,2,0,3,18,33,10.493827160493826,9.25925925925926,13.580246913580247,20.98765432098765,11.11111111111111,1.2345679012345678,0,1.8518518518518516,11.11111111111111,20.37037037037037
W00006757,98,3,4,35,7,7,0,2,3,15,22,3.061224489795918,4.081632653061225,35.714285714285715,7.142857142857142,7.142857142857142,0,2.0408163265306123,3.061224489795918,15.306122448979592,22.448979591836736
W00006758,79,3,5,15,9,4,2,0,1,13,27,3.79746835443038,6.329113924050633,18.9873417721519,11.39240506329114,5.063291139240507,2.5316455696202533,0,1.2658227848101267,16.455696202531644,34.177215189873415
W00006759,114,4,7,31,17,9,2,0,2,15,27,3.508771929824561,6.140350877192982,27.192982456140353,14.912280701754385,7.894736842105263,1.7543859649122806,0,1.7543859649122806,13.157894736842104,23.684210526315788
W00006760,136,2,12,28,14,7,0,3,4,27,39,1.4705882352941175,8.823529411764707,20.588235294117645,10.294117647058822,5.147058823529411,0,2.2058823529411766,2.941176470588235,19.852941176470587,28.676470588235293
W00006761,115,6,12,24,19,8,0,1,0,23,22,5.217391304347826,10.434782608695652,20.869565217391305,16.52173913043478,6.956521739130435,0,0.8695652173913043,0,20,19.130434782608695
W00006762,171,10,12,22,48,15,6,3,2,25,28,5.847953216374268,7.017543859649122,12.865497076023392,28.07017543859649,8.771929824561402,3.508771929824561,1.7543859649122806,1.1695906432748537,14.619883040935672,16.374269005847953
W00006763,134,7,15,24,34,9,1,1,1,18,24,5.223880597014925,11.194029850746269,17.91044776119403,25.37313432835821,6.7164179104477615,0.7462686567164178,0.7462686567164178,0.7462686567164178,13.432835820895523,17.91044776119403
W00006765,179,9,14,25,53,19,1,3,3,33,19,5.027932960893855,7.82122905027933,13.966480446927374,29.608938547486037,10.614525139664805,0.5586592178770949,1.675977653631285,1.675977653631285,18.435754189944134,10.614525139664805
W00006766,80,5,6,11,15,3,1,0,1,15,23,6.25,7.5,13.750000000000002,18.75,3.75,1.25,0,1.25,18.75,28.749999999999996
W00006767,188,11,60,13,15,11,13,3,0,34,28,5.851063829787234,31.914893617021278,6.914893617021277,7.9787234042553195,5.851063829787234,6.914893617021277,1.5957446808510638,0,18.085106382978726,14.893617021276595
W00006768,115,18,12,9,8,8,9,3,1,28,19,15.65217391304348,10.434782608695652,7.82608695652174,6.956521739130435,6.956521739130435,7.82608695652174,2.608695652173913,0.8695652173913043,24.347826086956523,16.52173913043478
W00006769,116,13,20,10,7,6,7,0,0,29,24,11.206896551724139,17.24137931034483,8.620689655172415,6.0344827586206895,5.172413793103448,6.0344827586206895,0,0,25,20.689655172413794
W00006770,105,22,19,12,9,7,3,0,0,8,25,20.952380952380953,18.095238095238095,11.428571428571429,8.571428571428571,6.666666666666667,2.857142857142857,0,0,7.6190476190476195,23.809523809523807
W00006772,106,10,33,12,12,10,2,0,4,7,16,9.433962264150944,31.132075471698112,11.320754716981133,11.320754716981133,9.433962264150944,1.8867924528301887,0,3.7735849056603774,6.60377358490566,15.09433962264151
W00006773,145,9,39,9,15,13,14,2,4,22,18,6.206896551724138,26.89655172413793,6.206896551724138,10.344827586206897,8.96551724137931,9.655172413793103,1.3793103448275863,2.7586206896551726,15.172413793103448,12.413793103448276
W00006774,218,9,48,2,19,22,11,0,4,69,34,4.128440366972478,22.018348623853214,0.9174311926605505,8.715596330275229,10.091743119266056,5.045871559633028,0,1.834862385321101,31.65137614678899,15.59633027522936
W00006775,197,40,40,7,14,15,11,1,3,38,28,20.304568527918782,20.304568527918782,3.5532994923857872,7.1065989847715745,7.614213197969544,5.583756345177665,0.5076142131979695,1.5228426395939088,19.289340101522843,14.213197969543149
W00006776,189,18,42,2,12,15,12,2,1,52,33,9.523809523809524,22.22222222222222,1.0582010582010581,6.349206349206349,7.936507936507936,6.349206349206349,1.0582010582010581,0.5291005291005291,27.513227513227513,17.46031746031746
W00006777,80,12,14,2,13,6,5,1,1,12,14,15,17.5,2.5,16.25,7.5,6.25,1.25,1.25,15,17.5
W00006779,267,25,66,10,18,24,16,1,0,76,31,9.363295880149813,24.719101123595504,3.7453183520599254,6.741573033707865,8.98876404494382,5.992509363295881,0.37453183520599254,0,28.46441947565543,11.610486891385769
W00006780,69,13,17,5,1,11,1,0,0,5,16,18.84057971014493,24.637681159420293,7.246376811594203,1.4492753623188406,15.942028985507244,1.4492753623188406,0,0,7.246376811594203,23.18840579710145
