OA,ts0660001,ts0660002,ts0660003,ts0660004,ts0660005,ts0660006,ts0660007,ts0660008,ts0660009,ts0660010,ts0660011,ts0660012,ts0660013,ts0660014,ts0660015,ts0660016,ts0660017,ts0660018,ts0660019,ts0660020,ts0660021,ts0660022,ts0660023,ts0660024,ts0660025,ts0660026,ts0660027,ts0660028,ts0660029,ts0660030,ts0660031,ts0660002_PCT,ts0660003_PCT,ts0660004_PCT,ts0660005_PCT,ts0660006_PCT,ts0660007_PCT,ts0660008_PCT,ts0660009_PCT,ts0660010_PCT,ts0660011_PCT,ts0660012_PCT,ts0660013_PCT,ts0660014_PCT,ts0660015_PCT,ts0660016_PCT,ts0660017_PCT,ts0660018_PCT,ts0660019_PCT,ts0660020_PCT,ts0660021_PCT,ts0660022_PCT,ts0660023_PCT,ts0660024_PCT,ts0660025_PCT,ts0660026_PCT,ts0660027_PCT,ts0660028_PCT,ts0660029_PCT,ts0660030_PCT,ts0660031_PCT
W00006756,265,159,159,137,31,106,10,2,8,12,3,9,0,6,4,4,4,0,0,0,0,0,0,0,2,100,57,6,9,17,11,60,60,51.698113207547166,11.69811320754717,40,3.7735849056603774,0.7547169811320755,3.018867924528302,4.528301886792453,1.1320754716981132,3.3962264150943398,0,2.2641509433962264,1.509433962264151,1.509433962264151,1.509433962264151,0,0,0,0,0,0,0,0.7547169811320755,37.735849056603776,21.50943396226415,2.2641509433962264,3.3962264150943398,6.415094339622642,4.150943396226415
W00006757,211,105,95,80,26,54,2,0,2,13,4,9,10,3,3,3,3,0,0,0,0,0,0,0,0,103,57,10,4,25,7,49.763033175355446,45.023696682464454,37.91469194312796,12.322274881516588,25.59241706161137,0.9478672985781991,0,0.9478672985781991,6.161137440758294,1.8957345971563981,4.265402843601896,4.739336492890995,1.4218009478672986,1.4218009478672986,1.4218009478672986,1.4218009478672986,0,0,0,0,0,0,0,0,48.81516587677725,27.014218009478675,4.739336492890995,1.8957345971563981,11.848341232227488,3.3175355450236967
W00006758,201,93,78,63,13,50,0,0,0,15,3,12,15,3,3,3,3,0,0,0,0,0,0,0,0,105,44,10,13,27,11,46.26865671641791,38.80597014925373,31.343283582089555,6.467661691542288,24.875621890547265,0,0,0,7.462686567164178,1.4925373134328357,5.970149253731343,7.462686567164178,1.4925373134328357,1.4925373134328357,1.4925373134328357,1.4925373134328357,0,0,0,0,0,0,0,0,52.23880597014925,21.890547263681594,4.975124378109453,6.467661691542288,13.432835820895523,5.472636815920398
W00006759,211,122,113,97,26,71,4,1,3,12,3,9,9,3,1,1,1,0,0,0,0,0,0,0,2,86,40,9,13,18,6,57.81990521327014,53.55450236966824,45.97156398104265,12.322274881516588,33.649289099526065,1.8957345971563981,0.47393364928909953,1.4218009478672986,5.687203791469194,1.4218009478672986,4.265402843601896,4.265402843601896,1.4218009478672986,0.47393364928909953,0.47393364928909953,0.47393364928909953,0,0,0,0,0,0,0,0.9478672985781991,40.758293838862556,18.95734597156398,4.265402843601896,6.161137440758294,8.530805687203792,2.843601895734597
W00006760,282,142,136,108,29,79,5,1,4,23,5,18,6,9,4,4,3,1,0,0,0,0,0,0,5,131,86,9,12,19,5,50.35460992907801,48.226950354609926,38.297872340425535,10.28368794326241,28.01418439716312,1.773049645390071,0.3546099290780142,1.4184397163120568,8.156028368794328,1.773049645390071,6.382978723404255,2.127659574468085,3.1914893617021276,1.4184397163120568,1.4184397163120568,1.0638297872340425,0.3546099290780142,0,0,0,0,0,0,1.773049645390071,46.45390070921986,30.49645390070922,3.1914893617021276,4.25531914893617,6.73758865248227,1.773049645390071
W00006761,206,122,115,92,21,71,5,1,4,18,4,14,7,1,1,1,1,0,0,0,0,0,0,0,0,83,54,5,8,12,4,59.22330097087378,55.8252427184466,44.66019417475729,10.194174757281553,34.46601941747573,2.4271844660194173,0.48543689320388345,1.9417475728155338,8.737864077669903,1.9417475728155338,6.796116504854369,3.3980582524271843,0.48543689320388345,0.48543689320388345,0.48543689320388345,0.48543689320388345,0,0,0,0,0,0,0,0,40.29126213592233,26.21359223300971,2.4271844660194173,3.8834951456310676,5.825242718446602,1.9417475728155338
W00006762,279,179,169,147,33,114,9,3,6,13,1,12,10,2,1,1,0,1,0,0,0,0,0,0,1,98,57,12,11,14,4,64.15770609318996,60.57347670250897,52.68817204301075,11.827956989247312,40.86021505376344,3.225806451612903,1.0752688172043012,2.1505376344086025,4.659498207885305,0.35842293906810035,4.301075268817205,3.584229390681003,0.7168458781362007,0.35842293906810035,0.35842293906810035,0,0.35842293906810035,0,0,0,0,0,0,0.35842293906810035,35.12544802867383,20.43010752688172,4.301075268817205,3.942652329749104,5.017921146953405,1.4336917562724014
W00006763,233,136,133,117,30,87,3,1,2,13,5,8,3,1,1,1,1,0,0,0,0,0,0,0,0,96,57,9,10,14,6,58.36909871244635,57.08154506437768,50.21459227467812,12.875536480686694,37.33905579399141,1.2875536480686696,0.4291845493562232,0.8583690987124464,5.579399141630901,2.1459227467811157,3.4334763948497855,1.2875536480686696,0.4291845493562232,0.4291845493562232,0.4291845493562232,0.4291845493562232,0,0,0,0,0,0,0,0,41.201716738197426,24.463519313304722,3.862660944206009,4.291845493562231,6.008583690987124,2.575107296137339
W00006765,324,178,172,152,29,123,5,0,5,15,6,9,6,7,6,5,4,1,0,0,0,1,1,0,1,139,81,16,11,20,11,54.93827160493827,53.086419753086425,46.913580246913575,8.950617283950617,37.96296296296296,1.5432098765432098,0,1.5432098765432098,4.62962962962963,1.8518518518518516,2.7777777777777777,1.8518518518518516,2.1604938271604937,1.8518518518518516,1.5432098765432098,1.2345679012345678,0.30864197530864196,0,0,0,0.30864197530864196,0.30864197530864196,0,0.30864197530864196,42.901234567901234,25,4.938271604938271,3.3950617283950617,6.172839506172839,3.3950617283950617
W00006766,203,95,80,71,25,46,1,1,0,8,5,3,15,2,1,1,1,0,0,0,0,0,0,0,1,106,36,10,23,30,7,46.79802955665024,39.40886699507389,34.97536945812808,12.31527093596059,22.660098522167488,0.49261083743842365,0.49261083743842365,0,3.9408866995073892,2.4630541871921183,1.477832512315271,7.389162561576355,0.9852216748768473,0.49261083743842365,0.49261083743842365,0.49261083743842365,0,0,0,0,0,0,0,0.49261083743842365,52.21674876847291,17.733990147783253,4.926108374384237,11.330049261083744,14.77832512315271,3.4482758620689653
W00006767,320,191,183,151,32,119,12,4,8,20,3,17,8,8,5,5,3,2,0,0,0,0,0,0,3,121,58,10,15,27,11,59.68750000000001,57.1875,47.1875,10,37.1875,3.75,1.25,2.5,6.25,0.9375,5.3125,2.5,2.5,1.5625,1.5625,0.9375,0.625,0,0,0,0,0,0,0.9375,37.8125,18.125,3.125,4.6875,8.4375,3.4375000000000004
W00006768,246,113,113,97,26,71,4,1,3,12,4,8,0,2,1,1,0,1,0,0,0,0,0,0,1,131,91,8,8,15,9,45.9349593495935,45.9349593495935,39.43089430894309,10.569105691056912,28.86178861788618,1.6260162601626018,0.40650406504065045,1.2195121951219512,4.878048780487805,1.6260162601626018,3.2520325203252036,0,0.8130081300813009,0.40650406504065045,0.40650406504065045,0,0.40650406504065045,0,0,0,0,0,0,0.40650406504065045,53.2520325203252,36.99186991869919,3.2520325203252036,3.2520325203252036,6.097560975609756,3.6585365853658534
W00006769,222,113,108,94,24,70,2,1,1,12,4,8,5,8,7,7,5,2,0,0,0,0,0,0,1,101,81,10,5,5,0,50.9009009009009,48.64864864864865,42.34234234234234,10.81081081081081,31.53153153153153,0.9009009009009009,0.45045045045045046,0.45045045045045046,5.405405405405405,1.8018018018018018,3.6036036036036037,2.2522522522522523,3.6036036036036037,3.153153153153153,3.153153153153153,2.2522522522522523,0.9009009009009009,0,0,0,0,0,0,0.45045045045045046,45.4954954954955,36.486486486486484,4.504504504504505,2.2522522522522523,2.2522522522522523,0
