OA,ts0680001,ts0680002,ts0680003,ts0680002_PCT,ts0680003_PCT
W00006756,318,65,253,20.440251572327046,79.55974842767296
W00006757,241,44,197,18.25726141078838,81.74273858921161
W00006758,245,56,189,22.857142857142858,77.14285714285715
W00006759,245,46,199,18.775510204081634,81.22448979591836
W00006760,311,45,266,14.469453376205788,85.53054662379421
W00006761,245,46,199,18.775510204081634,81.22448979591836
W00006762,322,57,265,17.70186335403727,82.29813664596274
W00006763,271,48,223,17.712177121771216,82.28782287822878
W00006765,371,69,302,18.598382749326145,81.40161725067385
W00006766,244,53,191,21.721311475409834,78.27868852459017
W00006767,386,84,302,21.761658031088082,78.23834196891191
W00006768,271,35,236,12.915129151291513,87.08487084870849
W00006769,256,51,205,19.921875,80.078125
W00006770,271,62,209,22.878228782287824,77.12177121771218
W00006772,310,104,206,33.5483870967742,66.45161290322581
W00006773,332,85,247,25.602409638554217,74.3975903614458
W00006774,416,71,345,17.067307692307693,82.9326923076923
W00006775,403,84,319,20.843672456575682,79.15632754342433
W00006776,382,64,318,16.75392670157068,83.24607329842932
W00006777,190,22,168,11.578947368421053,88.42105263157895
W00006779,541,103,438,19.038817005545287,80.96118299445472
W00006780,204,29,175,14.215686274509803,85.7843137254902
W00006781,286,94,192,32.86713286713287,67.13286713286713
W00006782,271,74,197,27.30627306273063,72.69372693726937
W00006783,212,45,167,21.22641509433962,78.77358490566037
W00006784,266,81,185,30.451127819548873,69.54887218045113
W00006785,253,43,210,16.99604743083004,83.00395256916995
W00006786,298,43,255,14.429530201342283,85.57046979865773
W00006787,262,47,215,17.938931297709924,82.06106870229007
W00006788,237,35,202,14.767932489451477,85.23206751054853
W00006789,289,53,236,18.33910034602076,81.66089965397923
W00006790,265,43,222,16.22641509433962,83.77358490566039
W00006791,299,52,247,17.391304347826086,82.6086956521739
W00006792,269,54,215,20.074349442379184,79.92565055762083
W00006793,242,43,199,17.768595041322314,82.23140495867769
W00006794,224,34,190,15.178571428571427,84.82142857142857
W00006795,289,59,230,20.415224913494807,79.58477508650519
W00006796,260,37,223,14.23076923076923,85.76923076923076
W00006797,232,33,199,14.224137931034484,85.77586206896551
W00006798,284,78,206,27.464788732394368,72.53521126760563
W00006799,345,56,289,16.231884057971012,83.76811594202898
W00006800,368,59,309,16.032608695652172,83.96739130434783
W00006801,257,42,215,16.342412451361866,83.65758754863813
W00006802,277,36,241,12.996389891696749,87.00361010830325
W00006803,291,46,245,15.807560137457044,84.19243986254295
W00006804,314,61,253,19.426751592356688,80.57324840764332
W00006805,181,37,144,20.441988950276244,79.55801104972376
W00006806,283,52,231,18.374558303886925,81.62544169611307
W00006807,249,61,188,24.497991967871485,75.50200803212851
W00006808,322,51,271,15.838509316770185,84.16149068322981
W00006809,224,31,193,13.839285714285715,86.16071428571429
W00006810,247,54,193,21.86234817813765,78.13765182186235
W00006811,291,56,235,19.243986254295535,80.75601374570446
W00006812,252,38,214,15.079365079365079,84.92063492063492
W00006813,256,70,186,27.34375,72.65625
W00006814,325,108,217,33.23076923076923,66.76923076923077
W00006815,435,109,326,25.057471264367813,74.94252873563218
